#,Date Time,Temp (°C) c:2,Water Level (meters)
1,3/28/2019 12:00,3.578,0.038
2,3/28/2019 12:10,3.049,0.037
3,3/28/2019 12:20,2.73,0.036
4,3/28/2019 12:30,2.41,0.034
5,3/28/2019 12:40,2.303,0.035
6,3/28/2019 12:50,2.195,0.037
7,3/28/2019 13:00,2.088,0.033
8,3/28/2019 13:10,1.98,0.032
9,3/28/2019 13:20,1.98,0.032
10,3/28/2019 13:30,1.98,0.035
11,3/28/2019 13:40,1.872,0.034
12,3/28/2019 13:50,1.872,0.033
13,3/28/2019 14:00,1.872,0.035
14,3/28/2019 14:10,1.872,0.034
15,3/28/2019 14:20,1.872,0.033
16,3/28/2019 14:30,1.872,0.031
17,3/28/2019 14:40,1.872,0.035
18,3/28/2019 14:50,1.872,0.033
19,3/28/2019 15:00,1.872,0.035
20,3/28/2019 15:10,1.872,0.032
21,3/28/2019 15:20,1.872,0.034
22,3/28/2019 15:30,1.872,0.034
23,3/28/2019 15:40,1.872,0.035
24,3/28/2019 15:50,1.872,0.034
25,3/28/2019 16:00,1.872,0.035
26,3/28/2019 16:10,1.872,0.032
27,3/28/2019 16:20,1.872,0.035
28,3/28/2019 16:30,1.872,0.035
29,3/28/2019 16:40,1.872,0.034
30,3/28/2019 16:50,1.872,0.034
31,3/28/2019 17:00,1.872,0.034
32,3/28/2019 17:10,1.872,0.034
33,3/28/2019 17:20,1.872,0.035
34,3/28/2019 17:30,1.872,0.034
35,3/28/2019 17:40,1.872,0.035
36,3/28/2019 17:50,1.872,0.04
37,3/28/2019 18:00,1.872,0.041
38,3/28/2019 18:10,1.872,0.044
39,3/28/2019 18:20,1.872,0.049
40,3/28/2019 18:30,1.872,0.051
41,3/28/2019 18:40,1.872,0.054
42,3/28/2019 18:50,1.872,0.056
43,3/28/2019 19:00,1.872,0.057
44,3/28/2019 19:10,1.872,0.058
45,3/28/2019 19:20,1.872,0.061
46,3/28/2019 19:30,1.872,0.062
47,3/28/2019 19:40,1.872,0.061
48,3/28/2019 19:50,1.872,0.065
49,3/28/2019 20:00,1.872,0.064
50,3/28/2019 20:10,1.872,0.066
51,3/28/2019 20:20,1.872,0.066
52,3/28/2019 20:30,1.872,0.069
53,3/28/2019 20:40,1.872,0.068
54,3/28/2019 20:50,1.872,0.072
55,3/28/2019 21:00,1.872,0.073
56,3/28/2019 21:10,1.872,0.073
57,3/28/2019 21:20,1.872,0.074
58,3/28/2019 21:30,1.872,0.075
59,3/28/2019 21:40,1.872,0.075
60,3/28/2019 21:50,1.872,0.075
61,3/28/2019 22:00,1.872,0.076
62,3/28/2019 22:10,1.872,0.079
63,3/28/2019 22:20,1.872,0.078
64,3/28/2019 22:30,1.872,0.079
65,3/28/2019 22:40,1.764,0.079
66,3/28/2019 22:50,1.872,0.079
67,3/28/2019 23:00,1.764,0.08
68,3/28/2019 23:10,1.764,0.079
69,3/28/2019 23:20,1.764,0.08
70,3/28/2019 23:30,1.764,0.08
71,3/28/2019 23:40,1.764,0.081
72,3/28/2019 23:50,1.764,0.083
73,3/29/2019 0:00,1.764,0.083
74,3/29/2019 0:10,1.764,0.083
75,3/29/2019 0:20,1.764,0.083
76,3/29/2019 0:30,1.764,0.085
77,3/29/2019 0:40,1.764,0.085
78,3/29/2019 0:50,1.764,0.081
79,3/29/2019 1:00,1.764,0.083
80,3/29/2019 1:10,1.764,0.082
81,3/29/2019 1:20,1.764,0.081
82,3/29/2019 1:30,1.764,0.082
83,3/29/2019 1:40,1.764,0.085
84,3/29/2019 1:50,1.764,0.085
85,3/29/2019 2:00,1.764,0.08
86,3/29/2019 2:10,1.764,0.083
87,3/29/2019 2:20,1.764,0.084
88,3/29/2019 2:30,1.764,0.083
89,3/29/2019 2:40,1.764,0.082
90,3/29/2019 2:50,1.764,0.083
91,3/29/2019 3:00,1.764,0.082
92,3/29/2019 3:10,1.764,0.083
93,3/29/2019 3:20,1.764,0.083
94,3/29/2019 3:30,1.764,0.083
95,3/29/2019 3:40,1.764,0.084
96,3/29/2019 3:50,1.764,0.082
97,3/29/2019 4:00,1.764,0.083
98,3/29/2019 4:10,1.764,0.083
99,3/29/2019 4:20,1.764,0.084
100,3/29/2019 4:30,1.764,0.084
101,3/29/2019 4:40,1.764,0.084
102,3/29/2019 4:50,1.764,0.084
103,3/29/2019 5:00,1.764,0.083
104,3/29/2019 5:10,1.764,0.083
105,3/29/2019 5:20,1.764,0.084
106,3/29/2019 5:30,1.764,0.083
107,3/29/2019 5:40,1.764,0.085
108,3/29/2019 5:50,1.764,0.085
109,3/29/2019 6:00,1.764,0.087
110,3/29/2019 6:10,1.764,0.087
111,3/29/2019 6:20,1.764,0.087
112,3/29/2019 6:30,1.764,0.088
113,3/29/2019 6:40,1.764,0.088
114,3/29/2019 6:50,1.764,0.089
115,3/29/2019 7:00,1.764,0.089
116,3/29/2019 7:10,1.764,0.086
117,3/29/2019 7:20,1.764,0.091
118,3/29/2019 7:30,1.764,0.088
119,3/29/2019 7:40,1.764,0.089
120,3/29/2019 7:50,1.764,0.089
121,3/29/2019 8:00,1.764,0.088
122,3/29/2019 8:10,1.764,0.088
123,3/29/2019 8:20,1.764,0.087
124,3/29/2019 8:30,1.764,0.09
125,3/29/2019 8:40,1.764,0.089
126,3/29/2019 8:50,1.764,0.087
127,3/29/2019 9:00,1.764,0.088
128,3/29/2019 9:10,1.764,0.091
129,3/29/2019 9:20,1.764,0.089
130,3/29/2019 9:30,1.764,0.088
131,3/29/2019 9:40,1.764,0.09
132,3/29/2019 9:50,1.764,0.09
133,3/29/2019 10:00,1.764,0.09
134,3/29/2019 10:10,1.764,0.09
135,3/29/2019 10:20,1.764,0.092
136,3/29/2019 10:30,1.764,0.09
137,3/29/2019 10:40,1.764,0.091
138,3/29/2019 10:50,1.764,0.087
139,3/29/2019 11:00,1.764,0.087
140,3/29/2019 11:10,1.764,0.09
141,3/29/2019 11:20,1.764,0.088
142,3/29/2019 11:30,1.764,0.089
143,3/29/2019 11:40,1.764,0.088
144,3/29/2019 11:50,1.764,0.087
145,3/29/2019 12:00,1.764,0.085
146,3/29/2019 12:10,1.764,0.088
147,3/29/2019 12:20,1.764,0.086
148,3/29/2019 12:30,1.764,0.087
149,3/29/2019 12:40,1.764,0.089
150,3/29/2019 12:50,1.764,0.087
151,3/29/2019 13:00,1.764,0.086
152,3/29/2019 13:10,1.764,0.088
153,3/29/2019 13:20,1.764,0.085
154,3/29/2019 13:30,1.764,0.085
155,3/29/2019 13:40,1.764,0.085
156,3/29/2019 13:50,1.764,0.085
157,3/29/2019 14:00,1.764,0.083
158,3/29/2019 14:10,1.764,0.084
159,3/29/2019 14:20,1.764,0.084
160,3/29/2019 14:30,1.764,0.084
161,3/29/2019 14:40,1.764,0.084
162,3/29/2019 14:50,1.764,0.083
163,3/29/2019 15:00,1.764,0.083
164,3/29/2019 15:10,1.764,0.084
165,3/29/2019 15:20,1.764,0.085
166,3/29/2019 15:30,1.764,0.084
167,3/29/2019 15:40,1.764,0.087
168,3/29/2019 15:50,1.764,0.086
169,3/29/2019 16:00,1.764,0.087
170,3/29/2019 16:10,1.764,0.09
171,3/29/2019 16:20,1.764,0.089
172,3/29/2019 16:30,1.764,0.094
173,3/29/2019 16:40,1.764,0.095
174,3/29/2019 16:50,1.764,0.097
175,3/29/2019 17:00,1.764,0.098
176,3/29/2019 17:10,1.764,0.102
177,3/29/2019 17:20,1.764,0.105
178,3/29/2019 17:30,1.764,0.111
179,3/29/2019 17:40,1.764,0.119
180,3/29/2019 17:50,1.764,0.12
181,3/29/2019 18:00,1.764,0.124
182,3/29/2019 18:10,1.764,0.125
183,3/29/2019 18:20,1.764,0.127
184,3/29/2019 18:30,1.764,0.13
185,3/29/2019 18:40,1.764,0.129
186,3/29/2019 18:50,1.764,0.13
187,3/29/2019 19:00,1.764,0.13
188,3/29/2019 19:10,1.764,0.132
189,3/29/2019 19:20,1.764,0.132
190,3/29/2019 19:30,1.764,0.134
191,3/29/2019 19:40,1.764,0.134
192,3/29/2019 19:50,1.764,0.135
193,3/29/2019 20:00,1.656,0.136
194,3/29/2019 20:10,1.764,0.139
195,3/29/2019 20:20,1.764,0.141
196,3/29/2019 20:30,1.764,0.143
197,3/29/2019 20:40,1.764,0.143
198,3/29/2019 20:50,1.764,0.142
199,3/29/2019 21:00,1.764,0.143
200,3/29/2019 21:10,1.764,0.145
201,3/29/2019 21:20,1.764,0.146
202,3/29/2019 21:30,1.764,0.144
203,3/29/2019 21:40,1.764,0.146
204,3/29/2019 21:50,1.764,0.146
205,3/29/2019 22:00,1.764,0.144
