Well ID, Well Height (cm), water level (ft), Time
86-4-S1, 99.5, 5.23, 8:23 AM
86-4-S2, 119.6, 5.73, 8:30 AM
86-4-S3, 124.0, 5.63, 8:19 AM 
86-3-s1, 113.0, 4.73, 8:44 AM
86-3-s2, 131.0, 5.24, 8:41 AM
86-3-s3, 119.2, 4.65, 8:37 AM
86-3-d2, 66.4, 2.82, 8:50 AM
52-2-s1, 85.2, 3.20, 9:24 AM
52-3-s2, 100.5, 3.96, 9:50 AM
52-3-s3, 132.0, 4.73, 10:03 AM
52-3-s1, 133.0, 4.67, 10:12 AM
42-3-s2, 86.5, 4.29, 10:35 AM
42-3-s3, 133.2, 5.63, 10:50 AM
42-3-s1, 98.5, 4.38, 11:02 AM
42-2-s1, ,5.14, 11:49 AM
42-4-s1, 99.0, 4.91, 1:00 PM
42-4-s3, 84.7, 4.44, 1:14 PM
42-4-s2, 118.0, 5.08, 1:22 PM
