"Plot Title: 52.2.S1"
"#","Date Time, GMT-04:00","Abs Pres, kPa (LGR S/N: 20566223, SEN S/N: 20566223)","Temp, °C (LGR S/N: 20566223, SEN S/N: 20566223)","Coupler Detached (LGR S/N: 20566223, SEN S/N: 20566223)","Coupler Attached (LGR S/N: 20566223, SEN S/N: 20566223)","Host Connected (LGR S/N: 20566223, SEN S/N: 20566223)","Stopped (LGR S/N: 20566223, SEN S/N: 20566223)","End Of File (LGR S/N: 20566223, SEN S/N: 20566223)"
1,03/28/19 12:00:00 PM,95.085,2.303,Logged,,,,
2,03/28/19 12:10:00 PM,95.040,2.195,,,,,
3,03/28/19 12:20:00 PM,95.030,2.195,,,,,
4,03/28/19 12:30:00 PM,94.996,2.088,,,,,
5,03/28/19 12:40:00 PM,94.996,2.088,,,,,
6,03/28/19 12:50:00 PM,94.976,2.088,,,,,
7,03/28/19 01:00:00 PM,94.976,2.088,,,,,
8,03/28/19 01:10:00 PM,94.956,2.088,,,,,
9,03/28/19 01:20:00 PM,94.935,2.088,,,,,
10,03/28/19 01:30:00 PM,94.925,2.088,,,,,
11,03/28/19 01:40:00 PM,94.925,2.088,,,,,
12,03/28/19 01:50:00 PM,94.915,2.088,,,,,
13,03/28/19 02:00:00 PM,94.905,2.088,,,,,
14,03/28/19 02:10:00 PM,94.895,2.088,,,,,
15,03/28/19 02:20:00 PM,94.874,2.088,,,,,
16,03/28/19 02:30:00 PM,94.874,2.088,,,,,
17,03/28/19 02:40:00 PM,94.874,2.088,,,,,
18,03/28/19 02:50:00 PM,94.874,2.088,,,,,
19,03/28/19 03:00:00 PM,94.874,2.088,,,,,
20,03/28/19 03:10:00 PM,94.874,2.088,,,,,
21,03/28/19 03:20:00 PM,94.895,2.088,,,,,
22,03/28/19 03:30:00 PM,94.925,2.088,,,,,
23,03/28/19 03:40:00 PM,94.945,2.088,,,,,
24,03/28/19 03:50:00 PM,94.976,2.088,,,,,
25,03/28/19 04:00:00 PM,95.026,2.088,,,,,
26,03/28/19 04:10:00 PM,95.037,2.088,,,,,
27,03/28/19 04:20:00 PM,95.067,2.088,,,,,
28,03/28/19 04:30:00 PM,95.057,2.088,,,,,
29,03/28/19 04:40:00 PM,95.047,2.088,,,,,
30,03/28/19 04:50:00 PM,95.043,1.980,,,,,
31,03/28/19 05:00:00 PM,95.002,1.980,,,,,
32,03/28/19 05:10:00 PM,95.002,1.980,,,,,
33,03/28/19 05:20:00 PM,94.992,1.980,,,,,
34,03/28/19 05:30:00 PM,94.972,1.980,,,,,
35,03/28/19 05:40:00 PM,94.962,1.980,,,,,
36,03/28/19 05:50:00 PM,94.962,1.980,,,,,
37,03/28/19 06:00:00 PM,94.982,1.980,,,,,
38,03/28/19 06:10:00 PM,94.982,1.980,,,,,
39,03/28/19 06:20:00 PM,94.982,1.980,,,,,
40,03/28/19 06:30:00 PM,94.972,1.980,,,,,
41,03/28/19 06:40:00 PM,94.992,1.980,,,,,
42,03/28/19 06:50:00 PM,94.972,1.980,,,,,
43,03/28/19 07:00:00 PM,94.982,1.980,,,,,
44,03/28/19 07:10:00 PM,94.972,1.980,,,,,
45,03/28/19 07:20:00 PM,94.972,1.980,,,,,
46,03/28/19 07:30:00 PM,94.972,1.980,,,,,
47,03/28/19 07:40:00 PM,94.982,1.980,,,,,
48,03/28/19 07:50:00 PM,95.002,1.980,,,,,
49,03/28/19 08:00:00 PM,94.992,1.980,,,,,
50,03/28/19 08:10:00 PM,94.992,1.980,,,,,
51,03/28/19 08:20:00 PM,95.013,1.980,,,,,
52,03/28/19 08:30:00 PM,95.023,1.980,,,,,
53,03/28/19 08:40:00 PM,95.033,1.980,,,,,
54,03/28/19 08:50:00 PM,95.043,1.980,,,,,
55,03/28/19 09:00:00 PM,95.063,1.980,,,,,
56,03/28/19 09:10:00 PM,95.073,1.980,,,,,
57,03/28/19 09:20:00 PM,95.083,1.980,,,,,
58,03/28/19 09:30:00 PM,95.083,1.980,,,,,
59,03/28/19 09:40:00 PM,95.083,1.980,,,,,
60,03/28/19 09:50:00 PM,95.083,1.980,,,,,
61,03/28/19 10:00:00 PM,95.083,1.980,,,,,
62,03/28/19 10:10:00 PM,95.083,1.980,,,,,
63,03/28/19 10:20:00 PM,95.073,1.980,,,,,
64,03/28/19 10:30:00 PM,95.053,1.980,,,,,
65,03/28/19 10:40:00 PM,95.043,1.980,,,,,
66,03/28/19 10:50:00 PM,95.023,1.980,,,,,
67,03/28/19 11:00:00 PM,95.033,1.980,,,,,
68,03/28/19 11:10:00 PM,95.023,1.980,,,,,
69,03/28/19 11:20:00 PM,95.033,1.980,,,,,
70,03/28/19 11:30:00 PM,95.023,1.980,,,,,
71,03/28/19 11:40:00 PM,95.023,1.980,,,,,
72,03/28/19 11:50:00 PM,95.023,1.980,,,,,
73,03/29/19 12:00:00 AM,95.013,1.980,,,,,
74,03/29/19 12:10:00 AM,95.013,1.980,,,,,
75,03/29/19 12:20:00 AM,95.013,1.980,,,,,
76,03/29/19 12:30:00 AM,95.002,1.980,,,,,
77,03/29/19 12:40:00 AM,95.023,1.980,,,,,
78,03/29/19 12:50:00 AM,95.023,1.980,,,,,
79,03/29/19 01:00:00 AM,95.033,1.980,,,,,
80,03/29/19 01:10:00 AM,95.013,1.980,,,,,
81,03/29/19 01:20:00 AM,95.002,1.980,,,,,
82,03/29/19 01:30:00 AM,94.992,1.980,,,,,
83,03/29/19 01:40:00 AM,94.982,1.980,,,,,
84,03/29/19 01:50:00 AM,94.972,1.980,,,,,
85,03/29/19 02:00:00 AM,94.942,1.980,,,,,
86,03/29/19 02:10:00 AM,94.931,1.980,,,,,
87,03/29/19 02:20:00 AM,94.911,1.980,,,,,
88,03/29/19 02:30:00 AM,94.891,1.980,,,,,
89,03/29/19 02:40:00 AM,94.891,1.980,,,,,
90,03/29/19 02:50:00 AM,94.871,1.980,,,,,
91,03/29/19 03:00:00 AM,94.861,1.980,,,,,
92,03/29/19 03:10:00 AM,94.840,1.980,,,,,
93,03/29/19 03:20:00 AM,94.820,1.980,,,,,
