"Plot Title: 86_3_d2"
"#","Date Time, GMT-04:00","Abs Pres, kPa (LGR S/N: 10766685, SEN S/N: 10766685, LBL: pressure)","Temp, °C (LGR S/N: 10766685, SEN S/N: 10766685, LBL: temp)","Coupler Detached (LGR S/N: 10766685, SEN S/N: 10766685)","Coupler Attached (LGR S/N: 10766685, SEN S/N: 10766685)","Host Connected (LGR S/N: 10766685, SEN S/N: 10766685)","Stopped (LGR S/N: 10766685, SEN S/N: 10766685)","End Of File (LGR S/N: 10766685, SEN S/N: 10766685)"
1,05/22/19 11:49:10 AM,95.287,8.382,,,,,
2,05/22/19 11:50:10 AM,95.267,9.077,,,,,
3,05/22/19 11:50:13 AM,,,Logged,,,,
4,05/22/19 11:51:10 AM,95.278,10.357,,,,,
5,05/22/19 11:52:10 AM,121.307,11.625,,,,,
6,05/22/19 11:53:10 AM,121.251,10.846,,,,,
7,05/22/19 11:54:10 AM,121.225,9.965,,,,,
8,05/22/19 11:55:10 AM,121.202,9.176,,,,,
9,05/22/19 11:56:10 AM,121.181,8.680,,,,,
10,05/22/19 11:57:10 AM,121.160,8.182,,,,,
11,05/22/19 11:58:10 AM,121.181,7.882,,,,,
12,05/22/19 11:59:10 AM,121.157,7.582,,,,,
13,05/22/19 12:00:10 PM,121.133,7.280,,,,,
14,05/22/19 12:01:10 PM,121.135,7.079,,,,,
15,05/22/19 12:02:10 PM,121.127,6.877,,,,,
16,05/22/19 12:03:10 PM,121.107,6.674,,,,,
17,05/22/19 12:04:10 PM,121.114,6.573,,,,,
18,05/22/19 12:05:10 PM,121.121,6.471,,,,,
19,05/22/19 12:06:10 PM,121.116,6.370,,,,,
20,05/22/19 12:07:10 PM,121.123,6.268,,,,,
21,05/22/19 12:08:10 PM,121.119,6.166,,,,,
22,05/22/19 12:09:10 PM,121.103,6.064,,,,,
23,05/22/19 12:10:10 PM,121.137,6.064,,,,,
24,05/22/19 12:11:10 PM,121.133,5.962,,,,,
25,05/22/19 12:12:10 PM,121.110,5.962,,,,,
26,05/22/19 12:13:10 PM,121.117,5.860,,,,,
27,05/22/19 12:14:10 PM,121.106,5.860,,,,,
28,05/22/19 12:15:10 PM,121.101,5.757,,,,,
29,05/22/19 12:16:10 PM,121.113,5.757,,,,,
30,05/22/19 12:17:10 PM,121.124,5.757,,,,,
31,05/22/19 12:18:10 PM,121.113,5.757,,,,,
32,05/22/19 12:19:10 PM,121.097,5.655,,,,,
33,05/22/19 12:20:10 PM,121.086,5.655,,,,,
34,05/22/19 12:21:10 PM,121.097,5.655,,,,,
35,05/22/19 12:22:10 PM,121.120,5.655,,,,,
36,05/22/19 12:23:10 PM,121.086,5.655,,,,,
37,05/22/19 12:24:10 PM,121.108,5.655,,,,,
38,05/22/19 12:25:10 PM,121.126,5.552,,,,,
39,05/22/19 12:26:10 PM,121.104,5.552,,,,,
40,05/22/19 12:27:10 PM,121.093,5.552,,,,,
41,05/22/19 12:28:10 PM,121.081,5.552,,,,,
42,05/22/19 12:29:10 PM,121.093,5.552,,,,,
43,05/22/19 12:30:10 PM,121.104,5.552,,,,,
44,05/22/19 12:31:10 PM,121.093,5.552,,,,,
45,05/22/19 12:32:10 PM,121.081,5.552,,,,,
46,05/22/19 12:33:10 PM,121.093,5.552,,,,,
47,05/22/19 12:34:10 PM,121.104,5.552,,,,,
48,05/22/19 12:35:10 PM,121.093,5.552,,,,,
49,05/22/19 12:36:10 PM,121.093,5.552,,,,,
50,05/22/19 12:37:10 PM,121.081,5.552,,,,,
51,05/22/19 12:38:10 PM,121.066,5.450,,,,,
52,05/22/19 12:39:10 PM,121.104,5.552,,,,,
53,05/22/19 12:40:10 PM,121.111,5.450,,,,,
54,05/22/19 12:41:10 PM,121.088,5.450,,,,,
55,05/22/19 12:42:10 PM,121.099,5.450,,,,,
56,05/22/19 12:42:58 PM,,,,Logged,,,
57,05/22/19 12:43:02 PM,,,,,Logged,,
58,05/22/19 12:43:10 PM,95.243,5.552,,,,,
59,05/22/19 12:43:25 PM,,,,,,Logged,Logged
