"Plot Title: 86_4_s1"
"#","Date Time, GMT-04:00","Abs Pres, kPa (LGR S/N: 10766683, SEN S/N: 10766683, LBL: pressure)","Temp, °C (LGR S/N: 10766683, SEN S/N: 10766683, LBL: temp)","Coupler Detached (LGR S/N: 10766683, SEN S/N: 10766683)","End Of File (LGR S/N: 10766683, SEN S/N: 10766683)"
1,03/11/19 01:00:00 PM,93.831,3.788,Logged,Logged
2,03/11/19 01:00:00 PM,93.809,3.683,,
3,03/11/19 01:00:00 PM,93.799,3.683,,
4,03/11/19 01:00:00 PM,93.809,3.683,,
5,03/11/19 01:00:00 PM,93.860,3.683,,
6,03/11/19 01:00:00 PM,93.901,3.683,,
7,03/11/19 01:00:00 PM,93.973,3.683,,
8,03/11/19 01:00:00 PM,93.993,3.683,,
9,03/11/19 01:00:00 PM,94.004,3.683,,
10,03/11/19 01:00:00 PM,93.983,3.683,,
11,03/11/19 01:00:00 PM,93.973,3.683,,
12,03/11/19 01:00:00 PM,93.952,3.683,,
13,03/11/19 01:00:00 PM,93.983,3.683,,
14,03/11/19 01:00:00 PM,94.045,3.683,,
15,03/11/19 01:00:00 PM,94.055,3.683,,
16,03/11/19 01:00:00 PM,94.045,3.683,,
17,03/11/19 01:00:00 PM,94.117,3.683,,
18,03/11/19 01:00:00 PM,94.158,3.683,,
19,03/11/19 01:00:00 PM,94.219,3.683,,
20,03/11/19 01:00:00 PM,94.281,3.683,,
21,03/11/19 01:00:00 PM,94.342,3.683,,
22,03/11/19 01:00:00 PM,94.414,3.683,,
23,03/11/19 01:00:00 PM,94.476,3.683,,
24,03/11/19 01:00:00 PM,94.527,3.683,,
25,03/11/19 01:00:00 PM,95.954,9.866,,
26,03/11/19 01:00:00 PM,94.913,7.682,,
27,03/11/19 01:00:00 PM,94.758,6.064,,
28,03/11/19 01:00:00 PM,94.670,5.244,,
29,03/11/19 01:00:00 PM,94.672,4.831,,
30,03/11/19 01:00:00 PM,94.687,4.519,,
31,03/11/19 01:00:00 PM,94.829,4.415,,
32,03/11/19 01:00:00 PM,94.878,4.311,,
33,03/11/19 01:00:00 PM,94.958,4.207,,
34,03/11/19 01:00:00 PM,95.007,4.102,,
35,03/11/19 01:00:00 PM,94.975,3.998,,
36,03/11/19 01:00:00 PM,95.036,3.998,,
37,03/11/19 01:00:00 PM,95.046,3.998,,
38,03/11/19 01:00:00 PM,95.116,3.893,,
39,03/11/19 01:00:00 PM,95.147,3.893,,
40,03/11/19 01:00:00 PM,95.147,3.893,,
41,03/11/19 01:00:00 PM,95.106,3.893,,
42,03/11/19 01:00:00 PM,95.127,3.893,,
43,03/11/19 01:00:00 PM,95.217,3.788,,
44,03/11/19 01:00:00 PM,95.207,3.788,,
45,03/11/19 01:00:00 PM,95.320,3.788,,
46,03/11/19 01:00:00 PM,95.381,3.788,,
47,03/11/19 01:00:00 PM,95.330,3.788,,
48,03/11/19 01:00:00 PM,95.289,3.788,,
49,03/11/19 01:00:00 PM,95.279,3.788,,
50,03/11/19 01:00:00 PM,95.237,3.788,,
51,03/11/19 01:00:00 PM,95.186,3.788,,
52,03/11/19 01:00:00 PM,95.114,3.788,,
53,03/11/19 01:00:00 PM,95.166,3.788,,
54,03/11/19 01:00:00 PM,95.186,3.788,,
55,03/11/19 01:00:00 PM,95.186,3.788,,
56,03/11/19 01:00:00 PM,95.217,3.788,,
57,03/11/19 01:00:00 PM,95.248,3.788,,
58,03/11/19 01:00:00 PM,95.205,3.683,,
59,03/11/19 01:00:00 PM,95.225,3.683,,
60,03/11/19 01:00:00 PM,95.235,3.683,,
61,03/11/19 01:00:00 PM,95.205,3.683,,
62,03/11/19 01:00:00 PM,95.205,3.683,,
63,03/11/19 01:00:00 PM,95.184,3.683,,
64,03/11/19 01:00:00 PM,95.153,3.683,,
65,03/11/19 01:00:00 PM,95.143,3.683,,
66,03/11/19 01:00:00 PM,95.246,3.683,,
67,03/11/19 01:00:00 PM,95.256,3.683,,
68,03/11/19 01:00:00 PM,95.297,3.683,,
69,03/11/19 01:00:00 PM,95.307,3.683,,
70,03/11/19 01:00:00 PM,95.266,3.683,,
71,03/11/19 01:00:00 PM,95.225,3.683,,
72,03/11/19 01:00:00 PM,95.174,3.683,,
73,03/11/19 01:00:00 PM,95.164,3.683,,
74,03/11/19 01:00:00 PM,95.051,3.683,,
75,03/11/19 01:00:00 PM,95.020,3.683,,
76,03/11/19 01:00:00 PM,95.010,3.683,,
77,03/11/19 01:00:00 PM,94.989,3.683,,
78,03/11/19 01:00:00 PM,94.938,3.683,,
79,03/11/19 01:00:00 PM,94.927,3.683,,
80,03/11/19 01:00:00 PM,94.856,3.683,,
81,03/11/19 01:00:00 PM,94.866,3.683,,
82,03/11/19 01:00:00 PM,94.825,3.683,,
83,03/11/19 01:00:00 PM,94.804,3.683,,
84,03/11/19 01:00:00 PM,94.691,3.683,,
85,03/11/19 01:00:00 PM,94.599,3.683,,
86,03/11/19 01:00:00 PM,94.476,3.683,,
87,03/11/19 01:00:00 PM,94.404,3.683,,
88,03/11/19 01:00:00 PM,94.260,3.683,,
89,03/11/19 01:00:00 PM,94.147,3.683,,
90,03/11/19 01:00:00 PM,94.096,3.683,,
91,03/11/19 01:00:00 PM,94.055,3.683,,
92,03/11/19 01:00:00 PM,93.963,3.683,,
