"Plot Title: 52_B"
"#","Date Time, GMT-04:00","Abs Pres, kPa (LGR S/N: 10710509, SEN S/N: 10710509)","Temp, °C (LGR S/N: 10710509, SEN S/N: 10710509)","Coupler Detached (LGR S/N: 10710509, SEN S/N: 10710509)","Coupler Attached (LGR S/N: 10710509, SEN S/N: 10710509)","Host Connected (LGR S/N: 10710509, SEN S/N: 10710509)","End Of File (LGR S/N: 10710509, SEN S/N: 10710509)"
1,03/11/19 01:00:00 PM,93.534,-0.774,Logged,,,
2,03/11/19 01:10:00 PM,93.513,-0.774,,,,
3,03/11/19 01:20:00 PM,93.523,-0.774,,,,
4,03/11/19 01:30:00 PM,93.509,-0.887,,,,
5,03/11/19 01:40:00 PM,93.488,-0.887,,,,
6,03/11/19 01:50:00 PM,93.488,-0.887,,,,
7,03/11/19 02:00:00 PM,93.488,-0.887,,,,
8,03/11/19 02:10:00 PM,93.492,-0.774,,,,
9,03/11/19 02:20:00 PM,93.482,-0.774,,,,
10,03/11/19 02:30:00 PM,93.482,-0.774,,,,
11,03/11/19 02:40:00 PM,93.482,-0.774,,,,
12,03/11/19 02:50:00 PM,93.472,-0.774,,,,
13,03/11/19 03:00:00 PM,93.503,-0.774,,,,
14,03/11/19 03:10:00 PM,93.482,-0.774,,,,
15,03/11/19 03:20:00 PM,93.482,-0.774,,,,
16,03/11/19 03:30:00 PM,93.476,-0.662,,,,
17,03/11/19 03:40:00 PM,93.517,-0.662,,,,
18,03/11/19 03:50:00 PM,93.496,-0.662,,,,
19,03/11/19 04:00:00 PM,93.517,-0.662,,,,
20,03/11/19 04:10:00 PM,93.496,-0.662,,,,
21,03/11/19 04:20:00 PM,93.517,-0.662,,,,
22,03/11/19 04:30:00 PM,93.521,-0.549,,,,
23,03/11/19 04:40:00 PM,93.521,-0.549,,,,
24,03/11/19 04:50:00 PM,93.552,-0.549,,,,
25,03/11/19 05:00:00 PM,93.552,-0.549,,,,
26,03/11/19 05:10:00 PM,93.562,-0.549,,,,
27,03/11/19 05:20:00 PM,93.552,-0.549,,,,
28,03/11/19 05:30:00 PM,93.552,-0.549,,,,
29,03/11/19 05:40:00 PM,93.552,-0.549,,,,
30,03/11/19 05:50:00 PM,93.583,-0.549,,,,
31,03/11/19 06:00:00 PM,93.613,-0.549,,,,
32,03/11/19 06:10:00 PM,93.613,-0.549,,,,
33,03/11/19 06:20:00 PM,93.613,-0.549,,,,
34,03/11/19 06:30:00 PM,93.613,-0.549,,,,
35,03/11/19 06:40:00 PM,93.634,-0.549,,,,
36,03/11/19 06:50:00 PM,93.654,-0.549,,,,
37,03/11/19 07:00:00 PM,93.669,-0.437,,,,
38,03/11/19 07:10:00 PM,93.669,-0.437,,,,
39,03/11/19 07:20:00 PM,93.720,-0.437,,,,
40,03/11/19 07:30:00 PM,93.710,-0.437,,,,
41,03/11/19 07:40:00 PM,93.700,-0.437,,,,
42,03/11/19 07:50:00 PM,93.689,-0.437,,,,
43,03/11/19 08:00:00 PM,93.720,-0.437,,,,
44,03/11/19 08:10:00 PM,93.710,-0.437,,,,
45,03/11/19 08:20:00 PM,93.700,-0.437,,,,
46,03/11/19 08:30:00 PM,93.700,-0.437,,,,
47,03/11/19 08:40:00 PM,93.710,-0.437,,,,
48,03/11/19 08:50:00 PM,93.710,-0.437,,,,
49,03/11/19 09:00:00 PM,93.700,-0.437,,,,
50,03/11/19 09:10:00 PM,93.706,-0.549,,,,
51,03/11/19 09:20:00 PM,93.695,-0.549,,,,
52,03/11/19 09:30:00 PM,93.706,-0.549,,,,
53,03/11/19 09:40:00 PM,93.706,-0.549,,,,
54,03/11/19 09:50:00 PM,93.665,-0.549,,,,
55,03/11/19 10:00:00 PM,93.685,-0.549,,,,
56,03/11/19 10:10:00 PM,93.685,-0.549,,,,
57,03/11/19 10:20:00 PM,93.675,-0.549,,,,
58,03/11/19 10:30:00 PM,93.685,-0.549,,,,
59,03/11/19 10:40:00 PM,93.675,-0.549,,,,
60,03/11/19 10:50:00 PM,93.665,-0.549,,,,
61,03/11/19 11:00:00 PM,93.671,-0.662,,,,
62,03/11/19 11:10:00 PM,93.650,-0.662,,,,
63,03/11/19 11:20:00 PM,93.681,-0.662,,,,
64,03/11/19 11:30:00 PM,93.671,-0.662,,,,
65,03/11/19 11:40:00 PM,93.671,-0.662,,,,
66,03/11/19 11:50:00 PM,93.681,-0.662,,,,
67,03/12/19 12:00:00 AM,93.650,-0.662,,,,
68,03/12/19 12:10:00 AM,93.661,-0.662,,,,
69,03/12/19 12:20:00 AM,93.650,-0.662,,,,
70,03/12/19 12:30:00 AM,93.646,-0.774,,,,
71,03/12/19 12:40:00 AM,93.657,-0.774,,,,
72,03/12/19 12:50:00 AM,93.657,-0.774,,,,
73,03/12/19 01:00:00 AM,93.677,-0.774,,,,
74,03/12/19 01:10:00 AM,93.687,-0.774,,,,
75,03/12/19 01:20:00 AM,93.667,-0.774,,,,
76,03/12/19 01:30:00 AM,93.698,-0.774,,,,
77,03/12/19 01:40:00 AM,93.704,-0.887,,,,
78,03/12/19 01:50:00 AM,93.745,-0.887,,,,
79,03/12/19 02:00:00 AM,93.714,-0.887,,,,
80,03/12/19 02:10:00 AM,93.714,-0.887,,,,
81,03/12/19 02:20:00 AM,93.735,-0.887,,,,
82,03/12/19 02:30:00 AM,93.735,-0.887,,,,
83,03/12/19 02:40:00 AM,93.755,-0.887,,,,
84,03/12/19 02:50:00 AM,93.755,-0.887,,,,
85,03/12/19 03:00:00 AM,93.745,-0.887,,,,
86,03/12/19 03:10:00 AM,93.755,-0.887,,,,
87,03/12/19 03:20:00 AM,93.751,-1.001,,,,
88,03/12/19 03:30:00 AM,93.761,-1.001,,,,
89,03/12/19 03:40:00 AM,93.761,-1.001,,,,
90,03/12/19 03:50:00 AM,93.731,-1.001,,,,
91,03/12/19 04:00:00 AM,93.751,-1.001,,,,
92,03/12/19 04:10:00 AM,93.782,-1.001,,,,
93,03/12/19 04:20:00 AM,93.761,-1.001,,,,
94,03/12/19 04:30:00 AM,93.768,-1.114,,,,
95,03/12/19 04:40:00 AM,93.778,-1.114,,,,
96,03/12/19 04:50:00 AM,93.819,-1.114,,,,
97,03/12/19 05:00:00 AM,93.819,-1.114,,,,
98,03/12/19 05:10:00 AM,93.819,-1.114,,,,
99,03/12/19 05:20:00 AM,93.829,-1.114,,,,
100,03/12/19 05:30:00 AM,93.850,-1.114,,,,
101,03/12/19 05:40:00 AM,93.856,-1.228,,,,
102,03/12/19 05:50:00 AM,93.876,-1.228,,,,
103,03/12/19 06:00:00 AM,93.887,-1.228,,,,
104,03/12/19 06:10:00 AM,93.866,-1.228,,,,
105,03/12/19 06:20:00 AM,93.897,-1.228,,,,
106,03/12/19 06:30:00 AM,93.897,-1.228,,,,
107,03/12/19 06:40:00 AM,93.897,-1.228,,,,
108,03/12/19 06:50:00 AM,93.907,-1.228,,,,
109,03/12/19 07:00:00 AM,93.907,-1.228,,,,
110,03/12/19 07:10:00 AM,93.928,-1.228,,,,
111,03/12/19 07:20:00 AM,93.948,-1.228,,,,
112,03/12/19 07:30:00 AM,93.954,-1.341,,,,
113,03/12/19 07:40:00 AM,93.954,-1.341,,,,
114,03/12/19 07:50:00 AM,93.944,-1.341,,,,
115,03/12/19 08:00:00 AM,93.954,-1.341,,,,
116,03/12/19 08:10:00 AM,93.975,-1.341,,,,
117,03/12/19 08:20:00 AM,94.006,-1.341,,,,
118,03/12/19 08:30:00 AM,94.016,-1.341,,,,
119,03/12/19 08:40:00 AM,94.026,-1.341,,,,
120,03/12/19 08:50:00 AM,94.026,-1.341,,,,
121,03/12/19 09:00:00 AM,94.037,-1.341,,,,
122,03/12/19 09:10:00 AM,94.078,-1.341,,,,
123,03/12/19 09:20:00 AM,94.088,-1.341,,,,
124,03/12/19 09:30:00 AM,94.088,-1.341,,,,
125,03/12/19 09:40:00 AM,94.115,-1.456,,,,
126,03/12/19 09:50:00 AM,94.104,-1.456,,,,
127,03/12/19 10:00:00 AM,94.125,-1.456,,,,
128,03/12/19 10:10:00 AM,94.135,-1.456,,,,
129,03/12/19 10:20:00 AM,94.156,-1.456,,,,
130,03/12/19 10:30:00 AM,94.176,-1.456,,,,
131,03/12/19 10:40:00 AM,94.176,-1.456,,,,
132,03/12/19 10:50:00 AM,94.197,-1.456,,,,
133,03/12/19 11:00:00 AM,94.186,-1.456,,,,
134,03/12/19 11:10:00 AM,94.186,-1.456,,,,
135,03/12/19 11:20:00 AM,94.197,-1.456,,,,
