"Plot Title: 52_4_s3"
"#","Date Time, GMT-04:00","Abs Pres, kPa (LGR S/N: 9924998, SEN S/N: 9924998, LBL: Pressure)","Temp, °C (LGR S/N: 9924998, SEN S/N: 9924998, LBL: Temp)","Coupler Detached (LGR S/N: 9924998, SEN S/N: 9924998)","Coupler Attached (LGR S/N: 9924998, SEN S/N: 9924998)","Host Connected (LGR S/N: 9924998, SEN S/N: 9924998)","Stopped (LGR S/N: 9924998, SEN S/N: 9924998)","End Of File (LGR S/N: 9924998, SEN S/N: 9924998)"
1,05/22/19 02:03:43 PM,94.321,13.365,,,,,
2,05/22/19 02:04:34 PM,,,Logged,,,,
3,05/22/19 02:04:43 PM,94.515,14.325,,,,,
4,05/22/19 02:05:43 PM,98.415,12.304,,,,,
5,05/22/19 02:06:43 PM,98.566,10.063,,,,,
6,05/22/19 02:07:43 PM,98.596,8.779,,,,,
7,05/22/19 02:08:43 PM,98.624,7.983,,,,,
8,05/22/19 02:09:43 PM,98.626,7.481,,,,,
9,05/22/19 02:10:43 PM,98.632,7.079,,,,,
10,05/22/19 02:11:43 PM,98.643,6.877,,,,,
11,05/22/19 02:12:43 PM,98.654,6.674,,,,,
12,05/22/19 02:13:43 PM,98.632,6.471,,,,,
13,05/22/19 02:14:43 PM,98.645,6.370,,,,,
14,05/22/19 02:15:43 PM,98.626,6.268,,,,,
15,05/22/19 02:16:43 PM,98.623,6.166,,,,,
16,05/22/19 02:17:43 PM,98.623,6.166,,,,,
17,05/22/19 02:18:43 PM,98.621,6.064,,,,,
18,05/22/19 02:19:43 PM,98.604,6.064,,,,,
19,05/22/19 02:20:43 PM,98.618,5.962,,,,,
20,05/22/19 02:21:43 PM,98.634,5.962,,,,,
21,05/22/19 02:22:43 PM,98.615,5.860,,,,,
22,05/22/19 02:23:43 PM,98.615,5.860,,,,,
23,05/22/19 02:24:43 PM,98.632,5.860,,,,,
24,05/22/19 02:25:43 PM,98.632,5.860,,,,,
25,05/22/19 02:26:43 PM,98.645,5.757,,,,,
26,05/22/19 02:27:43 PM,98.645,5.757,,,,,
27,05/22/19 02:28:43 PM,98.629,5.757,,,,,
28,05/22/19 02:29:43 PM,98.645,5.757,,,,,
29,05/22/19 02:30:43 PM,98.645,5.757,,,,,
30,05/22/19 02:31:43 PM,98.659,5.655,,,,,
31,05/22/19 02:32:43 PM,98.659,5.655,,,,,
32,05/22/19 02:33:43 PM,98.659,5.655,,,,,
33,05/22/19 02:34:43 PM,98.659,5.655,,,,,
34,05/22/19 02:35:43 PM,98.643,5.655,,,,,
35,05/22/19 02:36:43 PM,98.659,5.655,,,,,
36,05/22/19 02:37:43 PM,98.643,5.655,,,,,
37,05/22/19 02:38:43 PM,98.659,5.655,,,,,
38,05/22/19 02:39:43 PM,98.659,5.655,,,,,
39,05/22/19 02:40:43 PM,98.659,5.655,,,,,
40,05/22/19 02:41:43 PM,98.656,5.552,,,,,
41,05/22/19 02:42:43 PM,98.656,5.552,,,,,
42,05/22/19 02:43:43 PM,98.673,5.552,,,,,
43,05/22/19 02:44:43 PM,98.673,5.552,,,,,
44,05/22/19 02:45:43 PM,98.673,5.552,,,,,
45,05/22/19 02:46:43 PM,98.656,5.552,,,,,
46,05/22/19 02:47:43 PM,98.673,5.552,,,,,
47,05/22/19 02:48:43 PM,98.673,5.552,,,,,
48,05/22/19 02:49:43 PM,98.673,5.552,,,,,
49,05/22/19 02:50:43 PM,98.673,5.552,,,,,
50,05/22/19 02:51:43 PM,98.673,5.552,,,,,
51,05/22/19 02:52:43 PM,98.673,5.552,,,,,
52,05/22/19 02:53:43 PM,98.656,5.552,,,,,
53,05/22/19 02:54:43 PM,98.673,5.552,,,,,
54,05/22/19 02:55:43 PM,98.656,5.552,,,,,
55,05/22/19 02:56:43 PM,98.656,5.552,,,,,
56,05/22/19 02:57:43 PM,98.673,5.552,,,,,
57,05/22/19 02:58:43 PM,98.656,5.552,,,,,
58,05/22/19 02:59:43 PM,98.673,5.552,,,,,
59,05/22/19 03:00:43 PM,98.673,5.552,,,,,
60,05/22/19 03:01:43 PM,98.670,5.450,,,,,
61,05/22/19 03:02:43 PM,98.670,5.450,,,,,
62,05/22/19 03:03:43 PM,98.670,5.450,,,,,
63,05/22/19 03:04:43 PM,98.687,5.450,,,,,
64,05/22/19 03:05:43 PM,98.687,5.450,,,,,
65,05/22/19 03:06:43 PM,98.687,5.450,,,,,
66,05/22/19 03:07:43 PM,98.670,5.450,,,,,
67,05/22/19 03:08:43 PM,98.687,5.450,,,,,
68,05/22/19 03:09:43 PM,98.704,5.450,,,,,
69,05/22/19 03:10:43 PM,98.704,5.450,,,,,
