"Plot Title: 86_3_d2"
"#","Date Time, GMT-04:00","Abs Pres, kPa (LGR S/N: 10766685, SEN S/N: 10766685, LBL: pressure)","Temp, °C (LGR S/N: 10766685, SEN S/N: 10766685, LBL: temp)","Coupler Detached (LGR S/N: 10766685, SEN S/N: 10766685)","Coupler Attached (LGR S/N: 10766685, SEN S/N: 10766685)","Host Connected (LGR S/N: 10766685, SEN S/N: 10766685)","Stopped (LGR S/N: 10766685, SEN S/N: 10766685)","End Of File (LGR S/N: 10766685, SEN S/N: 10766685)"
1,05/22/19 12:44:23 PM,95.253,6.775,,,,,
2,05/22/19 12:44:43 PM,,,Logged,,,,
3,05/22/19 12:45:23 PM,121.188,7.782,,,,,
4,05/22/19 12:46:23 PM,121.139,7.682,,,,,
5,05/22/19 12:47:23 PM,121.126,7.381,,,,,
6,05/22/19 12:48:23 PM,121.113,7.079,,,,,
7,05/22/19 12:49:23 PM,121.115,6.877,,,,,
8,05/22/19 12:50:23 PM,121.095,6.674,,,,,
9,05/22/19 12:51:23 PM,121.080,6.573,,,,,
10,05/22/19 12:52:23 PM,121.098,6.471,,,,,
11,05/22/19 12:53:23 PM,121.094,6.370,,,,,
12,05/22/19 12:54:23 PM,121.101,6.268,,,,,
13,05/22/19 12:55:23 PM,121.074,6.166,,,,,
14,05/22/19 12:56:23 PM,121.081,6.064,,,,,
15,05/22/19 12:57:23 PM,121.069,6.064,,,,,
16,05/22/19 12:58:23 PM,121.087,5.962,,,,,
17,05/22/19 12:59:23 PM,121.076,5.962,,,,,
18,05/22/19 01:00:23 PM,121.072,5.860,,,,,
19,05/22/19 01:01:23 PM,121.083,5.860,,,,,
20,05/22/19 01:02:23 PM,121.067,5.757,,,,,
21,05/22/19 01:03:23 PM,121.067,5.757,,,,,
22,05/22/19 01:04:23 PM,121.067,5.757,,,,,
23,05/22/19 01:05:23 PM,121.056,5.757,,,,,
24,05/22/19 01:06:23 PM,121.067,5.757,,,,,
25,05/22/19 01:07:23 PM,121.063,5.655,,,,,
26,05/22/19 01:08:23 PM,121.040,5.655,,,,,
27,05/22/19 01:09:23 PM,121.052,5.655,,,,,
28,05/22/19 01:10:23 PM,121.052,5.655,,,,,
29,05/22/19 01:11:23 PM,121.074,5.655,,,,,
30,05/22/19 01:12:23 PM,121.063,5.655,,,,,
31,05/22/19 01:13:23 PM,121.059,5.552,,,,,
32,05/22/19 01:14:23 PM,121.059,5.552,,,,,
33,05/22/19 01:15:23 PM,121.059,5.552,,,,,
34,05/22/19 01:16:23 PM,121.059,5.552,,,,,
35,05/22/19 01:17:23 PM,121.059,5.552,,,,,
36,05/22/19 01:18:23 PM,121.059,5.552,,,,,
37,05/22/19 01:19:23 PM,121.036,5.552,,,,,
38,05/22/19 01:20:23 PM,121.036,5.552,,,,,
39,05/22/19 01:21:23 PM,121.036,5.552,,,,,
40,05/22/19 01:22:23 PM,121.059,5.552,,,,,
41,05/22/19 01:23:23 PM,121.070,5.552,,,,,
42,05/22/19 01:24:23 PM,121.059,5.552,,,,,
43,05/22/19 01:25:23 PM,121.059,5.552,,,,,
44,05/22/19 01:26:23 PM,121.059,5.552,,,,,
45,05/22/19 01:27:23 PM,121.059,5.552,,,,,
46,05/22/19 01:28:23 PM,121.081,5.552,,,,,
47,05/22/19 01:29:23 PM,121.047,5.552,,,,,
48,05/22/19 01:30:23 PM,121.043,5.450,,,,,
49,05/22/19 01:31:23 PM,121.043,5.450,,,,,
50,05/22/19 01:32:23 PM,121.054,5.450,,,,,
51,05/22/19 01:33:23 PM,121.066,5.450,,,,,
52,05/22/19 01:34:23 PM,121.043,5.450,,,,,
53,05/22/19 01:35:23 PM,121.054,5.450,,,,,
54,05/22/19 01:36:23 PM,121.066,5.450,,,,,
