"Plot Title: 52_B"
"#","Date Time, GMT-04:00","Abs Pres, kPa (LGR S/N: 10710509, SEN S/N: 10710509)","Temp, °C (LGR S/N: 10710509, SEN S/N: 10710509)","Coupler Detached (LGR S/N: 10710509, SEN S/N: 10710509)","Coupler Attached (LGR S/N: 10710509, SEN S/N: 10710509)","Host Connected (LGR S/N: 10710509, SEN S/N: 10710509)","Stopped (LGR S/N: 10710509, SEN S/N: 10710509)","End Of File (LGR S/N: 10710509, SEN S/N: 10710509)"
1,05/22/19 11:43:03 AM,94.991,16.523,,,,,
2,05/22/19 11:43:39 AM,,,Logged,,,,
3,05/22/19 11:44:03 AM,94.991,16.523,,,,,
4,05/22/19 11:45:03 AM,94.998,16.427,,,,,
5,05/22/19 11:46:03 AM,94.987,16.427,,,,,
6,05/22/19 11:47:03 AM,95.005,16.332,,,,,
7,05/22/19 11:48:03 AM,94.991,16.237,,,,,
8,05/22/19 11:49:03 AM,95.018,16.141,,,,,
9,05/22/19 11:50:03 AM,95.005,16.046,,,,,
10,05/22/19 11:51:03 AM,95.032,15.951,,,,,
11,05/22/19 11:52:03 AM,95.008,15.855,,,,,
12,05/22/19 11:53:03 AM,95.018,15.855,,,,,
13,05/22/19 11:54:03 AM,94.994,15.760,,,,,
14,05/22/19 11:55:03 AM,94.994,15.760,,,,,
15,05/22/19 11:56:03 AM,95.011,15.664,,,,,
16,05/22/19 11:57:03 AM,95.001,15.664,,,,,
17,05/22/19 11:58:03 AM,95.011,15.664,,,,,
18,05/22/19 11:59:03 AM,94.998,15.569,,,,,
19,05/22/19 12:00:03 PM,94.987,15.569,,,,,
20,05/22/19 12:01:03 PM,94.987,15.569,,,,,
21,05/22/19 12:02:03 PM,94.987,15.569,,,,,
22,05/22/19 12:03:03 PM,95.001,15.664,,,,,
23,05/22/19 12:04:03 PM,94.991,15.664,,,,,
24,05/22/19 12:05:03 PM,94.991,15.664,,,,,
25,05/22/19 12:06:03 PM,94.980,15.664,,,,,
26,05/22/19 12:07:03 PM,94.994,15.760,,,,,
27,05/22/19 12:08:03 PM,94.994,15.760,,,,,
28,05/22/19 12:09:03 PM,94.987,15.855,,,,,
29,05/22/19 12:10:03 PM,95.011,15.951,,,,,
30,05/22/19 12:11:03 PM,95.022,15.951,,,,,
31,05/22/19 12:12:03 PM,95.015,16.046,,,,,
32,05/22/19 12:13:03 PM,95.025,16.046,,,,,
33,05/22/19 12:14:03 PM,95.008,16.141,,,,,
34,05/22/19 12:15:03 PM,95.008,16.141,,,,,
35,05/22/19 12:16:03 PM,95.032,16.237,,,,,
36,05/22/19 12:17:03 PM,95.032,16.237,,,,,
37,05/22/19 12:18:03 PM,95.025,16.332,,,,,
38,05/22/19 12:19:03 PM,95.015,16.332,,,,,
39,05/22/19 12:20:03 PM,95.005,16.332,,,,,
40,05/22/19 12:21:03 PM,95.018,16.427,,,,,
41,05/22/19 12:22:03 PM,95.008,16.427,,,,,
42,05/22/19 12:23:03 PM,95.008,16.427,,,,,
43,05/22/19 12:24:03 PM,95.039,16.427,,,,,
44,05/22/19 12:25:03 PM,95.043,16.523,,,,,
45,05/22/19 12:26:03 PM,95.022,16.523,,,,,
46,05/22/19 12:27:03 PM,95.022,16.523,,,,,
47,05/22/19 12:28:03 PM,95.012,16.523,,,,,
48,05/22/19 12:29:03 PM,95.025,16.618,,,,,
49,05/22/19 12:30:03 PM,95.025,16.618,,,,,
50,05/22/19 12:31:03 PM,95.015,16.618,,,,,
51,05/22/19 12:32:03 PM,95.015,16.618,,,,,
52,05/22/19 12:33:03 PM,95.015,16.618,,,,,
53,05/22/19 12:34:03 PM,95.015,16.618,,,,,
54,05/22/19 12:35:03 PM,95.025,16.618,,,,,
55,05/22/19 12:36:03 PM,95.019,16.713,,,,,
56,05/22/19 12:37:03 PM,95.019,16.713,,,,,
57,05/22/19 12:38:03 PM,94.988,16.713,,,,,
58,05/22/19 12:39:03 PM,95.022,16.808,,,,,
59,05/22/19 12:40:03 PM,95.032,16.808,,,,,
60,05/22/19 12:41:03 PM,95.025,16.903,,,,,
61,05/22/19 12:42:03 PM,95.025,16.903,,,,,
62,05/22/19 12:43:03 PM,94.998,16.999,,,,,
63,05/22/19 12:44:03 PM,94.991,17.094,,,,,
64,05/22/19 12:45:03 PM,95.005,17.189,,,,,
65,05/22/19 12:46:03 PM,94.998,17.284,,,,,
66,05/22/19 12:47:03 PM,94.998,17.284,,,,,
67,05/22/19 12:48:03 PM,95.012,17.379,,,,,
68,05/22/19 12:49:03 PM,95.015,17.475,,,,,
69,05/22/19 12:50:03 PM,94.995,17.475,,,,,
70,05/22/19 12:51:03 PM,94.988,17.570,,,,,
71,05/22/19 12:52:03 PM,94.998,17.570,,,,,
72,05/22/19 12:53:03 PM,94.991,17.665,,,,,
73,05/22/19 12:54:03 PM,95.002,17.665,,,,,
74,05/22/19 12:55:03 PM,95.005,17.760,,,,,
75,05/22/19 12:56:03 PM,95.005,17.760,,,,,
76,05/22/19 12:57:03 PM,95.008,17.855,,,,,
77,05/22/19 12:58:03 PM,94.998,17.855,,,,,
78,05/22/19 12:59:03 PM,94.998,17.855,,,,,
79,05/22/19 01:00:03 PM,95.012,17.950,,,,,
80,05/22/19 01:01:03 PM,95.012,17.950,,,,,
81,05/22/19 01:02:03 PM,95.005,18.045,,,,,
82,05/22/19 01:03:03 PM,94.995,18.045,,,,,
83,05/22/19 01:04:03 PM,94.998,18.140,,,,,
84,05/22/19 01:05:03 PM,94.998,18.140,,,,,
85,05/22/19 01:06:03 PM,95.002,18.236,,,,,
86,05/22/19 01:07:03 PM,95.022,18.236,,,,,
87,05/22/19 01:08:03 PM,95.005,18.331,,,,,
88,05/22/19 01:09:03 PM,95.005,18.331,,,,,
89,05/22/19 01:10:03 PM,94.984,18.331,,,,,
90,05/22/19 01:11:03 PM,94.998,18.426,,,,,
91,05/22/19 01:12:03 PM,95.009,18.426,,,,,
92,05/22/19 01:13:03 PM,95.009,18.426,,,,,
93,05/22/19 01:14:03 PM,94.991,18.521,,,,,
94,05/22/19 01:15:03 PM,95.002,18.521,,,,,
95,05/22/19 01:16:03 PM,95.002,18.521,,,,,
96,05/22/19 01:17:03 PM,95.005,18.616,,,,,
97,05/22/19 01:18:03 PM,95.005,18.616,,,,,
98,05/22/19 01:19:03 PM,95.026,18.616,,,,,
99,05/22/19 01:20:03 PM,95.005,18.616,,,,,
100,05/22/19 01:21:03 PM,94.995,18.616,,,,,
101,05/22/19 01:22:03 PM,94.995,18.616,,,,,
102,05/22/19 01:23:03 PM,95.005,18.616,,,,,
103,05/22/19 01:24:03 PM,95.005,18.616,,,,,
104,05/22/19 01:25:03 PM,95.005,18.616,,,,,
105,05/22/19 01:26:03 PM,95.015,18.616,,,,,
106,05/22/19 01:27:03 PM,95.015,18.616,,,,,
107,05/22/19 01:28:03 PM,95.005,18.616,,,,,
108,05/22/19 01:29:03 PM,95.015,18.616,,,,,
109,05/22/19 01:30:03 PM,95.005,18.616,,,,,
110,05/22/19 01:31:03 PM,94.995,18.616,,,,,
