"Plot Title: 52_4_d2"
"#","Date Time, GMT-04:00","Abs Pres, kPa (LGR S/N: 10032082, SEN S/N: 10032082, LBL: pressure)","Temp, °C (LGR S/N: 10032082, SEN S/N: 10032082, LBL: temp)","Coupler Detached (LGR S/N: 10032082, SEN S/N: 10032082)","End Of File (LGR S/N: 10032082, SEN S/N: 10032082)"
1,05/26/19 06:10:58 PM,93.350,8.978,,
2,05/26/19 06:11:09 PM,,,Logged,
3,05/26/19 06:11:58 PM,116.810,9.768,,
4,05/26/19 06:12:58 PM,117.131,7.983,,
5,05/26/19 06:13:58 PM,117.159,7.079,,
6,05/26/19 06:14:58 PM,117.146,6.674,,
7,05/26/19 06:15:58 PM,117.136,6.370,,
8,05/26/19 06:16:58 PM,117.149,6.166,,
9,05/26/19 06:17:58 PM,117.164,6.064,,
10,05/26/19 06:18:58 PM,117.180,5.962,,
11,05/26/19 06:19:58 PM,117.139,5.860,,
12,05/26/19 06:20:58 PM,117.136,5.757,,
13,05/26/19 06:21:58 PM,117.151,5.655,,
14,05/26/19 06:22:58 PM,117.132,5.655,,
15,05/26/19 06:23:58 PM,117.148,5.552,,
16,05/26/19 06:24:58 PM,117.148,5.552,,
17,05/26/19 06:25:58 PM,117.148,5.552,,
18,05/26/19 06:26:58 PM,117.148,5.552,,
19,05/26/19 06:27:58 PM,117.145,5.450,,
20,05/26/19 06:28:58 PM,117.145,5.450,,
21,05/26/19 06:29:58 PM,117.126,5.450,,
22,05/26/19 06:30:58 PM,117.145,5.450,,
23,05/26/19 06:31:58 PM,117.145,5.450,,
24,05/26/19 06:32:58 PM,117.164,5.450,,
25,05/26/19 06:33:58 PM,117.145,5.450,,
26,05/26/19 06:34:58 PM,117.142,5.347,,
27,05/26/19 06:35:58 PM,117.161,5.347,,
28,05/26/19 06:36:58 PM,117.161,5.347,,
29,05/26/19 06:37:58 PM,117.142,5.347,,
30,05/26/19 06:38:58 PM,117.161,5.347,,
31,05/26/19 06:39:58 PM,117.161,5.347,,
32,05/26/19 06:40:58 PM,117.142,5.347,,
33,05/26/19 06:41:58 PM,117.161,5.347,,
34,05/26/19 06:42:58 PM,117.161,5.347,,
35,05/26/19 06:43:58 PM,117.161,5.347,,
36,05/26/19 06:44:58 PM,117.161,5.347,,
37,05/26/19 06:45:58 PM,117.161,5.347,,
38,05/26/19 06:46:58 PM,117.161,5.347,,
39,05/26/19 06:47:58 PM,117.179,5.347,,
40,05/26/19 06:48:58 PM,117.161,5.347,,
