"Plot Title: 86_3_s2"
"#","Date Time, GMT-04:00","Abs Pres, kPa (LGR S/N: 10766687, SEN S/N: 10766687, LBL: Absolute pressure)","Temp, °C (LGR S/N: 10766687, SEN S/N: 10766687, LBL: Temperature)","Coupler Detached (LGR S/N: 10766687, SEN S/N: 10766687)","Coupler Attached (LGR S/N: 10766687, SEN S/N: 10766687)","Host Connected (LGR S/N: 10766687, SEN S/N: 10766687)","Stopped (LGR S/N: 10766687, SEN S/N: 10766687)","End Of File (LGR S/N: 10766687, SEN S/N: 10766687)"
1,06/06/19 02:00:41 PM,93.805,9.373,,,,,
2,06/06/19 02:00:47 PM,,,Logged,,,,
3,06/06/19 02:01:41 PM,96.539,10.748,,,,,
4,06/06/19 02:02:41 PM,96.337,10.846,,,,,
5,06/06/19 02:03:41 PM,96.275,10.357,,,,,
6,06/06/19 02:04:41 PM,96.249,9.965,,,,,
7,06/06/19 02:05:41 PM,96.249,9.669,,,,,
8,06/06/19 02:06:41 PM,96.241,9.472,,,,,
9,06/06/19 02:07:41 PM,96.244,9.275,,,,,
10,06/06/19 02:08:41 PM,96.248,9.077,,,,,
11,06/06/19 02:09:41 PM,96.262,8.879,,,,,
12,06/06/19 02:10:41 PM,96.247,8.779,,,,,
13,06/06/19 02:11:41 PM,96.243,8.680,,,,,
14,06/06/19 02:12:41 PM,96.239,8.581,,,,,
15,06/06/19 02:13:41 PM,96.250,8.581,,,,,
16,06/06/19 02:14:41 PM,96.257,8.481,,,,,
17,06/06/19 02:15:41 PM,96.257,8.481,,,,,
18,06/06/19 02:16:41 PM,96.264,8.382,,,,,
19,06/06/19 02:17:41 PM,96.253,8.382,,,,,
20,06/06/19 02:18:41 PM,96.250,8.282,,,,,
21,06/06/19 02:19:41 PM,96.239,8.282,,,,,
22,06/06/19 02:20:41 PM,96.250,8.282,,,,,
23,06/06/19 02:21:41 PM,96.257,8.182,,,,,
24,06/06/19 02:22:41 PM,96.246,8.182,,,,,
25,06/06/19 02:23:41 PM,96.257,8.182,,,,,
26,06/06/19 02:24:41 PM,96.257,8.182,,,,,
27,06/06/19 02:25:41 PM,96.257,8.182,,,,,
28,06/06/19 02:26:41 PM,96.257,8.182,,,,,
29,06/06/19 02:27:41 PM,96.274,8.082,,,,,
30,06/06/19 02:28:41 PM,96.274,8.082,,,,,
31,06/06/19 02:29:41 PM,96.274,8.082,,,,,
32,06/06/19 02:30:41 PM,96.253,8.082,,,,,
33,06/06/19 02:31:41 PM,96.253,8.082,,,,,
34,06/06/19 02:32:41 PM,96.242,8.082,,,,,
35,06/06/19 02:33:41 PM,96.253,8.082,,,,,
36,06/06/19 02:34:41 PM,96.253,8.082,,,,,
37,06/06/19 02:35:41 PM,96.249,7.983,,,,,
38,06/06/19 02:36:41 PM,96.238,7.983,,,,,
39,06/06/19 02:37:41 PM,96.238,7.983,,,,,
40,06/06/19 02:38:41 PM,96.227,7.983,,,,,
41,06/06/19 02:39:41 PM,96.238,7.983,,,,,
42,06/06/19 02:40:41 PM,96.238,7.983,,,,,
43,06/06/19 02:41:41 PM,96.227,7.983,,,,,
44,06/06/19 02:42:41 PM,96.238,7.983,,,,,
45,06/06/19 02:43:41 PM,96.238,7.983,,,,,
46,06/06/19 02:44:41 PM,96.227,7.983,,,,,
47,06/06/19 02:45:41 PM,96.238,7.983,,,,,
48,06/06/19 02:46:41 PM,96.217,7.983,,,,,
49,06/06/19 02:47:41 PM,96.227,7.983,,,,,
50,06/06/19 02:48:41 PM,96.238,7.983,,,,,
51,06/06/19 02:49:41 PM,96.227,7.983,,,,,
