"Plot Title: Barometric"
"#","Date Time, GMT-04:00","Abs Pres, kPa (LGR S/N: 10710509, SEN S/N: 10710509)","Temp, °C (LGR S/N: 10710509, SEN S/N: 10710509)","Coupler Detached (LGR S/N: 10710509, SEN S/N: 10710509)","Coupler Attached (LGR S/N: 10710509, SEN S/N: 10710509)","Host Connected (LGR S/N: 10710509, SEN S/N: 10710509)","Stopped (LGR S/N: 10710509, SEN S/N: 10710509)","End Of File (LGR S/N: 10710509, SEN S/N: 10710509)"
1,06/06/19 02:27:20 PM,93.782,21.378,,,,,
2,06/06/19 02:27:42 PM,,,Logged,,,,
3,06/06/19 02:28:20 PM,93.789,21.569,,,,,
4,06/06/19 02:29:20 PM,93.785,22.046,,,,,
5,06/06/19 02:30:20 PM,93.785,22.333,,,,,
6,06/06/19 02:31:20 PM,93.765,22.333,,,,,
7,06/06/19 02:32:20 PM,93.775,22.333,,,,,
8,06/06/19 02:33:20 PM,93.772,22.238,,,,,
9,06/06/19 02:34:20 PM,93.792,22.238,,,,,
10,06/06/19 02:35:20 PM,93.768,22.142,,,,,
11,06/06/19 02:36:20 PM,93.765,22.046,,,,,
12,06/06/19 02:37:20 PM,93.775,22.046,,,,,
13,06/06/19 02:38:20 PM,93.782,21.951,,,,,
14,06/06/19 02:39:20 PM,93.768,21.855,,,,,
15,06/06/19 02:40:20 PM,93.768,21.855,,,,,
16,06/06/19 02:41:20 PM,93.765,21.760,,,,,
17,06/06/19 02:42:20 PM,93.765,21.760,,,,,
18,06/06/19 02:43:20 PM,93.782,21.664,,,,,
19,06/06/19 02:44:20 PM,93.782,21.664,,,,,
20,06/06/19 02:45:20 PM,93.782,21.664,,,,,
21,06/06/19 02:46:20 PM,93.761,21.664,,,,,
22,06/06/19 02:47:20 PM,93.779,21.569,,,,,
23,06/06/19 02:48:20 PM,93.779,21.569,,,,,
24,06/06/19 02:49:20 PM,93.789,21.569,,,,,
25,06/06/19 02:50:20 PM,93.779,21.569,,,,,
26,06/06/19 02:51:20 PM,93.775,21.473,,,,,
27,06/06/19 02:52:20 PM,93.765,21.473,,,,,
28,06/06/19 02:53:20 PM,93.765,21.473,,,,,
29,06/06/19 02:54:20 PM,93.775,21.473,,,,,
30,06/06/19 02:55:20 PM,93.761,21.378,,,,,
31,06/06/19 02:56:20 PM,93.772,21.378,,,,,
32,06/06/19 02:57:20 PM,93.761,21.378,,,,,
33,06/06/19 02:58:20 PM,93.751,21.378,,,,,
34,06/06/19 02:59:20 PM,93.758,21.282,,,,,
35,06/06/19 03:00:20 PM,93.768,21.282,,,,,
36,06/06/19 03:01:20 PM,93.779,21.282,,,,,
37,06/06/19 03:02:20 PM,93.779,21.282,,,,,
38,06/06/19 03:03:20 PM,93.775,21.187,,,,,
39,06/06/19 03:04:20 PM,93.775,21.187,,,,,
40,06/06/19 03:05:20 PM,93.786,21.187,,,,,
41,06/06/19 03:06:20 PM,93.786,21.187,,,,,
42,06/06/19 03:07:20 PM,93.775,21.187,,,,,
43,06/06/19 03:08:20 PM,93.775,21.187,,,,,
44,06/06/19 03:09:20 PM,93.786,21.187,,,,,
