"Plot Title: 42_4_s3"
"#","Date Time, GMT-04:00","Abs Pres, kPa (LGR S/N: 10753527, SEN S/N: 10753527, LBL: pressure)","Temp, °C (LGR S/N: 10753527, SEN S/N: 10753527, LBL: temp)","Coupler Detached (LGR S/N: 10753527, SEN S/N: 10753527)","Coupler Attached (LGR S/N: 10753527, SEN S/N: 10753527)","Host Connected (LGR S/N: 10753527, SEN S/N: 10753527)","Stopped (LGR S/N: 10753527, SEN S/N: 10753527)","End Of File (LGR S/N: 10753527, SEN S/N: 10753527)"
1,06/18/19 02:42:40 PM,93.705,11.041,,,,,
2,06/18/19 02:43:03 PM,,,Logged,,,,
3,06/18/19 02:43:40 PM,94.541,11.528,,,,,
4,06/18/19 02:44:40 PM,94.159,11.528,,,,,
5,06/18/19 02:45:40 PM,94.119,11.041,,,,,
6,06/18/19 02:46:40 PM,94.115,10.651,,,,,
7,06/18/19 02:47:40 PM,94.114,10.357,,,,,
8,06/18/19 02:48:40 PM,94.096,10.161,,,,,
9,06/18/19 02:49:40 PM,94.099,9.965,,,,,
10,06/18/19 02:50:40 PM,94.092,9.768,,,,,
11,06/18/19 02:51:40 PM,94.084,9.571,,,,,
12,06/18/19 02:52:40 PM,94.091,9.472,,,,,
13,06/18/19 02:53:40 PM,94.098,9.373,,,,,
14,06/18/19 02:54:40 PM,94.105,9.275,,,,,
15,06/18/19 02:55:40 PM,94.090,9.176,,,,,
16,06/18/19 02:56:40 PM,94.097,9.077,,,,,
17,06/18/19 02:57:40 PM,94.094,8.978,,,,,
18,06/18/19 02:58:40 PM,94.094,8.978,,,,,
19,06/18/19 02:59:40 PM,94.090,8.879,,,,,
20,06/18/19 03:00:40 PM,94.086,8.779,,,,,
21,06/18/19 03:01:40 PM,94.097,8.779,,,,,
22,06/18/19 03:02:40 PM,94.082,8.680,,,,,
23,06/18/19 03:03:40 PM,94.093,8.680,,,,,
24,06/18/19 03:04:40 PM,94.089,8.581,,,,,
25,06/18/19 03:05:40 PM,94.089,8.581,,,,,
26,06/18/19 03:06:40 PM,94.100,8.581,,,,,
27,06/18/19 03:07:40 PM,94.085,8.481,,,,,
28,06/18/19 03:08:40 PM,94.085,8.481,,,,,
29,06/18/19 03:09:40 PM,94.085,8.481,,,,,
30,06/18/19 03:10:40 PM,94.092,8.382,,,,,
31,06/18/19 03:11:40 PM,94.081,8.382,,,,,
32,06/18/19 03:12:40 PM,94.081,8.382,,,,,
33,06/18/19 03:13:40 PM,94.092,8.382,,,,,
34,06/18/19 03:14:40 PM,94.078,8.282,,,,,
35,06/18/19 03:15:40 PM,94.078,8.282,,,,,
36,06/18/19 03:16:40 PM,94.078,8.282,,,,,
37,06/18/19 03:17:40 PM,94.078,8.282,,,,,
38,06/18/19 03:18:40 PM,94.063,8.182,,,,,
39,06/18/19 03:19:40 PM,94.074,8.182,,,,,
40,06/18/19 03:20:40 PM,94.074,8.182,,,,,
41,06/18/19 03:21:40 PM,94.084,8.182,,,,,
42,06/18/19 03:22:40 PM,94.074,8.182,,,,,
43,06/18/19 03:23:40 PM,94.063,8.182,,,,,
44,06/18/19 03:24:40 PM,94.063,8.182,,,,,
45,06/18/19 03:25:40 PM,94.059,8.082,,,,,
46,06/18/19 03:26:40 PM,94.049,8.082,,,,,
47,06/18/19 03:27:40 PM,94.049,8.082,,,,,
48,06/18/19 03:28:40 PM,94.038,8.082,,,,,
49,06/18/19 03:29:40 PM,94.049,8.082,,,,,
50,06/18/19 03:30:40 PM,94.038,8.082,,,,,
51,06/18/19 03:31:40 PM,94.049,8.082,,,,,
52,06/18/19 03:32:40 PM,94.049,8.082,,,,,
53,06/18/19 03:33:40 PM,94.059,8.082,,,,,
54,06/18/19 03:34:40 PM,94.049,8.082,,,,,
55,06/18/19 03:35:40 PM,94.049,8.082,,,,,
56,06/18/19 03:36:40 PM,94.034,7.983,,,,,
57,06/18/19 03:37:40 PM,94.034,7.983,,,,,
58,06/18/19 03:38:40 PM,94.045,7.983,,,,,
59,06/18/19 03:39:40 PM,94.034,7.983,,,,,
60,06/18/19 03:40:40 PM,94.045,7.983,,,,,
61,06/18/19 03:41:40 PM,94.045,7.983,,,,,
62,06/18/19 03:42:40 PM,94.024,7.983,,,,,
63,06/18/19 03:43:40 PM,94.024,7.983,,,,,
64,06/18/19 03:44:40 PM,94.024,7.983,,,,,
65,06/18/19 03:45:40 PM,94.024,7.983,,,,,
66,06/18/19 03:46:40 PM,94.024,7.983,,,,,
67,06/18/19 03:47:40 PM,94.045,7.983,,,,,
68,06/18/19 03:48:40 PM,94.024,7.983,,,,,
69,06/18/19 03:49:40 PM,94.024,7.983,,,,,
70,06/18/19 03:50:40 PM,94.024,7.983,,,,,
71,06/18/19 03:51:40 PM,94.024,7.983,,,,,
72,06/18/19 03:52:40 PM,94.024,7.983,,,,,
73,06/18/19 03:53:40 PM,94.034,7.983,,,,,
74,06/18/19 03:54:40 PM,94.024,7.983,,,,,
75,06/18/19 03:55:40 PM,94.024,7.983,,,,,
76,06/18/19 03:56:40 PM,94.024,7.983,,,,,
77,06/18/19 03:57:40 PM,94.024,7.983,,,,,
78,06/18/19 03:58:40 PM,94.024,7.983,,,,,
79,06/18/19 03:59:40 PM,94.034,7.983,,,,,
80,06/18/19 04:00:40 PM,94.034,7.983,,,,,
81,06/18/19 04:01:40 PM,94.024,7.983,,,,,
82,06/18/19 04:02:40 PM,94.031,7.882,,,,,
83,06/18/19 04:03:40 PM,94.024,7.983,,,,,
84,06/18/19 04:04:40 PM,94.024,7.983,,,,,
85,06/18/19 04:05:40 PM,94.034,7.983,,,,,
86,06/18/19 04:06:40 PM,94.020,7.882,,,,,
87,06/18/19 04:07:40 PM,94.031,7.882,,,,,
88,06/18/19 04:08:40 PM,94.031,7.882,,,,,
89,06/18/19 04:09:40 PM,94.031,7.882,,,,,
90,06/18/19 04:10:40 PM,94.009,7.882,,,,,
91,06/18/19 04:11:40 PM,94.031,7.882,,,,,
92,06/18/19 04:12:40 PM,94.020,7.882,,,,,
93,06/18/19 04:13:40 PM,94.020,7.882,,,,,
94,06/18/19 04:14:40 PM,94.009,7.882,,,,,
95,06/18/19 04:15:40 PM,94.031,7.882,,,,,
96,06/18/19 04:16:40 PM,94.009,7.882,,,,,
97,06/18/19 04:17:40 PM,94.009,7.882,,,,,
98,06/18/19 04:18:40 PM,94.020,7.882,,,,,
99,06/18/19 04:19:40 PM,94.009,7.882,,,,,
100,06/18/19 04:20:40 PM,94.020,7.882,,,,,
101,06/18/19 04:21:40 PM,94.009,7.882,,,,,
102,06/18/19 04:22:40 PM,94.009,7.882,,,,,
103,06/18/19 04:23:40 PM,94.009,7.882,,,,,
104,06/18/19 04:24:40 PM,93.999,7.882,,,,,
105,06/18/19 04:25:40 PM,93.999,7.882,,,,,
106,06/18/19 04:26:40 PM,93.999,7.882,,,,,
107,06/18/19 04:27:40 PM,93.999,7.882,,,,,
108,06/18/19 04:28:40 PM,93.999,7.882,,,,,
109,06/18/19 04:29:40 PM,94.009,7.882,,,,,
110,06/18/19 04:30:40 PM,94.009,7.882,,,,,
111,06/18/19 04:31:40 PM,94.009,7.882,,,,,
112,06/18/19 04:32:40 PM,93.988,7.882,,,,,
113,06/18/19 04:33:40 PM,93.988,7.882,,,,,
