"Plot Title: 42.2.S1"
"#","Date Time, GMT-04:00","Abs Pres, kPa (LGR S/N: 20566220, SEN S/N: 20566220)","Temp, °C (LGR S/N: 20566220, SEN S/N: 20566220)","Coupler Detached (LGR S/N: 20566220, SEN S/N: 20566220)","Coupler Attached (LGR S/N: 20566220, SEN S/N: 20566220)","Host Connected (LGR S/N: 20566220, SEN S/N: 20566220)","Stopped (LGR S/N: 20566220, SEN S/N: 20566220)","End Of File (LGR S/N: 20566220, SEN S/N: 20566220)"
1,07/02/19 01:32:51 PM,92.360,13.365,,,,,
2,07/02/19 01:32:56 PM,,,Logged,,,,
3,07/02/19 01:42:51 PM,92.439,14.996,,,,,
4,07/02/19 01:52:51 PM,92.465,13.654,,,,,
5,07/02/19 02:02:51 PM,92.464,12.883,,,,,
6,07/02/19 02:12:51 PM,92.465,12.401,,,,,
7,07/02/19 02:22:51 PM,92.443,12.013,,,,,
8,07/02/19 02:32:51 PM,92.436,11.819,,,,,
9,07/02/19 02:42:51 PM,92.438,11.722,,,,,
10,07/02/19 02:52:51 PM,92.430,11.625,,,,,
11,07/02/19 03:02:51 PM,92.422,11.528,,,,,
12,07/02/19 03:12:51 PM,92.422,11.528,,,,,
13,07/02/19 03:22:51 PM,92.432,11.528,,,,,
14,07/02/19 03:32:51 PM,92.402,11.528,,,,,
15,07/02/19 03:42:51 PM,92.393,11.431,,,,,
16,07/02/19 03:52:51 PM,92.383,11.431,,,,,
17,07/02/19 04:02:51 PM,92.383,11.431,,,,,
18,07/02/19 04:12:51 PM,92.404,11.431,,,,,
19,07/02/19 04:22:51 PM,92.404,11.431,,,,,
20,07/02/19 04:32:51 PM,92.404,11.431,,,,,
21,07/02/19 04:42:51 PM,92.383,11.431,,,,,
22,07/02/19 04:52:51 PM,92.383,11.431,,,,,
23,07/02/19 05:02:51 PM,92.392,11.528,,,,,
24,07/02/19 05:12:51 PM,92.402,11.528,,,,,
25,07/02/19 05:22:51 PM,92.392,11.528,,,,,
26,07/02/19 05:32:51 PM,92.402,11.528,,,,,
27,07/02/19 05:42:51 PM,92.422,11.528,,,,,
28,07/02/19 05:52:51 PM,92.422,11.528,,,,,
29,07/02/19 06:02:51 PM,92.432,11.528,,,,,
30,07/02/19 06:12:51 PM,92.432,11.528,,,,,
31,07/02/19 06:22:51 PM,92.412,11.528,,,,,
32,07/02/19 06:32:51 PM,92.422,11.528,,,,,
33,07/02/19 06:42:51 PM,92.412,11.528,,,,,
34,07/02/19 06:52:51 PM,92.422,11.528,,,,,
35,07/02/19 07:02:51 PM,92.453,11.528,,,,,
36,07/02/19 07:12:51 PM,92.432,11.528,,,,,
37,07/02/19 07:22:51 PM,92.453,11.528,,,,,
38,07/02/19 07:32:51 PM,92.463,11.528,,,,,
39,07/02/19 07:42:51 PM,92.463,11.528,,,,,
40,07/02/19 07:52:51 PM,92.463,11.528,,,,,
41,07/02/19 08:02:51 PM,92.473,11.528,,,,,
42,07/02/19 08:12:51 PM,92.473,11.528,,,,,
43,07/02/19 08:22:51 PM,92.481,11.625,,,,,
44,07/02/19 08:32:51 PM,92.481,11.625,,,,,
45,07/02/19 08:42:51 PM,92.491,11.625,,,,,
46,07/02/19 08:52:51 PM,92.491,11.625,,,,,
47,07/02/19 09:02:51 PM,92.501,11.625,,,,,
48,07/02/19 09:12:51 PM,92.501,11.625,,,,,
49,07/02/19 09:22:51 PM,92.501,11.625,,,,,
50,07/02/19 09:32:51 PM,92.522,11.625,,,,,
51,07/02/19 09:42:51 PM,92.532,11.625,,,,,
52,07/02/19 09:52:51 PM,92.532,11.625,,,,,
