"Plot Title: 42.4.D1"
"#","Date Time, GMT-04:00","Abs Pres, kPa (LGR S/N: 20566226, SEN S/N: 20566226)","Temp, °C (LGR S/N: 20566226, SEN S/N: 20566226)","Coupler Detached (LGR S/N: 20566226, SEN S/N: 20566226)","Coupler Attached (LGR S/N: 20566226, SEN S/N: 20566226)","Host Connected (LGR S/N: 20566226, SEN S/N: 20566226)","Stopped (LGR S/N: 20566226, SEN S/N: 20566226)","End Of File (LGR S/N: 20566226, SEN S/N: 20566226)"
1,07/02/19 01:59:30 PM,92.628,15.187,,,,,
2,07/02/19 01:59:38 PM,,,Logged,,,,
3,07/02/19 02:09:30 PM,92.780,21.473,,,,,
4,07/02/19 02:19:30 PM,92.814,23.484,,,,,
5,07/02/19 02:29:30 PM,109.257,23.484,,,,,
6,07/02/19 02:39:30 PM,111.926,9.176,,,,,
7,07/02/19 02:49:30 PM,113.879,6.877,,,,,
8,07/02/19 02:59:30 PM,115.690,6.268,,,,,
9,07/02/19 03:09:30 PM,117.390,6.166,,,,,
10,07/02/19 03:19:30 PM,118.945,6.166,,,,,
11,07/02/19 03:29:30 PM,120.363,6.064,,,,,
12,07/02/19 03:39:30 PM,121.655,6.064,,,,,
13,07/02/19 03:49:30 PM,122.859,6.064,,,,,
14,07/02/19 03:59:30 PM,123.956,6.064,,,,,
15,07/02/19 04:09:30 PM,124.976,6.064,,,,,
16,07/02/19 04:19:30 PM,125.897,6.064,,,,,
17,07/02/19 04:29:30 PM,126.740,6.064,,,,,
18,07/02/19 04:39:30 PM,127.525,6.064,,,,,
19,07/02/19 04:49:30 PM,128.221,6.064,,,,,
20,07/02/19 04:59:30 PM,128.869,6.064,,,,,
21,07/02/19 05:09:30 PM,129.438,6.064,,,,,
22,07/02/19 05:19:30 PM,129.938,6.064,,,,,
23,07/02/19 05:29:30 PM,130.400,6.064,,,,,
24,07/02/19 05:39:30 PM,130.822,6.064,,,,,
25,07/02/19 05:49:30 PM,131.205,6.064,,,,,
26,07/02/19 05:59:30 PM,131.548,6.064,,,,,
27,07/02/19 06:09:30 PM,131.853,6.064,,,,,
28,07/02/19 06:19:30 PM,132.137,6.064,,,,,
29,07/02/19 06:29:30 PM,132.393,6.064,,,,,
30,07/02/19 06:39:30 PM,132.648,6.064,,,,,
31,07/02/19 06:49:30 PM,132.894,6.064,,,,,
32,07/02/19 06:59:30 PM,133.100,6.064,,,,,
33,07/02/19 07:09:30 PM,133.306,6.064,,,,,
34,07/02/19 07:19:30 PM,133.483,6.064,,,,,
35,07/02/19 07:29:30 PM,133.640,6.064,,,,,
36,07/02/19 07:39:30 PM,133.798,6.064,,,,,
37,07/02/19 07:49:30 PM,133.915,6.064,,,,,
38,07/02/19 07:59:30 PM,134.043,6.064,,,,,
39,07/02/19 08:09:30 PM,134.151,6.064,,,,,
40,07/02/19 08:19:30 PM,134.259,6.064,,,,,
41,07/02/19 08:29:30 PM,134.338,6.064,,,,,
42,07/02/19 08:39:30 PM,134.407,6.064,,,,,
43,07/02/19 08:49:30 PM,134.466,6.064,,,,,
44,07/02/19 08:59:30 PM,134.544,6.064,,,,,
45,07/02/19 09:09:30 PM,134.594,6.064,,,,,
46,07/02/19 09:19:30 PM,134.643,6.064,,,,,
47,07/02/19 09:29:30 PM,134.721,6.064,,,,,
48,07/02/19 09:39:30 PM,134.780,6.064,,,,,
49,07/02/19 09:49:30 PM,134.829,6.064,,,,,
50,07/02/19 09:59:30 PM,134.879,6.064,,,,,
51,07/02/19 10:09:30 PM,134.918,6.064,,,,,
52,07/02/19 10:19:30 PM,134.957,6.064,,,,,
53,07/02/19 10:29:30 PM,134.987,6.064,,,,,
54,07/02/19 10:39:30 PM,135.016,6.064,,,,,
55,07/02/19 10:49:30 PM,135.046,6.064,,,,,
56,07/02/19 10:59:30 PM,135.065,6.064,,,,,
57,07/02/19 11:09:30 PM,135.095,6.064,,,,,
58,07/02/19 11:19:30 PM,135.105,6.064,,,,,
59,07/02/19 11:29:30 PM,135.105,6.064,,,,,
60,07/02/19 11:39:30 PM,135.134,6.064,,,,,
61,07/02/19 11:49:30 PM,135.134,6.064,,,,,
62,07/02/19 11:59:30 PM,135.164,6.064,,,,,
63,07/03/19 12:09:30 AM,135.183,6.064,,,,,
64,07/03/19 12:19:30 AM,135.193,6.064,,,,,
65,07/03/19 12:29:30 AM,135.193,6.064,,,,,
