"Plot Title: 20642912"
"#","Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 20642912, SEN S/N: 20642912)","Temp, °C (LGR S/N: 20642912, SEN S/N: 20642912)","Coupler Detached (LGR S/N: 20642912, SEN S/N: 20642912)","Coupler Attached (LGR S/N: 20642912, SEN S/N: 20642912)","Host Connected (LGR S/N: 20642912, SEN S/N: 20642912)","Stopped (LGR S/N: 20642912, SEN S/N: 20642912)","End Of File (LGR S/N: 20642912, SEN S/N: 20642912)"
1,09/05/19 08:00:00 AM,98.904,21.760,Logged,,,,
2,09/05/19 08:10:00 AM,98.915,21.855,,,,,
3,09/05/19 08:20:00 AM,98.907,21.951,,,,,
4,09/05/19 08:30:00 AM,98.910,22.142,,,,,
5,09/05/19 08:40:00 AM,98.899,22.046,,,,,
6,09/05/19 08:50:00 AM,98.920,22.142,,,,,
7,09/05/19 09:00:00 AM,98.920,22.142,,,,,
8,09/05/19 09:10:00 AM,98.920,22.142,,,,,
9,09/05/19 09:20:00 AM,98.912,22.238,,,,,
10,09/05/19 09:30:00 AM,98.931,22.238,,,,,
11,09/05/19 09:40:00 AM,98.923,22.333,,,,,
12,09/05/19 09:50:00 AM,98.942,22.333,,,,,
13,09/05/19 10:00:00 AM,98.923,22.333,,,,,
14,09/05/19 10:10:00 AM,98.971,22.333,,,,,
15,09/05/19 10:20:00 AM,98.995,22.046,,,,,
16,09/05/19 10:30:00 AM,98.982,21.855,,,,,
17,09/05/19 10:40:00 AM,98.969,21.664,,,,,
18,09/05/19 10:50:00 AM,98.948,21.569,,,,,
19,09/05/19 11:00:00 AM,98.929,21.569,,,,,
20,09/05/19 11:10:00 AM,98.908,21.473,,,,,
21,09/05/19 11:20:00 AM,96.612,21.378,,,,,
22,09/05/19 11:30:00 AM,95.695,21.378,,,,,
23,09/05/19 11:40:00 AM,94.979,21.378,,,,,
24,09/05/19 11:50:00 AM,94.455,21.378,,,,,
25,09/05/19 12:00:00 PM,94.140,21.378,,,,,
26,09/05/19 12:10:00 PM,93.946,21.187,,,,,
27,09/05/19 12:20:00 PM,93.726,21.091,,,,,
28,09/05/19 12:30:00 PM,93.731,20.805,,,,,
29,09/05/19 12:40:00 PM,93.853,20.710,,,,,
30,09/05/19 12:50:00 PM,94.136,20.519,,,,,
31,09/05/19 01:00:00 PM,94.108,20.519,,,,,
32,09/05/19 01:10:00 PM,94.016,20.138,,,,,
33,09/05/19 01:20:00 PM,94.027,19.567,,,,,
34,09/05/19 01:30:00 PM,94.012,19.187,,,,,
35,09/05/19 01:40:00 PM,94.005,18.711,,,,,
36,09/05/19 01:50:00 PM,93.980,18.331,,,,,
37,09/05/19 02:00:00 PM,93.966,18.045,,,,,
38,09/05/19 02:10:00 PM,93.973,17.855,,,,,
39,09/05/19 02:20:00 PM,93.959,17.570,,,,,
40,09/05/19 02:30:00 PM,93.955,17.284,,,,,
41,09/05/19 02:40:00 PM,93.952,17.094,,,,,
42,09/05/19 02:50:00 PM,93.948,16.808,,,,,
43,09/05/19 03:00:00 PM,93.955,16.618,,,,,
44,09/05/19 03:10:00 PM,93.962,16.427,,,,,
45,09/05/19 03:20:00 PM,93.969,16.237,,,,,
46,09/05/19 03:30:00 PM,94.684,16.332,,,,,
47,09/05/19 03:40:00 PM,94.678,16.523,,,,,
48,09/05/19 03:50:00 PM,94.966,16.713,,,,,
49,09/05/19 04:00:00 PM,95.789,16.903,,,,,
50,09/05/19 04:10:00 PM,97.844,17.094,,,,,
51,09/05/19 04:20:00 PM,98.804,17.379,,,,,
52,09/05/19 04:30:00 PM,98.828,17.665,,,,,
53,09/05/19 04:40:00 PM,98.842,17.950,,,,,
54,09/05/19 04:50:00 PM,98.757,18.045,,,,,
55,09/05/19 05:00:00 PM,98.751,18.236,,,,,
56,09/05/19 05:10:00 PM,98.773,18.426,,,,,
57,09/05/19 05:20:00 PM,98.766,18.616,,,,,
58,09/05/19 05:30:00 PM,98.769,18.806,,,,,
59,09/05/19 05:40:00 PM,98.782,18.996,,,,,
60,09/05/19 05:50:00 PM,98.755,19.092,,,,,
61,09/05/19 06:00:00 PM,98.775,19.187,,,,,
62,09/05/19 06:10:00 PM,98.788,19.377,,,,,
63,09/05/19 06:20:00 PM,98.790,19.472,,,,,
64,09/05/19 06:30:00 PM,98.799,19.472,,,,,
65,09/05/19 06:40:00 PM,98.829,19.567,,,,,
66,09/05/19 06:50:00 PM,98.840,19.662,,,,,
67,09/05/19 07:00:00 PM,98.842,19.758,,,,,
68,09/05/19 07:10:00 PM,98.842,19.758,,,,,
69,09/05/19 07:20:00 PM,98.834,19.853,,,,,
70,09/05/19 07:30:00 PM,98.853,19.853,,,,,
71,09/05/19 07:40:00 PM,98.845,19.948,,,,,
72,09/05/19 07:50:00 PM,98.855,19.948,,,,,
73,09/05/19 08:00:00 PM,98.864,19.948,,,,,
74,09/05/19 08:10:00 PM,98.855,19.948,,,,,
75,09/05/19 08:20:00 PM,98.856,20.043,,,,,
76,09/05/19 08:30:00 PM,98.856,20.043,,,,,
77,09/05/19 08:40:00 PM,98.856,20.043,,,,,
78,09/05/19 08:50:00 PM,98.856,20.043,,,,,
79,09/05/19 09:00:00 PM,98.866,20.043,,,,,
80,09/05/19 09:10:00 PM,98.856,20.043,,,,,
81,09/05/19 09:20:00 PM,98.856,20.043,,,,,
82,09/05/19 09:30:00 PM,98.866,20.043,,,,,
83,09/05/19 09:40:00 PM,98.856,20.043,,,,,
84,09/05/19 09:50:00 PM,98.875,20.043,,,,,
85,09/05/19 10:00:00 PM,98.885,20.043,,,,,
86,09/05/19 10:10:00 PM,98.895,20.043,,,,,
87,09/05/19 10:20:00 PM,98.904,20.043,,,,,
88,09/05/19 10:30:00 PM,98.885,20.043,,,,,
89,09/05/19 10:40:00 PM,98.875,20.043,,,,,
90,09/05/19 10:50:00 PM,98.895,20.043,,,,,
91,09/05/19 11:00:00 PM,98.895,20.043,,,,,
92,09/05/19 11:10:00 PM,98.885,20.043,,,,,
93,09/05/19 11:20:00 PM,98.885,20.043,,,,,
94,09/05/19 11:30:00 PM,98.885,20.043,,,,,
95,09/05/19 11:40:00 PM,98.893,19.948,,,,,
96,09/05/19 11:50:00 PM,98.893,19.948,,,,,
97,09/06/19 12:00:00 AM,98.893,19.948,,,,,
98,09/06/19 12:10:00 AM,98.883,19.948,,,,,
99,09/06/19 12:20:00 AM,98.864,19.948,,,,,
100,09/06/19 12:30:00 AM,98.883,19.948,,,,,
101,09/06/19 12:40:00 AM,98.882,19.853,,,,,
102,09/06/19 12:50:00 AM,98.863,19.853,,,,,
103,09/06/19 01:00:00 AM,98.882,19.853,,,,,
104,09/06/19 01:10:00 AM,98.891,19.853,,,,,
105,09/06/19 01:20:00 AM,98.891,19.853,,,,,
106,09/06/19 01:30:00 AM,98.890,19.758,,,,,
107,09/06/19 01:40:00 AM,98.861,19.758,,,,,
108,09/06/19 01:50:00 AM,98.871,19.758,,,,,
109,09/06/19 02:00:00 AM,98.852,19.758,,,,,
110,09/06/19 02:10:00 AM,98.850,19.662,,,,,
111,09/06/19 02:20:00 AM,98.850,19.662,,,,,
112,09/06/19 02:30:00 AM,98.831,19.662,,,,,
113,09/06/19 02:40:00 AM,98.850,19.662,,,,,
114,09/06/19 02:50:00 AM,98.860,19.662,,,,,
115,09/06/19 03:00:00 AM,98.849,19.567,,,,,
116,09/06/19 03:10:00 AM,98.849,19.567,,,,,
117,09/06/19 03:20:00 AM,98.849,19.567,,,,,
118,09/06/19 03:30:00 AM,98.839,19.567,,,,,
119,09/06/19 03:40:00 AM,98.837,19.472,,,,,
120,09/06/19 03:50:00 AM,98.857,19.472,,,,,
121,09/06/19 04:00:00 AM,98.847,19.472,,,,,
122,09/06/19 04:10:00 AM,98.847,19.472,,,,,
123,09/06/19 04:20:00 AM,98.865,19.377,,,,,
124,09/06/19 04:30:00 AM,98.855,19.377,,,,,
125,09/06/19 04:40:00 AM,98.884,19.377,,,,,
126,09/06/19 04:50:00 AM,98.893,19.377,,,,,
127,09/06/19 05:00:00 AM,98.903,19.377,,,,,
128,09/06/19 05:10:00 AM,98.892,19.282,,,,,
129,09/06/19 05:20:00 AM,98.882,19.282,,,,,
130,09/06/19 05:30:00 AM,98.882,19.282,,,,,
131,09/06/19 05:40:00 AM,98.892,19.282,,,,,
132,09/06/19 05:50:00 AM,98.911,19.282,,,,,
133,09/06/19 06:00:00 AM,98.909,19.187,,,,,
134,09/06/19 06:10:00 AM,98.909,19.187,,,,,
135,09/06/19 06:20:00 AM,98.909,19.187,,,,,
