"Plot Title: 10032082"
"#","Date Time, GMT-04:00","Abs Pres, kPa (LGR S/N: 10032082, SEN S/N: 10032082)","Temp, °C (LGR S/N: 10032082, SEN S/N: 10032082)","Coupler Detached (LGR S/N: 10032082, SEN S/N: 10032082)","Coupler Attached (LGR S/N: 10032082, SEN S/N: 10032082)","Host Connected (LGR S/N: 10032082, SEN S/N: 10032082)","Stopped (LGR S/N: 10032082, SEN S/N: 10032082)","End Of File (LGR S/N: 10032082, SEN S/N: 10032082)"
1,10/02/19 10:34:00 AM,93.709,17.950,,,,,
2,10/02/19 10:34:54 AM,,,Logged,,,,
3,10/02/19 10:44:00 AM,102.359,10.259,,,,,
4,10/02/19 10:54:00 AM,102.314,9.768,,,,,
5,10/02/19 11:04:00 AM,102.327,9.669,,,,,
6,10/02/19 11:14:00 AM,102.325,9.571,,,,,
7,10/02/19 11:24:00 AM,102.292,9.571,,,,,
8,10/02/19 11:34:00 AM,102.308,9.571,,,,,
9,10/02/19 11:44:00 AM,102.260,9.571,,,,,
10,10/02/19 11:54:00 AM,102.258,9.472,,,,,
11,10/02/19 12:04:00 PM,102.242,9.472,,,,,
12,10/02/19 12:14:00 PM,102.225,9.472,,,,,
13,10/02/19 12:24:00 PM,102.209,9.472,,,,,
14,10/02/19 12:34:00 PM,102.209,9.472,,,,,
15,10/02/19 12:44:00 PM,102.193,9.472,,,,,
16,10/02/19 12:54:00 PM,102.193,9.472,,,,,
17,10/02/19 01:04:00 PM,102.225,9.472,,,,,
18,10/02/19 01:14:00 PM,102.225,9.472,,,,,
19,10/02/19 01:24:00 PM,102.225,9.472,,,,,
20,10/02/19 01:34:00 PM,102.225,9.472,,,,,
21,10/02/19 01:44:00 PM,102.177,9.472,,,,,
22,10/02/19 01:54:00 PM,102.193,9.472,,,,,
23,10/02/19 02:04:00 PM,102.193,9.472,,,,,
24,10/02/19 02:14:00 PM,102.209,9.472,,,,,
25,10/02/19 02:24:00 PM,102.209,9.472,,,,,
26,10/02/19 02:34:00 PM,102.225,9.472,,,,,
27,10/02/19 02:44:00 PM,102.242,9.472,,,,,
28,10/02/19 02:54:00 PM,102.242,9.472,,,,,
29,10/02/19 03:04:00 PM,102.225,9.472,,,,,
30,10/02/19 03:14:00 PM,102.242,9.472,,,,,
31,10/02/19 03:24:00 PM,102.258,9.472,,,,,
32,10/02/19 03:34:00 PM,102.242,9.472,,,,,
33,10/02/19 03:44:00 PM,102.242,9.472,,,,,
34,10/02/19 03:54:00 PM,102.242,9.472,,,,,
35,10/02/19 04:04:00 PM,102.258,9.472,,,,,
36,10/02/19 04:14:00 PM,102.242,9.472,,,,,
37,10/02/19 04:24:00 PM,102.258,9.472,,,,,
38,10/02/19 04:34:00 PM,102.274,9.472,,,,,
39,10/02/19 04:44:00 PM,102.274,9.472,,,,,
40,10/02/19 04:54:00 PM,102.274,9.472,,,,,
41,10/02/19 05:04:00 PM,102.290,9.472,,,,,
42,10/02/19 05:14:00 PM,102.290,9.472,,,,,
43,10/02/19 05:24:00 PM,102.322,9.472,,,,,
44,10/02/19 05:34:00 PM,102.354,9.472,,,,,
45,10/02/19 05:44:00 PM,102.322,9.472,,,,,
46,10/02/19 05:54:00 PM,102.322,9.472,,,,,
47,10/02/19 06:04:00 PM,102.354,9.472,,,,,
48,10/02/19 06:14:00 PM,102.402,9.472,,,,,
49,10/02/19 06:24:00 PM,102.402,9.472,,,,,
50,10/02/19 06:34:00 PM,102.402,9.472,,,,,
51,10/02/19 06:44:00 PM,102.451,9.472,,,,,
52,10/02/19 06:54:00 PM,102.451,9.472,,,,,
53,10/02/19 07:04:00 PM,102.467,9.472,,,,,
54,10/02/19 07:14:00 PM,102.483,9.472,,,,,
55,10/02/19 07:24:00 PM,102.515,9.472,,,,,
56,10/02/19 07:34:00 PM,102.499,9.472,,,,,
57,10/02/19 07:44:00 PM,102.499,9.472,,,,,
58,10/02/19 07:54:00 PM,102.547,9.472,,,,,
59,10/02/19 08:04:00 PM,102.579,9.472,,,,,
60,10/02/19 08:14:00 PM,102.547,9.472,,,,,
61,10/02/19 08:24:00 PM,102.579,9.472,,,,,
62,10/02/19 08:34:00 PM,102.595,9.472,,,,,
63,10/02/19 08:44:00 PM,102.595,9.472,,,,,
64,10/02/19 08:54:00 PM,102.611,9.472,,,,,
65,10/02/19 09:04:00 PM,102.627,9.472,,,,,
66,10/02/19 09:14:00 PM,102.644,9.472,,,,,
67,10/02/19 09:24:00 PM,102.660,9.472,,,,,
68,10/02/19 09:34:00 PM,102.660,9.472,,,,,
69,10/02/19 09:44:00 PM,102.660,9.472,,,,,
70,10/02/19 09:54:00 PM,102.660,9.472,,,,,
71,10/02/19 10:04:00 PM,102.676,9.472,,,,,
72,10/02/19 10:14:00 PM,102.692,9.472,,,,,
73,10/02/19 10:24:00 PM,102.676,9.472,,,,,
74,10/02/19 10:34:00 PM,102.692,9.472,,,,,
75,10/02/19 10:44:00 PM,102.708,9.472,,,,,
76,10/02/19 10:54:00 PM,102.724,9.472,,,,,
77,10/02/19 11:04:00 PM,102.740,9.472,,,,,
78,10/02/19 11:14:00 PM,102.740,9.472,,,,,
79,10/02/19 11:24:00 PM,102.756,9.472,,,,,
80,10/02/19 11:34:00 PM,102.772,9.472,,,,,
81,10/02/19 11:44:00 PM,102.756,9.472,,,,,
82,10/02/19 11:54:00 PM,102.756,9.472,,,,,
83,10/03/19 12:04:00 AM,102.772,9.472,,,,,
84,10/03/19 12:14:00 AM,102.772,9.472,,,,,
85,10/03/19 12:24:00 AM,102.756,9.472,,,,,
86,10/03/19 12:34:00 AM,102.756,9.472,,,,,
87,10/03/19 12:44:00 AM,102.756,9.472,,,,,
88,10/03/19 12:54:00 AM,102.772,9.472,,,,,
89,10/03/19 01:04:00 AM,102.788,9.472,,,,,
90,10/03/19 01:14:00 AM,102.788,9.472,,,,,
91,10/03/19 01:24:00 AM,102.821,9.472,,,,,
92,10/03/19 01:34:00 AM,102.804,9.472,,,,,
93,10/03/19 01:44:00 AM,102.804,9.472,,,,,
94,10/03/19 01:54:00 AM,102.804,9.472,,,,,
95,10/03/19 02:04:00 AM,102.804,9.472,,,,,
96,10/03/19 02:14:00 AM,102.788,9.472,,,,,
97,10/03/19 02:24:00 AM,102.788,9.472,,,,,
98,10/03/19 02:34:00 AM,102.804,9.472,,,,,
99,10/03/19 02:44:00 AM,102.804,9.472,,,,,
100,10/03/19 02:54:00 AM,102.804,9.472,,,,,
101,10/03/19 03:04:00 AM,102.804,9.472,,,,,
102,10/03/19 03:14:00 AM,102.821,9.472,,,,,
103,10/03/19 03:24:00 AM,102.804,9.472,,,,,
104,10/03/19 03:34:00 AM,102.804,9.472,,,,,
105,10/03/19 03:44:00 AM,102.804,9.472,,,,,
106,10/03/19 03:54:00 AM,102.788,9.472,,,,,
