"Plot Title: 52_3_s1"
"#","Date Time, GMT-04:00","Abs Pres, kPa (LGR S/N: 20357937, SEN S/N: 20357937)","Temp, °C (LGR S/N: 20357937, SEN S/N: 20357937)"
1,10/02/19 12:54:58 PM,93.102,12.594
2,10/02/19 01:04:58 PM,93.134,12.594
3,10/02/19 01:14:58 PM,93.142,12.013
4,10/02/19 01:24:58 PM,93.156,11.722
5,10/02/19 01:34:58 PM,93.152,11.528
6,10/02/19 01:44:58 PM,93.139,11.431
7,10/02/19 01:54:58 PM,93.136,11.334
8,10/02/19 02:04:58 PM,93.147,11.334
9,10/02/19 02:14:58 PM,93.177,11.236
10,10/02/19 02:24:58 PM,93.177,11.236
11,10/02/19 02:34:58 PM,93.187,11.236
12,10/02/19 02:44:58 PM,93.209,11.236
13,10/02/19 02:54:58 PM,93.198,11.236
14,10/02/19 03:04:58 PM,93.198,11.236
15,10/02/19 03:14:58 PM,93.198,11.236
16,10/02/19 03:24:58 PM,93.209,11.236
17,10/02/19 03:34:58 PM,93.209,11.236
18,10/02/19 03:44:58 PM,93.230,11.236
19,10/02/19 03:54:58 PM,93.230,11.236
20,10/02/19 04:04:58 PM,93.251,11.236
21,10/02/19 04:14:58 PM,93.251,11.236
22,10/02/19 04:24:58 PM,93.273,11.236
23,10/02/19 04:34:58 PM,93.273,11.236
24,10/02/19 04:44:58 PM,93.283,11.236
25,10/02/19 04:54:58 PM,93.305,11.236
26,10/02/19 05:04:58 PM,93.305,11.236
27,10/02/19 05:14:58 PM,93.315,11.236
28,10/02/19 05:24:58 PM,93.347,11.236
29,10/02/19 05:34:58 PM,93.369,11.236
30,10/02/19 05:44:58 PM,93.369,11.236
31,10/02/19 05:54:58 PM,93.379,11.236
32,10/02/19 06:04:58 PM,93.379,11.236
33,10/02/19 06:14:58 PM,93.422,11.236
34,10/02/19 06:24:58 PM,93.411,11.236
35,10/02/19 06:34:58 PM,93.443,11.236
36,10/02/19 06:44:58 PM,93.454,11.236
37,10/02/19 06:54:58 PM,93.465,11.236
38,10/02/19 07:04:58 PM,93.497,11.236
39,10/02/19 07:14:58 PM,93.518,11.236
40,10/02/19 07:24:58 PM,93.518,11.236
41,10/02/19 07:34:58 PM,93.529,11.236
42,10/02/19 07:44:58 PM,93.539,11.236
43,10/02/19 07:54:58 PM,93.582,11.236
44,10/02/19 08:04:58 PM,93.614,11.236
45,10/02/19 08:14:58 PM,93.614,11.236
46,10/02/19 08:24:58 PM,93.657,11.236
47,10/02/19 08:34:58 PM,93.667,11.236
48,10/02/19 08:44:58 PM,93.657,11.236
49,10/02/19 08:54:58 PM,93.667,11.236
50,10/02/19 09:04:58 PM,93.689,11.236
51,10/02/19 09:14:58 PM,93.699,11.236
52,10/02/19 09:24:58 PM,93.710,11.236
53,10/02/19 09:34:58 PM,93.731,11.236
54,10/02/19 09:44:58 PM,93.721,11.236
55,10/02/19 09:54:58 PM,93.731,11.236
56,10/02/19 10:04:58 PM,93.742,11.236
57,10/02/19 10:14:58 PM,93.774,11.236
58,10/02/19 10:24:58 PM,93.753,11.236
59,10/02/19 10:34:58 PM,93.763,11.236
60,10/02/19 10:44:58 PM,93.774,11.236
61,10/02/19 10:54:58 PM,93.838,11.236
62,10/02/19 11:04:58 PM,93.827,11.236
63,10/02/19 11:14:58 PM,93.859,11.236
64,10/02/19 11:24:58 PM,93.870,11.236
65,10/02/19 11:34:58 PM,93.870,11.236
66,10/02/19 11:44:58 PM,93.870,11.236
67,10/02/19 11:54:58 PM,93.870,11.236
68,10/03/19 12:04:58 AM,93.870,11.236
69,10/03/19 12:14:58 AM,93.870,11.236
70,10/03/19 12:24:58 AM,93.891,11.236
71,10/03/19 12:34:58 AM,93.913,11.236
72,10/03/19 12:44:58 AM,93.955,11.236
73,10/03/19 12:54:58 AM,93.987,11.236
74,10/03/19 01:04:58 AM,94.019,11.236
75,10/03/19 01:14:58 AM,94.030,11.236
76,10/03/19 01:24:58 AM,94.062,11.236
77,10/03/19 01:34:58 AM,94.083,11.236
78,10/03/19 01:44:58 AM,94.105,11.236
79,10/03/19 01:54:58 AM,94.094,11.236
80,10/03/19 02:04:58 AM,94.115,11.236
81,10/03/19 02:14:58 AM,94.105,11.236
82,10/03/19 02:24:58 AM,94.094,11.236
83,10/03/19 02:34:58 AM,94.105,11.236
84,10/03/19 02:44:58 AM,94.115,11.236
85,10/03/19 02:54:58 AM,94.126,11.236
86,10/03/19 03:04:58 AM,94.147,11.236
87,10/03/19 03:14:58 AM,94.137,11.236
88,10/03/19 03:24:58 AM,94.147,11.236
89,10/03/19 03:34:58 AM,94.158,11.236
90,10/03/19 03:44:58 AM,94.158,11.236
91,10/03/19 03:54:58 AM,94.147,11.236
92,10/03/19 04:04:58 AM,94.147,11.236
93,10/03/19 04:14:58 AM,94.169,11.236
94,10/03/19 04:24:58 AM,94.179,11.236
95,10/03/19 04:34:58 AM,94.169,11.236
96,10/03/19 04:44:58 AM,94.190,11.236
97,10/03/19 04:54:58 AM,94.190,11.236
98,10/03/19 05:04:58 AM,94.190,11.236
99,10/03/19 05:14:58 AM,94.211,11.236
100,10/03/19 05:24:58 AM,94.222,11.236
101,10/03/19 05:34:58 AM,94.222,11.236
102,10/03/19 05:44:58 AM,94.233,11.236
103,10/03/19 05:54:58 AM,94.243,11.236
104,10/03/19 06:04:58 AM,94.265,11.236
105,10/03/19 06:14:58 AM,94.318,11.236
106,10/03/19 06:24:58 AM,94.339,11.236
107,10/03/19 06:34:58 AM,94.307,11.236
108,10/03/19 06:44:58 AM,94.318,11.236
109,10/03/19 06:54:58 AM,94.350,11.236
110,10/03/19 07:04:58 AM,94.371,11.236
111,10/03/19 07:14:58 AM,94.371,11.236
112,10/03/19 07:24:58 AM,94.371,11.236
113,10/03/19 07:34:58 AM,94.350,11.236
114,10/03/19 07:44:58 AM,94.361,11.236
115,10/03/19 07:54:58 AM,94.350,11.236
116,10/03/19 08:04:58 AM,94.382,11.236
117,10/03/19 08:14:58 AM,94.393,11.236
118,10/03/19 08:24:58 AM,94.382,11.236
119,10/03/19 08:34:58 AM,94.393,11.236
120,10/03/19 08:44:58 AM,94.382,11.236
121,10/03/19 08:54:58 AM,94.361,11.236
