"Plot Title: 52_4_d2"
"#","Date Time, GMT-04:00","Abs Pres, kPa (LGR S/N: 20642913, SEN S/N: 20642913)","Temp, °C (LGR S/N: 20642913, SEN S/N: 20642913)","Coupler Detached (LGR S/N: 20642913, SEN S/N: 20642913)","Coupler Attached (LGR S/N: 20642913, SEN S/N: 20642913)","Host Connected (LGR S/N: 20642913, SEN S/N: 20642913)","Stopped (LGR S/N: 20642913, SEN S/N: 20642913)","End Of File (LGR S/N: 20642913, SEN S/N: 20642913)"
1,10/02/19 11:33:02 AM,93.316,10.944,,,,,
2,10/02/19 11:33:16 AM,,,Logged,,,,
3,10/02/19 11:43:02 AM,116.106,10.063,,,,,
4,10/02/19 11:53:02 AM,116.111,9.768,,,,,
5,10/02/19 12:03:02 PM,116.100,9.669,,,,,
6,10/02/19 12:13:02 PM,116.099,9.571,,,,,
7,10/02/19 12:23:02 PM,116.089,9.571,,,,,
8,10/02/19 12:33:02 PM,116.079,9.571,,,,,
9,10/02/19 12:43:02 PM,116.099,9.571,,,,,
10,10/02/19 12:53:02 PM,116.099,9.571,,,,,
11,10/02/19 01:03:02 PM,116.119,9.571,,,,,
12,10/02/19 01:13:02 PM,116.148,9.571,,,,,
13,10/02/19 01:23:02 PM,116.119,9.571,,,,,
14,10/02/19 01:33:02 PM,116.128,9.571,,,,,
15,10/02/19 01:43:02 PM,116.099,9.571,,,,,
16,10/02/19 01:53:02 PM,116.109,9.571,,,,,
17,10/02/19 02:03:02 PM,116.089,9.571,,,,,
18,10/02/19 02:13:02 PM,116.119,9.571,,,,,
19,10/02/19 02:23:02 PM,116.119,9.571,,,,,
20,10/02/19 02:33:02 PM,116.119,9.571,,,,,
21,10/02/19 02:43:02 PM,116.148,9.571,,,,,
22,10/02/19 02:53:02 PM,116.119,9.571,,,,,
23,10/02/19 03:03:02 PM,116.128,9.571,,,,,
24,10/02/19 03:13:02 PM,116.099,9.571,,,,,
25,10/02/19 03:23:02 PM,116.128,9.571,,,,,
26,10/02/19 03:33:02 PM,116.119,9.571,,,,,
27,10/02/19 03:43:02 PM,116.119,9.571,,,,,
28,10/02/19 03:53:02 PM,116.128,9.571,,,,,
29,10/02/19 04:03:02 PM,116.138,9.571,,,,,
30,10/02/19 04:13:02 PM,116.128,9.571,,,,,
31,10/02/19 04:23:02 PM,116.138,9.571,,,,,
32,10/02/19 04:33:02 PM,116.158,9.571,,,,,
33,10/02/19 04:43:02 PM,116.138,9.571,,,,,
34,10/02/19 04:53:02 PM,116.148,9.571,,,,,
35,10/02/19 05:03:02 PM,116.187,9.571,,,,,
36,10/02/19 05:13:02 PM,116.178,9.571,,,,,
37,10/02/19 05:23:02 PM,116.187,9.571,,,,,
38,10/02/19 05:33:02 PM,116.207,9.571,,,,,
39,10/02/19 05:43:02 PM,116.197,9.571,,,,,
40,10/02/19 05:53:02 PM,116.207,9.571,,,,,
41,10/02/19 06:03:02 PM,116.207,9.571,,,,,
42,10/02/19 06:13:02 PM,116.227,9.571,,,,,
43,10/02/19 06:23:02 PM,116.237,9.571,,,,,
44,10/02/19 06:33:02 PM,116.247,9.571,,,,,
45,10/02/19 06:43:02 PM,116.266,9.571,,,,,
46,10/02/19 06:53:02 PM,116.276,9.571,,,,,
47,10/02/19 07:03:02 PM,116.296,9.571,,,,,
48,10/02/19 07:13:02 PM,116.286,9.571,,,,,
49,10/02/19 07:23:02 PM,116.315,9.571,,,,,
50,10/02/19 07:33:02 PM,116.306,9.571,,,,,
51,10/02/19 07:43:02 PM,116.315,9.571,,,,,
52,10/02/19 07:53:02 PM,116.345,9.571,,,,,
53,10/02/19 08:03:02 PM,116.374,9.571,,,,,
54,10/02/19 08:13:02 PM,116.365,9.571,,,,,
55,10/02/19 08:23:02 PM,116.384,9.571,,,,,
56,10/02/19 08:33:02 PM,116.414,9.571,,,,,
57,10/02/19 08:43:02 PM,116.404,9.571,,,,,
58,10/02/19 08:53:02 PM,116.404,9.571,,,,,
