"Plot Title: 86_3_s1"
"#","Date Time, GMT-04:00","Abs Pres, kPa (LGR S/N: 10766686, SEN S/N: 10766686, LBL: pressure)","Temp, °C (LGR S/N: 10766686, SEN S/N: 10766686, LBL: temp)","Coupler Detached (LGR S/N: 10766686, SEN S/N: 10766686)","Coupler Attached (LGR S/N: 10766686, SEN S/N: 10766686)","Host Connected (LGR S/N: 10766686, SEN S/N: 10766686)","Stopped (LGR S/N: 10766686, SEN S/N: 10766686)","End Of File (LGR S/N: 10766686, SEN S/N: 10766686)"
1,10/02/19 10:19:32 AM,93.922,11.819,,,,,
2,10/02/19 10:20:03 AM,,,Logged,,,,
3,10/02/19 10:29:32 AM,93.911,12.594,,,,,
4,10/02/19 10:39:32 AM,93.884,11.916,,,,,
5,10/02/19 10:49:32 AM,93.877,11.625,,,,,
6,10/02/19 10:59:32 AM,93.883,11.431,,,,,
7,10/02/19 11:09:32 AM,93.921,11.334,,,,,
8,10/02/19 11:19:32 AM,93.928,11.236,,,,,
9,10/02/19 11:29:32 AM,93.966,11.139,,,,,
10,10/02/19 11:39:32 AM,93.936,11.139,,,,,
11,10/02/19 11:49:32 AM,93.946,11.139,,,,,
12,10/02/19 11:59:32 AM,93.986,11.139,,,,,
13,10/02/19 12:09:32 PM,93.956,11.139,,,,,
14,10/02/19 12:19:32 PM,93.976,11.139,,,,,
15,10/02/19 12:29:32 PM,93.966,11.139,,,,,
16,10/02/19 12:39:32 PM,93.974,11.041,,,,,
17,10/02/19 12:49:32 PM,93.984,11.041,,,,,
18,10/02/19 12:59:32 PM,94.014,11.041,,,,,
19,10/02/19 01:09:32 PM,94.024,11.041,,,,,
20,10/02/19 01:19:32 PM,94.054,11.041,,,,,
21,10/02/19 01:29:32 PM,94.044,11.041,,,,,
22,10/02/19 01:39:32 PM,94.034,11.041,,,,,
23,10/02/19 01:49:32 PM,94.024,11.041,,,,,
24,10/02/19 01:59:32 PM,94.034,11.041,,,,,
25,10/02/19 02:09:32 PM,94.054,11.041,,,,,
26,10/02/19 02:19:32 PM,94.064,11.041,,,,,
27,10/02/19 02:29:32 PM,94.064,11.041,,,,,
28,10/02/19 02:39:32 PM,94.084,11.041,,,,,
29,10/02/19 02:49:32 PM,94.114,11.041,,,,,
30,10/02/19 02:59:32 PM,94.084,11.041,,,,,
31,10/02/19 03:09:32 PM,94.084,11.041,,,,,
32,10/02/19 03:19:32 PM,94.104,11.041,,,,,
33,10/02/19 03:29:32 PM,94.114,11.041,,,,,
34,10/02/19 03:39:32 PM,94.125,11.041,,,,,
35,10/02/19 03:49:32 PM,94.135,11.041,,,,,
36,10/02/19 03:59:32 PM,94.135,11.041,,,,,
37,10/02/19 04:09:32 PM,94.155,11.041,,,,,
38,10/02/19 04:19:32 PM,94.145,11.041,,,,,
39,10/02/19 04:29:32 PM,94.175,11.041,,,,,
40,10/02/19 04:39:32 PM,94.165,11.041,,,,,
41,10/02/19 04:49:32 PM,94.165,11.041,,,,,
42,10/02/19 04:59:32 PM,94.195,11.041,,,,,
43,10/02/19 05:09:32 PM,94.195,11.041,,,,,
44,10/02/19 05:19:32 PM,94.235,11.041,,,,,
45,10/02/19 05:29:32 PM,94.245,11.041,,,,,
46,10/02/19 05:39:32 PM,94.265,11.041,,,,,
47,10/02/19 05:49:32 PM,94.275,11.041,,,,,
48,10/02/19 05:59:32 PM,94.275,11.041,,,,,
49,10/02/19 06:09:32 PM,94.295,11.041,,,,,
50,10/02/19 06:19:32 PM,94.316,11.041,,,,,
51,10/02/19 06:29:32 PM,94.305,11.041,,,,,
52,10/02/19 06:39:32 PM,94.346,11.041,,,,,
53,10/02/19 06:49:32 PM,94.346,11.041,,,,,
54,10/02/19 06:59:32 PM,94.376,11.041,,,,,
55,10/02/19 07:09:32 PM,94.406,11.041,,,,,
56,10/02/19 07:19:32 PM,94.416,11.041,,,,,
57,10/02/19 07:29:32 PM,94.426,11.041,,,,,
58,10/02/19 07:39:32 PM,94.426,11.041,,,,,
59,10/02/19 07:49:32 PM,94.456,11.041,,,,,
60,10/02/19 07:59:32 PM,94.496,11.041,,,,,
61,10/02/19 08:09:32 PM,94.496,11.041,,,,,
62,10/02/19 08:19:32 PM,94.507,11.041,,,,,
63,10/02/19 08:29:32 PM,94.527,11.041,,,,,
64,10/02/19 08:39:32 PM,94.547,11.041,,,,,
65,10/02/19 08:49:32 PM,94.567,11.041,,,,,
66,10/02/19 08:59:32 PM,94.577,11.041,,,,,
67,10/02/19 09:09:32 PM,94.587,11.041,,,,,
68,10/02/19 09:19:32 PM,94.597,11.041,,,,,
69,10/02/19 09:29:32 PM,94.597,11.041,,,,,
70,10/02/19 09:39:32 PM,94.617,11.041,,,,,
71,10/02/19 09:49:32 PM,94.617,11.041,,,,,
72,10/02/19 09:59:32 PM,94.627,11.041,,,,,
73,10/02/19 10:09:32 PM,94.637,11.041,,,,,
74,10/02/19 10:19:32 PM,94.677,11.041,,,,,
75,10/02/19 10:29:32 PM,94.698,11.041,,,,,
76,10/02/19 10:39:32 PM,94.687,11.041,,,,,
77,10/02/19 10:49:32 PM,94.698,11.041,,,,,
78,10/02/19 10:59:32 PM,94.738,11.041,,,,,
79,10/02/19 11:09:32 PM,94.758,11.041,,,,,
80,10/02/19 11:19:32 PM,94.768,11.041,,,,,
81,10/02/19 11:29:32 PM,94.768,11.041,,,,,
82,10/02/19 11:39:32 PM,94.768,11.041,,,,,
83,10/02/19 11:49:32 PM,94.768,11.041,,,,,
84,10/02/19 11:59:32 PM,94.768,11.041,,,,,
85,10/03/19 12:09:32 AM,94.778,11.041,,,,,
86,10/03/19 12:19:32 AM,94.768,11.041,,,,,
87,10/03/19 12:29:32 AM,94.778,11.041,,,,,
88,10/03/19 12:39:32 AM,94.768,11.041,,,,,
89,10/03/19 12:49:32 AM,94.778,11.041,,,,,
90,10/03/19 12:59:32 AM,94.788,11.041,,,,,
91,10/03/19 01:09:32 AM,94.818,11.041,,,,,
92,10/03/19 01:19:32 AM,94.838,11.041,,,,,
93,10/03/19 01:29:32 AM,94.858,11.041,,,,,
94,10/03/19 01:39:32 AM,94.868,11.041,,,,,
95,10/03/19 01:49:32 AM,94.858,11.041,,,,,
96,10/03/19 01:59:32 AM,94.838,11.041,,,,,
97,10/03/19 02:09:32 AM,94.838,11.041,,,,,
98,10/03/19 02:19:32 AM,94.818,11.041,,,,,
99,10/03/19 02:29:32 AM,94.828,11.041,,,,,
100,10/03/19 02:39:32 AM,94.848,11.041,,,,,
101,10/03/19 02:49:32 AM,94.858,11.041,,,,,
102,10/03/19 02:59:32 AM,94.848,11.041,,,,,
103,10/03/19 03:09:32 AM,94.868,11.041,,,,,
104,10/03/19 03:19:32 AM,94.858,11.041,,,,,
105,10/03/19 03:29:32 AM,94.868,11.041,,,,,
106,10/03/19 03:39:32 AM,94.879,11.041,,,,,
107,10/03/19 03:49:32 AM,94.868,11.041,,,,,
108,10/03/19 03:59:32 AM,94.848,11.041,,,,,
109,10/03/19 04:09:32 AM,94.848,11.041,,,,,
110,10/03/19 04:19:32 AM,94.879,11.041,,,,,
111,10/03/19 04:29:32 AM,94.868,11.041,,,,,
112,10/03/19 04:39:32 AM,94.879,11.041,,,,,
113,10/03/19 04:49:32 AM,94.899,11.041,,,,,
114,10/03/19 04:59:32 AM,94.868,11.041,,,,,
115,10/03/19 05:09:32 AM,94.879,11.041,,,,,
116,10/03/19 05:19:32 AM,94.909,11.041,,,,,
117,10/03/19 05:29:32 AM,94.939,11.041,,,,,
118,10/03/19 05:39:32 AM,94.919,11.041,,,,,
119,10/03/19 05:49:32 AM,94.929,11.041,,,,,
120,10/03/19 05:59:32 AM,94.949,11.041,,,,,
121,10/03/19 06:09:32 AM,94.969,11.041,,,,,
122,10/03/19 06:19:32 AM,95.019,11.041,,,,,
123,10/03/19 06:29:32 AM,95.009,11.041,,,,,
124,10/03/19 06:39:32 AM,95.009,11.041,,,,,
125,10/03/19 06:49:32 AM,94.999,11.041,,,,,
126,10/03/19 06:59:32 AM,95.039,11.041,,,,,
127,10/03/19 07:09:32 AM,95.080,11.041,,,,,
