"Plot Title: 86_4_s1"
"#","Date Time, GMT-04:00","Abs Pres, kPa (LGR S/N: 10766683, SEN S/N: 10766683)","Temp, °C (LGR S/N: 10766683, SEN S/N: 10766683)","Coupler Detached (LGR S/N: 10766683, SEN S/N: 10766683)","Coupler Attached (LGR S/N: 10766683, SEN S/N: 10766683)","Stopped (LGR S/N: 10766683, SEN S/N: 10766683)","End Of File (LGR S/N: 10766683, SEN S/N: 10766683)"
1,10/02/19 09:40:40 AM,94.040,11.431,,,,
2,10/02/19 09:40:47 AM,,,Logged,,,
3,10/02/19 09:50:40 AM,94.045,12.690,,,,
4,10/02/19 10:00:40 AM,94.029,11.916,,,,
5,10/02/19 10:10:40 AM,93.991,11.528,,,,
6,10/02/19 10:20:40 AM,93.996,11.236,,,,
7,10/02/19 10:30:40 AM,94.004,11.139,,,,
8,10/02/19 10:40:40 AM,93.980,10.944,,,,
9,10/02/19 10:50:40 AM,93.980,10.944,,,,
10,10/02/19 11:00:40 AM,93.988,10.846,,,,
11,10/02/19 11:10:40 AM,93.998,10.846,,,,
12,10/02/19 11:20:40 AM,94.008,10.846,,,,
13,10/02/19 11:30:40 AM,94.068,10.748,,,,
14,10/02/19 11:40:40 AM,94.048,10.748,,,,
15,10/02/19 11:50:40 AM,94.058,10.748,,,,
16,10/02/19 12:00:40 PM,94.068,10.748,,,,
17,10/02/19 12:10:40 PM,94.058,10.748,,,,
18,10/02/19 12:20:40 PM,94.058,10.748,,,,
19,10/02/19 12:30:40 PM,94.048,10.748,,,,
20,10/02/19 12:40:40 PM,94.068,10.748,,,,
21,10/02/19 12:50:40 PM,94.079,10.748,,,,
22,10/02/19 01:00:40 PM,94.109,10.748,,,,
23,10/02/19 01:10:40 PM,94.120,10.748,,,,
24,10/02/19 01:20:40 PM,94.120,10.748,,,,
25,10/02/19 01:30:40 PM,94.140,10.748,,,,
26,10/02/19 01:40:40 PM,94.130,10.748,,,,
27,10/02/19 01:50:40 PM,94.130,10.748,,,,
28,10/02/19 02:00:40 PM,94.120,10.748,,,,
29,10/02/19 02:10:40 PM,94.140,10.748,,,,
30,10/02/19 02:20:40 PM,94.171,10.748,,,,
31,10/02/19 02:30:40 PM,94.161,10.748,,,,
32,10/02/19 02:40:40 PM,94.181,10.748,,,,
33,10/02/19 02:50:40 PM,94.171,10.748,,,,
34,10/02/19 03:00:40 PM,94.181,10.748,,,,
35,10/02/19 03:10:40 PM,94.192,10.748,,,,
36,10/02/19 03:20:40 PM,94.181,10.748,,,,
37,10/02/19 03:30:40 PM,94.192,10.748,,,,
38,10/02/19 03:40:40 PM,94.212,10.748,,,,
39,10/02/19 03:50:40 PM,94.212,10.748,,,,
40,10/02/19 04:00:40 PM,94.212,10.748,,,,
41,10/02/19 04:10:40 PM,94.243,10.748,,,,
42,10/02/19 04:20:40 PM,94.243,10.748,,,,
43,10/02/19 04:30:40 PM,94.253,10.748,,,,
44,10/02/19 04:40:40 PM,94.264,10.748,,,,
45,10/02/19 04:50:40 PM,94.274,10.748,,,,
46,10/02/19 05:00:40 PM,94.274,10.748,,,,
47,10/02/19 05:10:40 PM,94.295,10.748,,,,
48,10/02/19 05:20:40 PM,94.336,10.748,,,,
49,10/02/19 05:30:40 PM,94.346,10.748,,,,
50,10/02/19 05:40:40 PM,94.346,10.748,,,,
51,10/02/19 05:50:40 PM,94.367,10.748,,,,
52,10/02/19 06:00:40 PM,94.377,10.748,,,,
53,10/02/19 06:10:40 PM,94.397,10.748,,,,
54,10/02/19 06:20:40 PM,94.397,10.748,,,,
55,10/02/19 06:30:40 PM,94.408,10.748,,,,
56,10/02/19 06:40:40 PM,94.439,10.748,,,,
57,10/02/19 06:50:40 PM,94.439,10.748,,,,
58,10/02/19 07:00:40 PM,94.480,10.748,,,,
59,10/02/19 07:10:40 PM,94.480,10.748,,,,
60,10/02/19 07:20:40 PM,94.500,10.748,,,,
61,10/02/19 07:30:40 PM,94.521,10.748,,,,
62,10/02/19 07:40:40 PM,94.500,10.748,,,,
63,10/02/19 07:50:40 PM,94.541,10.748,,,,
64,10/02/19 08:00:40 PM,94.570,10.651,,,,
65,10/02/19 08:10:40 PM,94.562,10.748,,,,
66,10/02/19 08:20:40 PM,94.603,10.748,,,,
67,10/02/19 08:30:40 PM,94.624,10.748,,,,
68,10/02/19 08:40:40 PM,94.634,10.748,,,,
69,10/02/19 08:50:40 PM,94.673,10.651,,,,
70,10/02/19 09:00:40 PM,94.663,10.651,,,,
71,10/02/19 09:10:40 PM,94.685,10.748,,,,
72,10/02/19 09:20:40 PM,94.685,10.748,,,,
73,10/02/19 09:30:40 PM,94.725,10.651,,,,
74,10/02/19 09:40:40 PM,94.725,10.651,,,,
75,10/02/19 09:50:40 PM,94.735,10.651,,,,
76,10/02/19 10:00:40 PM,94.766,10.651,,,,
77,10/02/19 10:10:40 PM,94.735,10.651,,,,
78,10/02/19 10:20:40 PM,94.757,10.748,,,,
79,10/02/19 10:30:40 PM,94.776,10.651,,,,
80,10/02/19 10:40:40 PM,94.766,10.651,,,,
81,10/02/19 10:50:40 PM,94.776,10.651,,,,
