"Plot Title: Barometric"
"#","Date Time, GMT-04:00","Abs Pres, kPa (LGR S/N: 10710509, SEN S/N: 10710509)","Temp, °C (LGR S/N: 10710509, SEN S/N: 10710509)","Coupler Detached (LGR S/N: 10710509, SEN S/N: 10710509)","Coupler Attached (LGR S/N: 10710509, SEN S/N: 10710509)","Stopped (LGR S/N: 10710509, SEN S/N: 10710509)","End Of File (LGR S/N: 10710509, SEN S/N: 10710509)"
1,07/19/19 12:56:37 PM,94.034,24.641,,,,
2,07/19/19 12:57:50 PM,,,Logged,,,
3,07/19/19 01:06:37 PM,94.014,24.931,,,,
4,07/19/19 01:16:37 PM,94.003,24.641,,,,
5,07/19/19 01:26:37 PM,93.986,24.448,,,,
6,07/19/19 01:36:37 PM,94.003,24.351,,,,
7,07/19/19 01:46:37 PM,93.996,24.448,,,,
8,07/19/19 01:56:37 PM,93.972,24.641,,,,
9,07/19/19 02:06:37 PM,93.976,24.738,,,,
10,07/19/19 02:16:37 PM,93.955,25.028,,,,
11,07/19/19 02:26:37 PM,93.959,25.416,,,,
12,07/19/19 02:36:37 PM,93.969,25.708,,,,
13,07/19/19 02:46:37 PM,93.980,25.708,,,,
14,07/19/19 02:56:37 PM,93.997,25.610,,,,
15,07/19/19 03:06:37 PM,93.997,25.610,,,,
16,07/19/19 03:16:37 PM,93.956,25.610,,,,
17,07/19/19 03:26:37 PM,93.959,25.708,,,,
18,07/19/19 03:36:37 PM,93.942,25.805,,,,
19,07/19/19 03:46:37 PM,93.945,25.902,,,,
20,07/19/19 03:56:37 PM,93.956,25.902,,,,
21,07/19/19 04:06:37 PM,93.966,25.902,,,,
22,07/19/19 04:16:37 PM,93.921,25.805,,,,
23,07/19/19 04:26:37 PM,93.935,25.902,,,,
24,07/19/19 04:36:37 PM,93.928,26.000,,,,
25,07/19/19 04:46:37 PM,93.935,25.902,,,,
26,07/19/19 04:56:37 PM,93.921,25.805,,,,
27,07/19/19 05:06:37 PM,93.938,25.708,,,,
28,07/19/19 05:16:37 PM,93.956,25.610,,,,
29,07/19/19 05:26:37 PM,93.935,25.319,,,,
30,07/19/19 05:36:37 PM,93.928,25.125,,,,
31,07/19/19 05:46:37 PM,93.962,24.931,,,,
32,07/19/19 05:56:37 PM,93.945,24.738,,,,
33,07/19/19 06:06:37 PM,93.941,24.641,,,,
34,07/19/19 06:16:37 PM,93.938,24.545,,,,
35,07/19/19 06:26:37 PM,93.924,24.448,,,,
36,07/19/19 06:36:37 PM,93.903,24.448,,,,
37,07/19/19 06:46:37 PM,93.941,24.351,,,,
38,07/19/19 06:56:37 PM,93.920,24.351,,,,
39,07/19/19 07:06:37 PM,93.917,24.255,,,,
40,07/19/19 07:16:37 PM,93.907,24.255,,,,
41,07/19/19 07:26:37 PM,93.927,24.255,,,,
42,07/19/19 07:36:37 PM,93.924,24.158,,,,
43,07/19/19 07:46:37 PM,93.924,24.158,,,,
44,07/19/19 07:56:37 PM,93.903,24.158,,,,
45,07/19/19 08:06:37 PM,93.920,24.062,,,,
46,07/19/19 08:16:37 PM,93.920,24.062,,,,
47,07/19/19 08:26:37 PM,93.917,23.966,,,,
48,07/19/19 08:36:37 PM,93.927,23.966,,,,
49,07/19/19 08:46:37 PM,93.948,23.966,,,,
50,07/19/19 08:56:37 PM,93.934,23.869,,,,
51,07/19/19 09:06:37 PM,93.931,23.773,,,,
52,07/19/19 09:16:37 PM,93.941,23.773,,,,
53,07/19/19 09:26:37 PM,93.962,23.773,,,,
54,07/19/19 09:36:37 PM,93.962,23.773,,,,
55,07/19/19 09:46:37 PM,93.951,23.773,,,,
56,07/19/19 09:56:37 PM,93.948,23.677,,,,
57,07/19/19 10:06:37 PM,93.979,23.677,,,,
58,07/19/19 10:16:37 PM,93.958,23.677,,,,
59,07/19/19 10:26:37 PM,93.934,23.581,,,,
60,07/19/19 10:36:37 PM,93.937,23.677,,,,
61,07/19/19 10:46:37 PM,93.958,23.677,,,,
62,07/19/19 10:56:37 PM,93.965,23.581,,,,
63,07/19/19 11:06:37 PM,93.944,23.581,,,,
64,07/19/19 11:16:37 PM,93.951,23.484,,,,
65,07/19/19 11:26:37 PM,93.962,23.484,,,,
66,07/19/19 11:36:37 PM,93.941,23.484,,,,
67,07/19/19 11:46:37 PM,93.941,23.484,,,,
68,07/19/19 11:56:37 PM,93.930,23.484,,,,
69,07/20/19 12:06:37 AM,93.906,23.388,,,,
70,07/20/19 12:16:37 AM,93.924,23.292,,,,
71,07/20/19 12:26:37 AM,93.913,23.292,,,,
72,07/20/19 12:36:37 AM,93.910,23.196,,,,
73,07/20/19 12:46:37 AM,93.917,23.100,,,,
74,07/20/19 12:56:37 AM,93.917,23.100,,,,
75,07/20/19 01:06:37 AM,93.913,23.004,,,,
76,07/20/19 01:16:37 AM,93.903,23.004,,,,
77,07/20/19 01:26:37 AM,93.899,22.908,,,,
78,07/20/19 01:36:37 AM,93.910,22.908,,,,
79,07/20/19 01:46:37 AM,93.910,22.908,,,,
80,07/20/19 01:56:37 AM,93.906,22.812,,,,
81,07/20/19 02:06:37 AM,93.923,22.717,,,,
82,07/20/19 02:16:37 AM,93.913,22.717,,,,
83,07/20/19 02:26:37 AM,93.913,22.717,,,,
84,07/20/19 02:36:37 AM,93.910,22.621,,,,
85,07/20/19 02:46:37 AM,93.937,22.525,,,,
86,07/20/19 02:56:37 AM,93.913,22.429,,,,
87,07/20/19 03:06:37 AM,93.941,22.333,,,,
88,07/20/19 03:16:37 AM,93.927,22.238,,,,
89,07/20/19 03:26:37 AM,93.916,22.238,,,,
90,07/20/19 03:36:37 AM,93.941,22.333,,,,
91,07/20/19 03:46:37 AM,93.941,22.333,,,,
92,07/20/19 03:56:37 AM,93.930,22.333,,,,
93,07/20/19 04:06:37 AM,93.937,22.238,,,,
94,07/20/19 04:16:37 AM,93.948,22.238,,,,
95,07/20/19 04:26:37 AM,93.913,22.142,,,,
96,07/20/19 04:36:37 AM,93.923,22.142,,,,
97,07/20/19 04:46:37 AM,93.913,22.142,,,,
98,07/20/19 04:56:37 AM,93.913,22.142,,,,
99,07/20/19 05:06:37 AM,93.941,22.046,,,,
100,07/20/19 05:16:37 AM,93.937,21.951,,,,
101,07/20/19 05:26:37 AM,93.937,21.951,,,,
102,07/20/19 05:36:37 AM,93.954,21.855,,,,
103,07/20/19 05:46:37 AM,93.975,21.855,,,,
104,07/20/19 05:56:37 AM,93.954,21.855,,,,
105,07/20/19 06:06:37 AM,93.968,21.951,,,,
106,07/20/19 06:16:37 AM,93.985,21.855,,,,
107,07/20/19 06:26:37 AM,93.996,21.855,,,,
108,07/20/19 06:36:37 AM,93.996,21.855,,,,
109,07/20/19 06:46:37 AM,94.016,21.855,,,,
110,07/20/19 06:56:37 AM,94.013,21.760,,,,
111,07/20/19 07:06:37 AM,94.010,21.664,,,,
112,07/20/19 07:16:37 AM,93.999,21.664,,,,
113,07/20/19 07:26:37 AM,94.006,21.569,,,,
114,07/20/19 07:36:37 AM,93.985,21.569,,,,
115,07/20/19 07:46:37 AM,93.996,21.569,,,,
116,07/20/19 07:56:37 AM,93.996,21.569,,,,
117,07/20/19 08:06:37 AM,94.020,21.664,,,,
118,07/20/19 08:16:37 AM,94.003,21.760,,,,
119,07/20/19 08:26:37 AM,94.006,21.855,,,,
120,07/20/19 08:36:37 AM,94.054,22.046,,,,
121,07/20/19 08:46:37 AM,94.041,22.238,,,,
122,07/20/19 08:56:37 AM,94.048,22.429,,,,
123,07/20/19 09:06:37 AM,94.034,22.621,,,,
124,07/20/19 09:16:37 AM,94.041,22.812,,,,
125,07/20/19 09:26:37 AM,94.027,23.004,,,,
126,07/20/19 09:36:37 AM,94.024,23.196,,,,
127,07/20/19 09:46:37 AM,94.037,23.292,,,,
128,07/20/19 09:56:37 AM,94.030,23.388,,,,
129,07/20/19 10:06:37 AM,94.048,23.581,,,,
130,07/20/19 10:16:37 AM,94.044,23.773,,,,
131,07/20/19 10:26:37 AM,94.051,23.966,,,,
132,07/20/19 10:36:37 AM,94.086,24.062,,,,
133,07/20/19 10:46:37 AM,94.093,24.255,,,,
134,07/20/19 10:56:37 AM,94.107,24.351,,,,
135,07/20/19 11:06:37 AM,94.093,24.545,,,,
136,07/20/19 11:16:37 AM,94.090,24.738,,,,
137,07/20/19 11:26:37 AM,94.093,24.835,,,,
138,07/20/19 11:36:37 AM,94.066,24.931,,,,
139,07/20/19 11:46:37 AM,94.066,24.931,,,,
140,07/20/19 11:56:37 AM,94.059,25.028,,,,
141,07/20/19 12:06:37 PM,94.073,25.125,,,,
142,07/20/19 12:16:37 PM,94.069,25.319,,,,
143,07/20/19 12:26:37 PM,94.056,25.513,,,,
144,07/20/19 12:36:37 PM,94.059,25.610,,,,
145,07/20/19 12:46:37 PM,94.073,25.708,,,,
146,07/20/19 12:56:37 PM,94.052,25.708,,,,
147,07/20/19 01:06:37 PM,94.032,25.708,,,,
148,07/20/19 01:16:37 PM,94.035,25.805,,,,
