"Plot Title: Barometric"
"#","Date Time, GMT-04:00","Abs Pres, kPa (LGR S/N: 10710509, SEN S/N: 10710509)","Temp, °C (LGR S/N: 10710509, SEN S/N: 10710509)","Coupler Detached (LGR S/N: 10710509, SEN S/N: 10710509)","Coupler Attached (LGR S/N: 10710509, SEN S/N: 10710509)","Host Connected (LGR S/N: 10710509, SEN S/N: 10710509)","Stopped (LGR S/N: 10710509, SEN S/N: 10710509)","End Of File (LGR S/N: 10710509, SEN S/N: 10710509)"
1,10/02/19 02:58:08 PM,93.954,11.528,,,,,
2,10/02/19 02:58:19 PM,,,Logged,,,,
3,10/02/19 03:08:08 PM,93.944,11.819,,,,,
4,10/02/19 03:18:08 PM,93.950,11.139,,,,,
5,10/02/19 03:28:08 PM,93.960,10.846,,,,,
6,10/02/19 03:38:08 PM,93.960,10.553,,,,,
7,10/02/19 03:48:08 PM,93.994,10.357,,,,,
8,10/02/19 03:58:08 PM,93.970,10.259,,,,,
9,10/02/19 04:08:08 PM,93.984,10.063,,,,,
10,10/02/19 04:18:08 PM,94.001,9.965,,,,,
11,10/02/19 04:28:08 PM,94.014,9.768,,,,,
12,10/02/19 04:38:08 PM,94.028,9.571,,,,,
13,10/02/19 04:48:08 PM,94.034,9.472,,,,,
14,10/02/19 04:58:08 PM,94.027,9.275,,,,,
15,10/02/19 05:08:08 PM,94.034,9.176,,,,,
16,10/02/19 05:18:08 PM,94.072,9.077,,,,,
17,10/02/19 05:28:08 PM,94.085,8.879,,,,,
18,10/02/19 05:38:08 PM,94.092,8.779,,,,,
19,10/02/19 05:48:08 PM,94.105,8.581,,,,,
20,10/02/19 05:58:08 PM,94.122,8.481,,,,,
21,10/02/19 06:08:08 PM,94.129,8.382,,,,,
22,10/02/19 06:18:08 PM,94.153,8.182,,,,,
23,10/02/19 06:28:08 PM,94.166,7.983,,,,,
24,10/02/19 06:38:08 PM,94.190,7.782,,,,,
25,10/02/19 06:48:08 PM,94.200,7.481,,,,,
26,10/02/19 06:58:08 PM,94.213,7.280,,,,,
27,10/02/19 07:08:08 PM,94.240,7.179,,,,,
28,10/02/19 07:18:08 PM,94.253,6.978,,,,,
29,10/02/19 07:28:08 PM,94.270,6.877,,,,,
30,10/02/19 07:38:08 PM,94.273,6.674,,,,,
31,10/02/19 07:48:08 PM,94.301,6.573,,,,,
32,10/02/19 07:58:08 PM,94.338,6.471,,,,,
33,10/02/19 08:08:08 PM,94.348,6.471,,,,,
34,10/02/19 08:18:08 PM,94.345,6.370,,,,,
35,10/02/19 08:28:08 PM,94.376,6.370,,,,,
36,10/02/19 08:38:08 PM,94.392,6.268,,,,,
37,10/02/19 08:48:08 PM,94.403,6.268,,,,,
38,10/02/19 08:58:08 PM,94.430,6.166,,,,,
39,10/02/19 09:08:08 PM,94.426,6.064,,,,,
40,10/02/19 09:18:08 PM,94.453,5.962,,,,,
41,10/02/19 09:28:08 PM,94.450,5.860,,,,,
42,10/02/19 09:38:08 PM,94.470,5.860,,,,,
43,10/02/19 09:48:08 PM,94.467,5.757,,,,,
44,10/02/19 09:58:08 PM,94.484,5.655,,,,,
45,10/02/19 10:08:08 PM,94.480,5.552,,,,,
46,10/02/19 10:18:08 PM,94.500,5.552,,,,,
47,10/02/19 10:28:08 PM,94.507,5.450,,,,,
48,10/02/19 10:38:08 PM,94.514,5.347,,,,,
49,10/02/19 10:48:08 PM,94.541,5.244,,,,,
50,10/02/19 10:58:08 PM,94.582,5.244,,,,,
51,10/02/19 11:08:08 PM,94.588,5.141,,,,,
52,10/02/19 11:18:08 PM,94.605,5.037,,,,,
53,10/02/19 11:28:08 PM,94.605,5.037,,,,,
54,10/02/19 11:38:08 PM,94.616,5.037,,,,,
55,10/02/19 11:48:08 PM,94.626,5.037,,,,,
56,10/02/19 11:58:08 PM,94.605,5.037,,,,,
57,10/03/19 12:08:08 AM,94.626,5.037,,,,,
58,10/03/19 12:18:08 AM,94.622,4.934,,,,,
59,10/03/19 12:28:08 AM,94.612,4.934,,,,,
60,10/03/19 12:38:08 AM,94.618,4.831,,,,,
61,10/03/19 12:48:08 AM,94.629,4.831,,,,,
62,10/03/19 12:58:08 AM,94.635,4.727,,,,,
63,10/03/19 01:08:08 AM,94.666,4.727,,,,,
64,10/03/19 01:18:08 AM,94.673,4.623,,,,,
65,10/03/19 01:28:08 AM,94.703,4.623,,,,,
66,10/03/19 01:38:08 AM,94.689,4.519,,,,,
67,10/03/19 01:48:08 AM,94.689,4.519,,,,,
68,10/03/19 01:58:08 AM,94.710,4.519,,,,,
69,10/03/19 02:08:08 AM,94.686,4.415,,,,,
70,10/03/19 02:18:08 AM,94.696,4.415,,,,,
71,10/03/19 02:28:08 AM,94.686,4.415,,,,,
72,10/03/19 02:38:08 AM,94.686,4.415,,,,,
73,10/03/19 02:48:08 AM,94.686,4.415,,,,,
74,10/03/19 02:58:08 AM,94.692,4.311,,,,,
