"Plot Title: 42_2_s1"
"#","Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 20566220, SEN S/N: 20566220)","Temp, °C (LGR S/N: 20566220, SEN S/N: 20566220)","Coupler Detached (LGR S/N: 20566220, SEN S/N: 20566220)","Coupler Attached (LGR S/N: 20566220, SEN S/N: 20566220)","Host Connected (LGR S/N: 20566220, SEN S/N: 20566220)","End Of File (LGR S/N: 20566220, SEN S/N: 20566220)"
1,01/28/20 12:18:07 PM,91.614,3.472,,,,
2,01/28/20 12:18:11 PM,,,Logged,,,
3,01/28/20 12:28:07 PM,91.917,3.367,,,,
4,01/28/20 12:38:07 PM,91.831,2.517,,,,
5,01/28/20 12:48:07 PM,91.798,2.195,,,,
6,01/28/20 12:58:07 PM,91.775,1.980,,,,
7,01/28/20 01:08:07 PM,91.764,1.872,,,,
8,01/28/20 01:18:07 PM,91.753,1.764,,,,
9,01/28/20 01:28:07 PM,91.763,1.764,,,,
10,01/28/20 01:38:07 PM,91.783,1.764,,,,
11,01/28/20 01:48:07 PM,91.773,1.764,,,,
12,01/28/20 01:58:07 PM,91.773,1.764,,,,
13,01/28/20 02:08:07 PM,91.763,1.764,,,,
14,01/28/20 02:18:07 PM,91.763,1.764,,,,
15,01/28/20 02:28:07 PM,91.773,1.764,,,,
16,01/28/20 02:38:07 PM,91.783,1.764,,,,
17,01/28/20 02:48:07 PM,91.763,1.764,,,,
18,01/28/20 02:58:07 PM,91.783,1.764,,,,
19,01/28/20 03:08:07 PM,91.815,1.872,,,,
20,01/28/20 03:18:07 PM,91.794,1.872,,,,
21,01/28/20 03:28:07 PM,91.806,1.980,,,,
22,01/28/20 03:38:07 PM,91.785,1.980,,,,
23,01/28/20 03:48:07 PM,91.786,2.088,,,,
24,01/28/20 03:58:07 PM,91.796,2.088,,,,
25,01/28/20 04:08:07 PM,91.796,2.088,,,,
26,01/28/20 04:18:07 PM,91.818,2.195,,,,
27,01/28/20 04:28:07 PM,91.818,2.195,,,,
28,01/28/20 04:38:07 PM,91.808,2.195,,,,
29,01/28/20 04:48:07 PM,91.838,2.195,,,,
30,01/28/20 04:58:07 PM,91.828,2.195,,,,
31,01/28/20 05:08:07 PM,91.838,2.195,,,,
32,01/28/20 05:18:07 PM,91.848,2.195,,,,
33,01/28/20 05:28:07 PM,91.868,2.195,,,,
34,01/28/20 05:38:07 PM,91.878,2.195,,,,
35,01/28/20 05:48:07 PM,91.868,2.195,,,,
36,01/28/20 05:58:07 PM,91.878,2.195,,,,
37,01/28/20 06:08:07 PM,91.868,2.195,,,,
38,01/28/20 06:18:07 PM,91.878,2.195,,,,
39,01/28/20 06:28:07 PM,91.878,2.195,,,,
40,01/28/20 06:38:07 PM,91.889,2.195,,,,
41,01/28/20 06:48:07 PM,91.899,2.195,,,,
42,01/28/20 06:58:07 PM,91.909,2.195,,,,
43,01/28/20 07:08:07 PM,91.920,2.303,,,,
44,01/28/20 07:18:07 PM,91.910,2.303,,,,
45,01/28/20 07:28:07 PM,91.940,2.303,,,,
46,01/28/20 07:38:07 PM,91.960,2.303,,,,
47,01/28/20 07:48:07 PM,91.960,2.303,,,,
48,01/28/20 07:58:07 PM,91.970,2.303,,,,
49,01/28/20 08:08:07 PM,91.970,2.303,,,,
50,01/28/20 08:18:07 PM,91.981,2.303,,,,
51,01/28/20 08:28:07 PM,91.970,2.303,,,,
52,01/28/20 08:38:07 PM,91.960,2.303,,,,
53,01/28/20 08:48:07 PM,91.970,2.303,,,,
54,01/28/20 08:58:07 PM,91.970,2.303,,,,
55,01/28/20 09:08:07 PM,91.991,2.303,,,,
56,01/28/20 09:18:07 PM,91.991,2.303,,,,
57,01/28/20 09:28:07 PM,91.991,2.303,,,,
58,01/28/20 09:38:07 PM,91.991,2.303,,,,
59,01/28/20 09:48:07 PM,91.991,2.303,,,,
60,01/28/20 09:58:07 PM,92.001,2.303,,,,
61,01/28/20 10:08:07 PM,92.011,2.303,,,,
62,01/28/20 10:18:07 PM,92.021,2.303,,,,
63,01/28/20 10:28:07 PM,92.021,2.303,,,,
64,01/28/20 10:38:07 PM,92.021,2.303,,,,
65,01/28/20 10:48:07 PM,92.021,2.303,,,,
66,01/28/20 10:58:07 PM,92.011,2.303,,,,
67,01/28/20 11:08:07 PM,92.011,2.303,,,,
68,01/28/20 11:18:07 PM,92.011,2.303,,,,
69,01/28/20 11:28:07 PM,92.041,2.303,,,,
70,01/28/20 11:38:07 PM,92.031,2.303,,,,
71,01/28/20 11:48:07 PM,92.041,2.303,,,,
72,01/28/20 11:58:07 PM,92.041,2.303,,,,
73,01/29/20 12:08:07 AM,92.041,2.303,,,,
74,01/29/20 12:18:07 AM,92.051,2.303,,,,
75,01/29/20 12:28:07 AM,92.061,2.303,,,,
