"Plot Title: 42_2_s1"
"#","Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 20566220, SEN S/N: 20566220)","Water Level, meters (LGR S/N: 20566220)"
1,01/28/20 12:18:07 PM,91.614,0.000
2,01/28/20 12:28:07 PM,91.917,0.032
3,01/28/20 12:38:07 PM,91.831,0.023
4,01/28/20 12:48:07 PM,91.798,0.020
5,01/28/20 12:58:07 PM,91.775,0.019
6,01/28/20 01:08:07 PM,91.764,0.017
7,01/28/20 01:18:07 PM,91.753,0.017
8,01/28/20 01:28:07 PM,91.763,0.018
9,01/28/20 01:38:07 PM,91.783,0.018
10,01/28/20 01:48:07 PM,91.773,0.017
11,01/28/20 01:58:07 PM,91.773,0.017
12,01/28/20 02:08:07 PM,91.763,0.014
13,01/28/20 02:18:07 PM,91.763,0.013
14,01/28/20 02:28:07 PM,91.773,0.014
15,01/28/20 02:38:07 PM,91.783,0.015
16,01/28/20 02:48:07 PM,91.763,0.010
17,01/28/20 02:58:07 PM,91.783,0.012
18,01/28/20 03:08:07 PM,91.815,0.014
19,01/28/20 03:18:07 PM,91.794,0.010
20,01/28/20 03:28:07 PM,91.806,0.010
21,01/28/20 03:38:07 PM,91.785,0.007
22,01/28/20 03:48:07 PM,91.786,0.008
23,01/28/20 03:58:07 PM,91.796,0.010
24,01/28/20 04:08:07 PM,91.796,0.010
25,01/28/20 04:18:07 PM,91.818,0.011
26,01/28/20 04:28:07 PM,91.818,0.007
27,01/28/20 04:38:07 PM,91.808,0.007
28,01/28/20 04:48:07 PM,91.838,0.009
29,01/28/20 04:58:07 PM,91.828,0.008
30,01/28/20 05:08:07 PM,91.838,0.007
31,01/28/20 05:18:07 PM,91.848,0.006
32,01/28/20 05:28:07 PM,91.868,0.008
33,01/28/20 05:38:07 PM,91.878,0.008
34,01/28/20 05:48:07 PM,91.868,0.004
35,01/28/20 05:58:07 PM,91.878,0.005
36,01/28/20 06:08:07 PM,91.868,0.004
37,01/28/20 06:18:07 PM,91.878,0.004
38,01/28/20 06:28:07 PM,91.878,0.003
39,01/28/20 06:38:07 PM,91.889,0.002
40,01/28/20 06:48:07 PM,91.899,0.005
41,01/28/20 06:58:07 PM,91.909,0.004
42,01/28/20 07:08:07 PM,91.920,0.005
43,01/28/20 07:18:07 PM,91.910,0.003
44,01/28/20 07:28:07 PM,91.940,0.004
45,01/28/20 07:38:07 PM,91.960,0.006
46,01/28/20 07:48:07 PM,91.960,0.004
47,01/28/20 07:58:07 PM,91.970,0.004
48,01/28/20 08:08:07 PM,91.970,0.004
49,01/28/20 08:18:07 PM,91.981,0.004
50,01/28/20 08:28:07 PM,91.970,0.004
51,01/28/20 08:38:07 PM,91.960,0.001
52,01/28/20 08:48:07 PM,91.970,0.001
53,01/28/20 08:58:07 PM,91.970,0.002
54,01/28/20 09:08:07 PM,91.991,0.004
55,01/28/20 09:18:07 PM,91.991,0.002
56,01/28/20 09:28:07 PM,91.991,0.003
57,01/28/20 09:38:07 PM,91.991,0.000
58,01/28/20 09:48:07 PM,91.991,-0.001
59,01/28/20 09:58:07 PM,92.001,-0.000
60,01/28/20 10:08:07 PM,92.011,-0.001
61,01/28/20 10:18:07 PM,92.021,-0.000
62,01/28/20 10:28:07 PM,92.021,0.002
63,01/28/20 10:38:07 PM,92.021,0.002
64,01/28/20 10:48:07 PM,92.021,0.003
65,01/28/20 10:58:07 PM,92.011,0.002
66,01/28/20 11:08:07 PM,92.011,0.001
67,01/28/20 11:18:07 PM,92.011,-0.000
68,01/28/20 11:28:07 PM,92.041,0.002
69,01/28/20 11:38:07 PM,92.031,-0.001
70,01/28/20 11:48:07 PM,92.041,0.000
71,01/28/20 11:58:07 PM,92.041,-0.001
72,01/29/20 12:08:07 AM,92.041,-0.001
73,01/29/20 12:18:07 AM,92.051,-0.000
74,01/29/20 12:28:07 AM,92.061,0.001
75,01/29/20 12:38:07 AM,92.051,-0.001
76,01/29/20 12:48:07 AM,92.051,-0.000
77,01/29/20 12:58:07 AM,92.041,-0.001
78,01/29/20 01:08:07 AM,92.041,0.000
79,01/29/20 01:18:07 AM,92.041,-0.003
80,01/29/20 01:28:07 AM,92.072,0.001
81,01/29/20 01:38:07 AM,92.051,-0.001
82,01/29/20 01:48:07 AM,92.061,-0.001
83,01/29/20 01:58:07 AM,92.072,-0.001
84,01/29/20 02:08:07 AM,92.082,-0.001
85,01/29/20 02:18:07 AM,92.072,-0.001
86,01/29/20 02:28:07 AM,92.051,-0.003
87,01/29/20 02:38:07 AM,92.072,-0.001
88,01/29/20 02:48:07 AM,92.051,-0.004
89,01/29/20 02:58:07 AM,92.050,-0.004
90,01/29/20 03:08:07 AM,92.061,-0.002
91,01/29/20 03:18:07 AM,92.061,-0.003
92,01/29/20 03:28:07 AM,92.050,-0.003
