"Plot Title: 52.4.s2"
"#","Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 10075389, SEN S/N: 10075389, LBL: pressure)","Temp, °C (LGR S/N: 10075389, SEN S/N: 10075389, LBL: temp)","Coupler Detached (LGR S/N: 10075389, SEN S/N: 10075389)","Coupler Attached (LGR S/N: 10075389, SEN S/N: 10075389)","Host Connected (LGR S/N: 10075389, SEN S/N: 10075389)","End Of File (LGR S/N: 10075389, SEN S/N: 10075389)"
1,01/28/20 03:16:09 PM,97.597,24.641,,,,
2,01/28/20 03:16:16 PM,,,Logged,,,
3,01/28/20 03:26:09 PM,97.640,22.333,,,,
4,01/28/20 03:36:09 PM,97.646,20.901,,,,
5,01/28/20 03:46:09 PM,97.638,20.043,,,,
6,01/28/20 03:56:09 PM,97.643,19.662,,,,
7,01/28/20 04:02:16 PM,,,,Logged,,
8,01/28/20 04:02:20 PM,,,,,Logged,
9,01/28/20 04:02:28 PM,,,,,Logged,
10,01/28/20 04:02:33 PM,,,,,Logged,
11,01/28/20 04:02:38 PM,,,,,Logged,
12,01/28/20 04:02:46 PM,,,,,Logged,
13,01/28/20 04:02:51 PM,,,,,Logged,
14,01/28/20 04:02:56 PM,,,,,Logged,
15,01/28/20 04:03:01 PM,,,,,Logged,
16,01/28/20 04:03:11 PM,,,,,Logged,
17,01/28/20 04:03:16 PM,,,,,Logged,
18,01/28/20 04:03:21 PM,,,,,Logged,
19,01/28/20 04:03:28 PM,,,,,Logged,
20,01/28/20 04:03:47 PM,,,,,Logged,
21,01/28/20 04:04:06 PM,,,,,Logged,
22,01/28/20 04:04:48 PM,,,Logged,,,
23,01/28/20 04:04:51 PM,,,,Logged,Logged,
24,01/28/20 04:06:06 PM,,,Logged,,,
25,01/28/20 04:06:09 PM,97.754,22.525,,,,
26,01/28/20 04:16:09 PM,97.660,21.378,,,,
27,01/28/20 04:26:09 PM,97.682,19.948,,,,
28,01/28/20 04:36:09 PM,97.703,18.996,,,,
29,01/28/20 04:46:09 PM,97.713,18.236,,,,
30,01/28/20 04:56:09 PM,97.819,16.999,,,,
31,01/28/20 05:06:09 PM,97.835,16.427,,,,
32,01/28/20 05:16:09 PM,97.845,16.237,,,,
33,01/28/20 05:26:09 PM,98.674,15.951,,,,
34,01/28/20 05:36:09 PM,98.091,15.569,,,,
35,01/28/20 05:46:09 PM,97.611,15.569,,,,
36,01/28/20 05:56:09 PM,97.616,15.760,,,,
37,01/28/20 06:06:09 PM,97.610,16.141,,,,
38,01/28/20 06:16:09 PM,97.623,16.618,,,,
39,01/28/20 06:26:09 PM,97.636,17.094,,,,
40,01/28/20 06:36:09 PM,97.651,17.665,,,,
41,01/28/20 06:46:09 PM,97.648,18.140,,,,
42,01/28/20 06:56:09 PM,97.659,18.521,,,,
43,01/28/20 07:06:09 PM,97.687,18.996,,,,
44,01/28/20 07:16:09 PM,97.666,19.377,,,,
45,01/28/20 07:26:09 PM,97.690,19.662,,,,
46,01/28/20 07:36:09 PM,97.713,19.948,,,,
47,01/28/20 07:46:09 PM,97.721,20.234,,,,
48,01/28/20 07:56:09 PM,97.742,20.424,,,,
49,01/28/20 08:06:09 PM,97.716,20.615,,,,
50,01/28/20 08:16:09 PM,97.721,20.805,,,,
51,01/28/20 08:26:09 PM,97.755,20.901,,,,
52,01/28/20 08:36:09 PM,97.758,20.996,,,,
53,01/28/20 08:46:09 PM,97.776,21.091,,,,
54,01/28/20 08:56:09 PM,97.763,21.187,,,,
55,01/28/20 09:06:09 PM,97.781,21.282,,,,
56,01/28/20 09:16:09 PM,97.781,21.282,,,,
57,01/28/20 09:26:09 PM,97.784,21.378,,,,
58,01/28/20 09:36:09 PM,97.784,21.378,,,,
59,01/28/20 09:46:09 PM,97.802,21.473,,,,
60,01/28/20 09:56:09 PM,97.802,21.473,,,,
61,01/28/20 10:06:09 PM,97.817,21.473,,,,
62,01/28/20 10:16:09 PM,97.833,21.473,,,,
63,01/28/20 10:26:09 PM,97.802,21.473,,,,
64,01/28/20 10:36:09 PM,97.815,21.378,,,,
65,01/28/20 10:46:09 PM,97.815,21.378,,,,
66,01/28/20 10:56:09 PM,97.815,21.378,,,,
67,01/28/20 11:06:09 PM,97.830,21.378,,,,
68,01/28/20 11:16:09 PM,97.830,21.378,,,,
69,01/28/20 11:26:09 PM,97.830,21.378,,,,
70,01/28/20 11:36:09 PM,97.846,21.378,,,,
71,01/28/20 11:46:09 PM,97.846,21.378,,,,
72,01/28/20 11:56:09 PM,97.861,21.378,,,,
73,01/29/20 12:06:09 AM,97.846,21.378,,,,
74,01/29/20 12:16:09 AM,97.861,21.378,,,,
75,01/29/20 12:26:09 AM,97.877,21.378,,,,
76,01/29/20 12:36:09 AM,97.861,21.378,,,,
77,01/29/20 12:46:09 AM,97.877,21.378,,,,
78,01/29/20 12:56:09 AM,97.877,21.378,,,,
79,01/29/20 01:06:09 AM,97.890,21.282,,,,
80,01/29/20 01:16:09 AM,97.874,21.282,,,,
81,01/29/20 01:26:09 AM,97.890,21.282,,,,
82,01/29/20 01:36:09 AM,97.890,21.282,,,,
83,01/29/20 01:46:09 AM,97.921,21.282,,,,
84,01/29/20 01:56:09 AM,97.918,21.187,,,,
85,01/29/20 02:06:09 AM,97.902,21.187,,,,
86,01/29/20 02:16:09 AM,97.918,21.187,,,,
87,01/29/20 02:26:09 AM,97.931,21.091,,,,
88,01/29/20 02:36:09 AM,97.931,21.091,,,,
89,01/29/20 02:46:09 AM,97.928,20.996,,,,
90,01/29/20 02:56:09 AM,97.913,20.996,,,,
91,01/29/20 03:06:09 AM,97.928,20.996,,,,
92,01/29/20 03:16:09 AM,97.913,20.996,,,,
93,01/29/20 03:26:09 AM,97.925,20.901,,,,
94,01/29/20 03:36:09 AM,97.941,20.901,,,,
95,01/29/20 03:46:09 AM,97.925,20.901,,,,
96,01/29/20 03:56:09 AM,97.925,20.901,,,,
97,01/29/20 04:06:09 AM,97.941,20.901,,,,
98,01/29/20 04:16:09 AM,97.954,20.805,,,,
99,01/29/20 04:26:09 AM,97.954,20.805,,,,
100,01/29/20 04:36:09 AM,97.985,20.805,,,,
101,01/29/20 04:46:09 AM,97.985,20.805,,,,
102,01/29/20 04:56:09 AM,97.982,20.710,,,,
103,01/29/20 05:06:09 AM,97.982,20.710,,,,
104,01/29/20 05:16:09 AM,97.967,20.710,,,,
105,01/29/20 05:26:09 AM,97.995,20.615,,,,
106,01/29/20 05:36:09 AM,98.011,20.615,,,,
107,01/29/20 05:46:09 AM,98.011,20.615,,,,
108,01/29/20 05:56:09 AM,98.026,20.615,,,,
109,01/29/20 06:06:09 AM,98.054,20.519,,,,
110,01/29/20 06:16:09 AM,98.070,20.519,,,,
111,01/29/20 06:26:09 AM,98.101,20.519,,,,
112,01/29/20 06:36:09 AM,98.117,20.519,,,,
113,01/29/20 06:46:09 AM,98.132,20.519,,,,
114,01/29/20 06:56:09 AM,98.145,20.424,,,,
115,01/29/20 07:06:09 AM,98.160,20.424,,,,
116,01/29/20 07:16:09 AM,98.176,20.424,,,,
117,01/29/20 07:26:09 AM,98.163,20.519,,,,
118,01/29/20 07:36:09 AM,98.197,20.615,,,,
119,01/29/20 07:46:09 AM,98.199,20.710,,,,
120,01/29/20 07:56:09 AM,99.349,19.662,,,,
121,01/29/20 08:06:09 AM,98.524,18.426,,,,
122,01/29/20 08:16:09 AM,98.511,17.379,,,,
123,01/29/20 08:21:45 AM,,,,Logged,,
124,01/29/20 08:21:46 AM,,,Logged,,,
125,01/29/20 08:26:09 AM,98.533,14.134,,,,
126,01/29/20 08:36:09 AM,96.677,12.980,,,,
127,01/29/20 08:46:09 AM,94.548,10.651,,,,
128,01/29/20 08:56:09 AM,93.709,8.481,,,,
129,01/29/20 09:06:09 AM,94.012,4.207,,,,
130,01/29/20 09:16:09 AM,93.851,1.112,,,,
131,01/29/20 09:19:07 AM,,,,Logged,,
132,01/29/20 09:19:08 AM,,,Logged,,,
133,01/29/20 09:26:09 AM,93.360,12.594,,,,
134,01/29/20 09:36:09 AM,93.393,12.690,,,,
135,01/29/20 09:46:09 AM,93.544,13.173,,,,
136,01/29/20 09:56:09 AM,97.147,5.037,,,,
137,01/29/20 10:06:09 AM,97.161,4.311,,,,
138,01/29/20 10:16:09 AM,97.157,4.102,,,,
139,01/29/20 10:26:09 AM,97.141,4.102,,,,
140,01/29/20 10:36:09 AM,97.154,3.998,,,,
141,01/29/20 10:46:09 AM,97.170,3.998,,,,
142,01/29/20 10:56:09 AM,97.200,3.998,,,,
143,01/29/20 11:06:09 AM,97.170,3.998,,,,
144,01/29/20 11:16:09 AM,97.170,3.998,,,,
145,01/29/20 11:26:09 AM,97.170,3.998,,,,
146,01/29/20 11:36:09 AM,97.154,3.998,,,,
147,01/29/20 11:46:09 AM,97.154,3.998,,,,
148,01/29/20 11:56:09 AM,97.152,3.893,,,,
149,01/29/20 12:06:09 PM,97.136,3.893,,,,
150,01/29/20 12:16:09 PM,97.152,3.893,,,,
151,01/29/20 12:26:09 PM,97.152,3.893,,,,
152,01/29/20 12:36:09 PM,97.152,3.893,,,,
153,01/29/20 12:46:09 PM,97.136,3.893,,,,
154,01/29/20 12:56:09 PM,97.152,3.893,,,,
155,01/29/20 01:06:09 PM,97.152,3.893,,,,
156,01/29/20 01:16:09 PM,97.136,3.893,,,,
157,01/29/20 01:26:09 PM,97.136,3.893,,,,
158,01/29/20 01:36:09 PM,97.136,3.893,,,,
159,01/29/20 01:46:09 PM,97.152,3.893,,,,
160,01/29/20 01:56:09 PM,97.152,3.893,,,,
161,01/29/20 02:06:09 PM,97.167,3.893,,,,
162,01/29/20 02:16:09 PM,97.183,3.893,,,,
163,01/29/20 02:26:09 PM,97.198,3.893,,,,
164,01/29/20 02:36:09 PM,97.167,3.893,,,,
165,01/29/20 02:46:09 PM,97.183,3.893,,,,
166,01/29/20 02:56:09 PM,97.198,3.893,,,,
167,01/29/20 03:06:09 PM,97.213,3.893,,,,
168,01/29/20 03:16:09 PM,97.213,3.893,,,,
169,01/29/20 03:26:09 PM,97.229,3.893,,,,
170,01/29/20 03:36:09 PM,97.229,3.893,,,,
171,01/29/20 03:46:09 PM,97.260,3.893,,,,
172,01/29/20 03:56:09 PM,97.260,3.893,,,,
173,01/29/20 04:06:09 PM,97.260,3.893,,,,
174,01/29/20 04:16:09 PM,97.291,3.893,,,,
175,01/29/20 04:26:09 PM,97.275,3.893,,,,
176,01/29/20 04:36:09 PM,97.275,3.893,,,,
177,01/29/20 04:46:09 PM,97.275,3.893,,,,
178,01/29/20 04:56:09 PM,97.291,3.893,,,,
179,01/29/20 05:06:09 PM,97.306,3.893,,,,
180,01/29/20 05:16:09 PM,97.306,3.893,,,,
181,01/29/20 05:26:09 PM,97.306,3.893,,,,
182,01/29/20 05:36:09 PM,97.322,3.893,,,,
183,01/29/20 05:46:09 PM,97.322,3.893,,,,
184,01/29/20 05:56:09 PM,97.306,3.893,,,,
185,01/29/20 06:06:09 PM,97.337,3.893,,,,
186,01/29/20 06:16:09 PM,97.337,3.893,,,,
187,01/29/20 06:26:09 PM,97.352,3.893,,,,
188,01/29/20 06:36:09 PM,97.352,3.893,,,,
189,01/29/20 06:46:09 PM,97.368,3.893,,,,
190,01/29/20 06:56:09 PM,97.368,3.893,,,,
191,01/29/20 07:06:09 PM,97.414,3.893,,,,
192,01/29/20 07:16:09 PM,97.414,3.893,,,,
193,01/29/20 07:26:09 PM,97.430,3.893,,,,
194,01/29/20 07:36:09 PM,97.445,3.893,,,,
195,01/29/20 07:46:09 PM,97.461,3.893,,,,
196,01/29/20 07:56:09 PM,97.461,3.893,,,,
197,01/29/20 08:06:09 PM,97.476,3.893,,,,
198,01/29/20 08:16:09 PM,97.476,3.893,,,,
199,01/29/20 08:26:09 PM,97.507,3.893,,,,
200,01/29/20 08:36:09 PM,97.522,3.893,,,,
201,01/29/20 08:46:09 PM,97.538,3.893,,,,
202,01/29/20 08:56:09 PM,97.538,3.893,,,,
203,01/29/20 09:06:09 PM,97.553,3.893,,,,
204,01/29/20 09:16:09 PM,97.553,3.893,,,,
205,01/29/20 09:26:09 PM,97.553,3.893,,,,
206,01/29/20 09:36:09 PM,97.553,3.893,,,,
207,01/29/20 09:46:09 PM,97.553,3.893,,,,
208,01/29/20 09:56:09 PM,97.584,3.893,,,,
209,01/29/20 10:06:09 PM,97.569,3.893,,,,
210,01/29/20 10:16:09 PM,97.584,3.893,,,,
