"Plot Title: 52_4_d3"
"#","Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 20642911, SEN S/N: 20642911)","Temp, °C (LGR S/N: 20642911, SEN S/N: 20642911)","Coupler Detached (LGR S/N: 20642911, SEN S/N: 20642911)","Coupler Attached (LGR S/N: 20642911, SEN S/N: 20642911)","Host Connected (LGR S/N: 20642911, SEN S/N: 20642911)","End Of File (LGR S/N: 20642911, SEN S/N: 20642911)"
1,01/28/20 11:59:45 AM,92.495,3.578,,,,
2,01/28/20 11:59:55 AM,,,Logged,,,
3,01/28/20 12:09:45 PM,96.765,3.893,,,,
4,01/28/20 12:19:45 PM,96.746,3.998,,,,
5,01/28/20 12:29:45 PM,96.746,3.998,,,,
6,01/28/20 12:39:45 PM,96.746,3.998,,,,
7,01/28/20 12:49:45 PM,96.748,4.102,,,,
8,01/28/20 12:59:45 PM,96.726,4.102,,,,
9,01/28/20 01:09:45 PM,96.737,4.102,,,,
10,01/28/20 01:19:45 PM,96.726,4.102,,,,
11,01/28/20 01:29:45 PM,96.726,4.102,,,,
12,01/28/20 01:39:45 PM,96.737,4.102,,,,
13,01/28/20 01:49:45 PM,96.737,4.102,,,,
14,01/28/20 01:59:45 PM,96.748,4.102,,,,
15,01/28/20 02:09:45 PM,96.726,4.102,,,,
16,01/28/20 02:19:45 PM,96.758,4.102,,,,
17,01/28/20 02:29:45 PM,96.769,4.102,,,,
18,01/28/20 02:39:45 PM,96.769,4.102,,,,
19,01/28/20 02:49:45 PM,96.780,4.102,,,,
20,01/28/20 02:59:45 PM,96.769,4.102,,,,
21,01/28/20 03:09:45 PM,96.812,4.102,,,,
22,01/28/20 03:19:45 PM,96.812,4.102,,,,
23,01/28/20 03:29:45 PM,96.812,4.102,,,,
24,01/28/20 03:39:45 PM,96.822,4.102,,,,
25,01/28/20 03:49:45 PM,96.822,4.102,,,,
26,01/28/20 03:59:45 PM,96.833,4.102,,,,
27,01/28/20 04:09:45 PM,96.833,4.102,,,,
