"Plot Title: 52_4_s3"
"#","Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 9924998, SEN S/N: 9924998, LBL: Pressure)","Temp, °C (LGR S/N: 9924998, SEN S/N: 9924998, LBL: Temp)","Coupler Detached (LGR S/N: 9924998, SEN S/N: 9924998)","Coupler Attached (LGR S/N: 9924998, SEN S/N: 9924998)","Host Connected (LGR S/N: 9924998, SEN S/N: 9924998)","End Of File (LGR S/N: 9924998, SEN S/N: 9924998)"
1,01/29/20 09:15:13 AM,93.388,11.528,,,,
2,01/29/20 09:15:19 AM,,,Logged,,,
3,01/29/20 09:25:13 AM,96.445,4.831,,,,
4,01/29/20 09:35:13 AM,96.434,4.415,,,,
5,01/29/20 09:45:13 AM,96.431,4.311,,,,
6,01/29/20 09:55:13 AM,96.431,4.311,,,,
7,01/29/20 10:05:13 AM,96.412,4.207,,,,
8,01/29/20 10:15:13 AM,96.445,4.207,,,,
9,01/29/20 10:25:13 AM,96.445,4.207,,,,
10,01/29/20 10:35:13 AM,96.429,4.207,,,,
11,01/29/20 10:45:13 AM,96.445,4.207,,,,
12,01/29/20 10:55:13 AM,96.445,4.207,,,,
13,01/29/20 11:05:13 AM,96.462,4.207,,,,
14,01/29/20 11:15:13 AM,96.445,4.207,,,,
15,01/29/20 11:25:13 AM,96.478,4.207,,,,
16,01/29/20 11:35:13 AM,96.462,4.207,,,,
17,01/29/20 11:45:13 AM,96.478,4.207,,,,
18,01/29/20 11:55:13 AM,96.445,4.207,,,,
19,01/29/20 12:05:13 PM,96.462,4.207,,,,
20,01/29/20 12:15:13 PM,96.445,4.207,,,,
21,01/29/20 12:25:13 PM,96.445,4.207,,,,
22,01/29/20 12:35:13 PM,96.445,4.207,,,,
23,01/29/20 12:45:13 PM,96.462,4.207,,,,
24,01/29/20 12:55:13 PM,96.429,4.207,,,,
25,01/29/20 01:05:13 PM,96.429,4.207,,,,
26,01/29/20 01:15:13 PM,96.445,4.207,,,,
27,01/29/20 01:25:13 PM,96.445,4.207,,,,
28,01/29/20 01:35:13 PM,96.412,4.207,,,,
29,01/29/20 01:45:13 PM,96.445,4.207,,,,
30,01/29/20 01:55:13 PM,96.462,4.207,,,,
31,01/29/20 02:05:13 PM,96.478,4.207,,,,
32,01/29/20 02:15:13 PM,96.478,4.207,,,,
33,01/29/20 02:25:13 PM,96.495,4.207,,,,
34,01/29/20 02:35:13 PM,96.495,4.207,,,,
35,01/29/20 02:45:13 PM,96.478,4.207,,,,
36,01/29/20 02:55:13 PM,96.512,4.207,,,,
37,01/29/20 03:05:13 PM,96.512,4.207,,,,
38,01/29/20 03:15:13 PM,96.528,4.207,,,,
39,01/29/20 03:25:13 PM,96.528,4.207,,,,
40,01/29/20 03:35:13 PM,96.545,4.207,,,,
41,01/29/20 03:45:13 PM,96.578,4.207,,,,
42,01/29/20 03:55:13 PM,96.578,4.207,,,,
43,01/29/20 04:05:13 PM,96.578,4.207,,,,
44,01/29/20 04:15:13 PM,96.595,4.207,,,,
45,01/29/20 04:25:13 PM,96.578,4.207,,,,
46,01/29/20 04:35:13 PM,96.578,4.207,,,,
47,01/29/20 04:45:13 PM,96.595,4.207,,,,
48,01/29/20 04:55:13 PM,96.611,4.207,,,,
49,01/29/20 05:05:13 PM,96.611,4.207,,,,
50,01/29/20 05:15:13 PM,96.611,4.207,,,,
51,01/29/20 05:25:13 PM,96.611,4.207,,,,
52,01/29/20 05:35:13 PM,96.625,4.102,,,,
53,01/29/20 05:45:13 PM,96.611,4.207,,,,
54,01/29/20 05:55:13 PM,96.608,4.102,,,,
55,01/29/20 06:05:13 PM,96.611,4.207,,,,
56,01/29/20 06:15:13 PM,96.625,4.102,,,,
57,01/29/20 06:25:13 PM,96.625,4.102,,,,
58,01/29/20 06:35:13 PM,96.642,4.102,,,,
59,01/29/20 06:45:13 PM,96.642,4.102,,,,
60,01/29/20 06:55:13 PM,96.675,4.102,,,,
61,01/29/20 07:05:13 PM,96.694,4.207,,,,
62,01/29/20 07:15:13 PM,96.708,4.102,,,,
63,01/29/20 07:25:13 PM,96.708,4.102,,,,
64,01/29/20 07:35:13 PM,96.727,4.207,,,,
65,01/29/20 07:45:13 PM,96.727,4.207,,,,
66,01/29/20 07:55:13 PM,96.741,4.102,,,,
67,01/29/20 08:05:13 PM,96.758,4.102,,,,
68,01/29/20 08:15:13 PM,96.777,4.207,,,,
69,01/29/20 08:25:13 PM,96.791,4.102,,,,
70,01/29/20 08:35:13 PM,96.794,4.207,,,,
71,01/29/20 08:45:13 PM,96.824,4.102,,,,
72,01/29/20 08:55:13 PM,96.824,4.102,,,,
73,01/29/20 09:05:13 PM,96.808,4.102,,,,
74,01/29/20 09:15:13 PM,96.827,4.207,,,,
75,01/29/20 09:25:13 PM,96.824,4.102,,,,
76,01/29/20 09:35:13 PM,96.841,4.102,,,,
77,01/29/20 09:45:13 PM,96.841,4.102,,,,
78,01/29/20 09:55:13 PM,96.857,4.102,,,,
79,01/29/20 10:05:13 PM,96.857,4.102,,,,
80,01/29/20 10:15:13 PM,96.857,4.102,,,,
81,01/29/20 10:25:13 PM,96.857,4.102,,,,
82,01/29/20 10:35:13 PM,96.857,4.102,,,,
83,01/29/20 10:45:13 PM,96.874,4.102,,,,
84,01/29/20 10:55:13 PM,96.891,4.102,,,,
85,01/29/20 11:05:13 PM,96.891,4.102,,,,
86,01/29/20 11:15:13 PM,96.891,4.102,,,,
87,01/29/20 11:25:13 PM,96.907,4.102,,,,
88,01/29/20 11:35:13 PM,96.891,4.102,,,,
89,01/29/20 11:45:13 PM,96.891,4.102,,,,
90,01/29/20 11:55:13 PM,96.891,4.102,,,,
91,01/30/20 12:05:13 AM,96.924,4.102,,,,
92,01/30/20 12:15:13 AM,96.907,4.102,,,,
93,01/30/20 12:25:13 AM,96.907,4.102,,,,
94,01/30/20 12:35:13 AM,96.907,4.102,,,,
95,01/30/20 12:45:13 AM,96.907,4.102,,,,
96,01/30/20 12:55:13 AM,96.924,4.102,,,,
97,01/30/20 01:05:13 AM,96.940,4.102,,,,
98,01/30/20 01:15:13 AM,96.940,4.102,,,,
99,01/30/20 01:25:13 AM,96.957,4.102,,,,
100,01/30/20 01:35:13 AM,96.957,4.102,,,,
101,01/30/20 01:45:13 AM,96.957,4.102,,,,
102,01/30/20 01:55:13 AM,96.957,4.102,,,,
103,01/30/20 02:05:13 AM,96.974,4.102,,,,
104,01/30/20 02:15:13 AM,96.957,4.102,,,,
105,01/30/20 02:25:13 AM,96.974,4.102,,,,
106,01/30/20 02:35:13 AM,96.974,4.102,,,,
107,01/30/20 02:45:13 AM,96.974,4.102,,,,
108,01/30/20 02:55:13 AM,96.974,4.102,,,,
109,01/30/20 03:05:13 AM,96.974,4.102,,,,
110,01/30/20 03:15:13 AM,96.974,4.102,,,,
111,01/30/20 03:25:13 AM,96.974,4.102,,,,
112,01/30/20 03:35:13 AM,96.974,4.102,,,,
113,01/30/20 03:45:13 AM,96.974,4.102,,,,
114,01/30/20 03:55:13 AM,96.957,4.102,,,,
115,01/30/20 04:05:13 AM,96.974,4.102,,,,
116,01/30/20 04:15:13 AM,96.957,4.102,,,,
117,01/30/20 04:25:13 AM,96.974,4.102,,,,
118,01/30/20 04:35:13 AM,96.990,4.102,,,,
119,01/30/20 04:45:13 AM,96.990,4.102,,,,
120,01/30/20 04:55:13 AM,97.007,4.102,,,,
121,01/30/20 05:05:13 AM,97.007,4.102,,,,
122,01/30/20 05:15:13 AM,96.990,4.102,,,,
123,01/30/20 05:25:13 AM,97.007,4.102,,,,
124,01/30/20 05:35:13 AM,97.023,4.102,,,,
125,01/30/20 05:45:13 AM,97.040,4.102,,,,
126,01/30/20 05:55:13 AM,97.040,4.102,,,,
127,01/30/20 06:05:13 AM,97.040,4.102,,,,
128,01/30/20 06:15:13 AM,97.057,4.102,,,,
129,01/30/20 06:25:13 AM,97.057,4.102,,,,
130,01/30/20 06:35:13 AM,97.073,4.102,,,,
131,01/30/20 06:45:13 AM,97.073,4.102,,,,
132,01/30/20 06:55:13 AM,97.090,4.102,,,,
133,01/30/20 07:05:13 AM,97.106,4.102,,,,
134,01/30/20 07:15:13 AM,97.123,4.102,,,,
135,01/30/20 07:25:13 AM,97.106,4.102,,,,
136,01/30/20 07:35:13 AM,97.123,4.102,,,,
137,01/30/20 07:45:13 AM,97.123,4.102,,,,
138,01/30/20 07:55:13 AM,97.123,4.102,,,,
139,01/30/20 08:05:13 AM,97.123,4.102,,,,
140,01/30/20 08:15:13 AM,97.140,4.102,,,,
141,01/30/20 08:25:13 AM,97.140,4.102,,,,
142,01/30/20 08:35:13 AM,97.156,4.102,,,,
143,01/30/20 08:45:13 AM,97.140,4.102,,,,
144,01/30/20 08:55:13 AM,97.140,4.102,,,,
145,01/30/20 09:05:13 AM,97.140,4.102,,,,
146,01/30/20 09:15:13 AM,97.156,4.102,,,,
147,01/30/20 09:25:13 AM,97.156,4.102,,,,
148,01/30/20 09:35:13 AM,97.173,4.102,,,,
149,01/30/20 09:45:13 AM,97.189,4.102,,,,
150,01/30/20 09:55:13 AM,97.173,4.102,,,,
151,01/30/20 10:05:13 AM,97.189,4.102,,,,
152,01/30/20 10:15:13 AM,97.189,4.102,,,,
153,01/30/20 10:25:13 AM,97.206,4.102,,,,
154,01/30/20 10:35:13 AM,97.223,4.102,,,,
155,01/30/20 10:45:13 AM,97.223,4.102,,,,
156,01/30/20 10:55:13 AM,97.223,4.102,,,,
157,01/30/20 11:05:13 AM,97.206,4.102,,,,
158,01/30/20 11:15:13 AM,97.223,4.102,,,,
159,01/30/20 11:25:13 AM,97.206,4.102,,,,
160,01/30/20 11:35:13 AM,97.206,4.102,,,,
161,01/30/20 11:45:13 AM,97.189,4.102,,,,
162,01/30/20 11:55:13 AM,97.189,4.102,,,,
163,01/30/20 12:05:13 PM,97.173,4.102,,,,
164,01/30/20 12:15:13 PM,97.173,4.102,,,,
165,01/30/20 12:25:13 PM,97.189,4.102,,,,
166,01/30/20 12:35:13 PM,97.156,4.102,,,,
167,01/30/20 12:45:13 PM,97.156,4.102,,,,
168,01/30/20 12:55:13 PM,97.173,4.102,,,,
