"Plot Title: 86.3.s2"
"#","Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 10766687, SEN S/N: 10766687, LBL: pressure)","Temp, °C (LGR S/N: 10766687, SEN S/N: 10766687, LBL: temperature)","Coupler Detached (LGR S/N: 10766687, SEN S/N: 10766687)","Coupler Attached (LGR S/N: 10766687, SEN S/N: 10766687)","Host Connected (LGR S/N: 10766687, SEN S/N: 10766687)","End Of File (LGR S/N: 10766687, SEN S/N: 10766687)"
1,01/28/20 09:43:43 AM,93.259,1.764,,,,
2,01/28/20 09:43:51 AM,,,Logged,,,
3,01/28/20 09:53:43 AM,94.021,0.232,,,,
4,01/28/20 10:03:43 AM,94.038,0.121,,,,
5,01/28/20 10:13:43 AM,94.038,0.121,,,,
6,01/28/20 10:23:43 AM,94.021,0.232,,,,
7,01/28/20 10:33:43 AM,94.014,0.343,,,,
8,01/28/20 10:43:43 AM,94.029,0.453,,,,
9,01/28/20 10:53:43 AM,94.027,0.674,,,,
10,01/28/20 11:03:43 AM,94.020,0.784,,,,
11,01/28/20 11:13:43 AM,94.011,1.112,,,,
12,01/28/20 11:23:43 AM,94.009,1.330,,,,
13,01/28/20 11:33:43 AM,93.995,1.548,,,,
14,01/28/20 11:43:43 AM,94.004,1.764,,,,
15,01/28/20 11:53:43 AM,93.986,1.872,,,,
16,01/28/20 12:03:43 PM,93.994,2.088,,,,
17,01/28/20 12:13:43 PM,93.981,2.303,,,,
18,01/28/20 12:23:43 PM,93.993,2.624,,,,
19,01/28/20 12:33:43 PM,93.986,2.730,,,,
20,01/28/20 12:43:43 PM,93.994,2.943,,,,
21,01/28/20 12:53:43 PM,93.988,3.049,,,,
22,01/28/20 01:03:43 PM,94.002,3.155,,,,
23,01/28/20 01:13:43 PM,93.970,3.155,,,,
24,01/28/20 01:23:43 PM,93.996,3.261,,,,
25,01/28/20 01:33:43 PM,93.985,3.261,,,,
26,01/28/20 01:43:43 PM,93.985,3.261,,,,
27,01/28/20 01:53:43 PM,94.000,3.367,,,,
28,01/28/20 02:03:43 PM,94.010,3.367,,,,
29,01/28/20 02:13:43 PM,94.010,3.367,,,,
30,01/28/20 02:23:43 PM,94.010,3.367,,,,
31,01/28/20 02:33:43 PM,94.032,3.367,,,,
32,01/28/20 02:43:43 PM,94.021,3.367,,,,
33,01/28/20 02:53:43 PM,94.047,3.472,,,,
34,01/28/20 03:03:43 PM,94.058,3.472,,,,
35,01/28/20 03:13:43 PM,94.068,3.472,,,,
36,01/28/20 03:23:43 PM,94.079,3.472,,,,
37,01/28/20 03:33:43 PM,94.079,3.472,,,,
38,01/28/20 03:43:43 PM,94.079,3.472,,,,
39,01/28/20 03:53:43 PM,94.090,3.472,,,,
40,01/28/20 04:03:43 PM,94.101,3.472,,,,
41,01/28/20 04:13:43 PM,94.112,3.472,,,,
42,01/28/20 04:23:43 PM,94.101,3.472,,,,
43,01/28/20 04:33:43 PM,94.112,3.472,,,,
44,01/28/20 04:43:43 PM,94.133,3.472,,,,
45,01/28/20 04:53:43 PM,94.144,3.472,,,,
46,01/28/20 05:03:43 PM,94.144,3.472,,,,
47,01/28/20 05:13:43 PM,94.166,3.472,,,,
