"Plot Title: Barometric"
"#","Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 10710509, SEN S/N: 10710509)","Temp, °C (LGR S/N: 10710509, SEN S/N: 10710509)","Coupler Detached (LGR S/N: 10710509, SEN S/N: 10710509)","Coupler Attached (LGR S/N: 10710509, SEN S/N: 10710509)","Host Connected (LGR S/N: 10710509, SEN S/N: 10710509)","End Of File (LGR S/N: 10710509, SEN S/N: 10710509)"
1,01/28/20 10:19:48 AM,93.346,0.010,,,,
2,01/28/20 10:20:07 AM,,,Logged,,,
3,01/28/20 10:29:48 AM,93.288,0.121,,,,
4,01/28/20 10:39:48 AM,93.281,-0.662,,,,
5,01/28/20 10:49:48 AM,93.285,-1.114,,,,
6,01/28/20 10:59:48 AM,93.273,-1.456,,,,
7,01/28/20 11:09:48 AM,93.296,-1.684,,,,
8,01/28/20 11:19:48 AM,93.267,-1.914,,,,
9,01/28/20 11:29:48 AM,93.259,-2.145,,,,
10,01/28/20 11:39:48 AM,93.255,-2.261,,,,
11,01/28/20 11:49:48 AM,93.261,-2.377,,,,
12,01/28/20 11:59:48 AM,93.247,-2.494,,,,
13,01/28/20 12:09:48 PM,93.226,-2.494,,,,
14,01/28/20 12:19:48 PM,93.222,-2.610,,,,
15,01/28/20 12:29:48 PM,93.212,-2.610,,,,
16,01/28/20 12:39:48 PM,93.218,-2.727,,,,
17,01/28/20 12:49:48 PM,93.208,-2.727,,,,
18,01/28/20 12:59:48 PM,93.197,-2.727,,,,
19,01/28/20 01:09:48 PM,93.208,-2.727,,,,
20,01/28/20 01:19:48 PM,93.193,-2.844,,,,
21,01/28/20 01:29:48 PM,93.193,-2.844,,,,
22,01/28/20 01:39:48 PM,93.214,-2.844,,,,
23,01/28/20 01:49:48 PM,93.220,-2.962,,,,
24,01/28/20 01:59:48 PM,93.209,-2.962,,,,
25,01/28/20 02:09:48 PM,93.240,-2.962,,,,
26,01/28/20 02:19:48 PM,93.240,-2.962,,,,
27,01/28/20 02:29:48 PM,93.246,-3.079,,,,
28,01/28/20 02:39:48 PM,93.246,-3.079,,,,
29,01/28/20 02:49:48 PM,93.283,-3.197,,,,
30,01/28/20 02:59:48 PM,93.273,-3.197,,,,
31,01/28/20 03:09:48 PM,93.289,-3.316,,,,
32,01/28/20 03:19:48 PM,93.305,-3.434,,,,
33,01/28/20 03:29:48 PM,93.316,-3.434,,,,
34,01/28/20 03:39:48 PM,93.322,-3.553,,,,
35,01/28/20 03:49:48 PM,93.311,-3.553,,,,
36,01/28/20 03:59:48 PM,93.307,-3.672,,,,
37,01/28/20 04:09:48 PM,93.307,-3.672,,,,
38,01/28/20 04:19:48 PM,93.323,-3.792,,,,
39,01/28/20 04:29:48 PM,93.364,-3.792,,,,
40,01/28/20 04:39:48 PM,93.350,-3.911,,,,
41,01/28/20 04:49:48 PM,93.366,-4.031,,,,
42,01/28/20 04:59:48 PM,93.362,-4.152,,,,
43,01/28/20 05:09:48 PM,93.382,-4.152,,,,
44,01/28/20 05:19:48 PM,93.399,-4.272,,,,
45,01/28/20 05:29:48 PM,93.399,-4.272,,,,
46,01/28/20 05:39:48 PM,93.415,-4.393,,,,
47,01/28/20 05:49:48 PM,93.445,-4.393,,,,
48,01/28/20 05:59:48 PM,93.441,-4.514,,,,
49,01/28/20 06:09:48 PM,93.441,-4.514,,,,
50,01/28/20 06:19:48 PM,93.451,-4.514,,,,
51,01/28/20 06:29:48 PM,93.457,-4.636,,,,
52,01/28/20 06:39:48 PM,93.478,-4.636,,,,
53,01/28/20 06:49:48 PM,93.457,-4.636,,,,
54,01/28/20 06:59:48 PM,93.478,-4.636,,,,
55,01/28/20 07:09:48 PM,93.478,-4.636,,,,
56,01/28/20 07:19:48 PM,93.488,-4.636,,,,
57,01/28/20 07:29:48 PM,93.514,-4.758,,,,
58,01/28/20 07:39:48 PM,93.514,-4.758,,,,
59,01/28/20 07:49:48 PM,93.535,-4.758,,,,
60,01/28/20 07:59:48 PM,93.535,-4.758,,,,
61,01/28/20 08:09:48 PM,93.535,-4.758,,,,
62,01/28/20 08:19:48 PM,93.555,-4.758,,,,
63,01/28/20 08:29:48 PM,93.541,-4.880,,,,
64,01/28/20 08:39:48 PM,93.561,-4.880,,,,
65,01/28/20 08:49:48 PM,93.572,-4.880,,,,
66,01/28/20 08:59:48 PM,93.557,-5.003,,,,
67,01/28/20 09:09:48 PM,93.567,-5.003,,,,
68,01/28/20 09:19:48 PM,93.583,-5.125,,,,
69,01/28/20 09:29:48 PM,93.573,-5.125,,,,
70,01/28/20 09:39:48 PM,93.604,-5.125,,,,
71,01/28/20 09:49:48 PM,93.610,-5.249,,,,
72,01/28/20 09:59:48 PM,93.610,-5.249,,,,
73,01/28/20 10:09:48 PM,93.630,-5.249,,,,
74,01/28/20 10:19:48 PM,93.630,-5.249,,,,
75,01/28/20 10:29:48 PM,93.610,-5.249,,,,
76,01/28/20 10:39:48 PM,93.605,-5.372,,,,
77,01/28/20 10:49:48 PM,93.605,-5.372,,,,
78,01/28/20 10:59:48 PM,93.595,-5.372,,,,
79,01/28/20 11:09:48 PM,93.616,-5.372,,,,
80,01/28/20 11:19:48 PM,93.626,-5.372,,,,
81,01/28/20 11:29:48 PM,93.636,-5.372,,,,
82,01/28/20 11:39:48 PM,93.657,-5.372,,,,
83,01/28/20 11:49:48 PM,93.646,-5.372,,,,
84,01/28/20 11:59:48 PM,93.657,-5.372,,,,
85,01/29/20 12:09:48 AM,93.657,-5.372,,,,
86,01/29/20 12:19:48 AM,93.662,-5.496,,,,
87,01/29/20 12:29:48 AM,93.662,-5.496,,,,
88,01/29/20 12:39:48 AM,93.673,-5.496,,,,
89,01/29/20 12:49:48 AM,93.662,-5.496,,,,
90,01/29/20 12:59:48 AM,93.662,-5.496,,,,
91,01/29/20 01:09:48 AM,93.642,-5.496,,,,
92,01/29/20 01:19:48 AM,93.683,-5.496,,,,
93,01/29/20 01:29:48 AM,93.673,-5.496,,,,
94,01/29/20 01:39:48 AM,93.673,-5.496,,,,
95,01/29/20 01:49:48 AM,93.683,-5.496,,,,
96,01/29/20 01:59:48 AM,93.693,-5.496,,,,
97,01/29/20 02:09:48 AM,93.699,-5.620,,,,
98,01/29/20 02:19:48 AM,93.689,-5.620,,,,
99,01/29/20 02:29:48 AM,93.689,-5.620,,,,
100,01/29/20 02:39:48 AM,93.694,-5.745,,,,
101,01/29/20 02:49:48 AM,93.694,-5.745,,,,
102,01/29/20 02:59:48 AM,93.700,-5.870,,,,
103,01/29/20 03:09:48 AM,93.690,-5.870,,,,
104,01/29/20 03:19:48 AM,93.696,-5.995,,,,
105,01/29/20 03:29:48 AM,93.691,-6.120,,,,
106,01/29/20 03:39:48 AM,93.702,-6.120,,,,
107,01/29/20 03:49:48 AM,93.687,-6.246,,,,
108,01/29/20 03:59:48 AM,93.718,-6.246,,,,
109,01/29/20 04:09:48 AM,93.734,-6.373,,,,
110,01/29/20 04:19:48 AM,93.729,-6.499,,,,
111,01/29/20 04:29:48 AM,93.755,-6.626,,,,
112,01/29/20 04:39:48 AM,93.771,-6.754,,,,
113,01/29/20 04:49:48 AM,93.767,-6.882,,,,
114,01/29/20 04:59:48 AM,93.752,-7.010,,,,
115,01/29/20 05:09:48 AM,93.737,-7.138,,,,
116,01/29/20 05:19:48 AM,93.753,-7.267,,,,
117,01/29/20 05:29:48 AM,93.769,-7.397,,,,
118,01/29/20 05:39:48 AM,93.795,-7.527,,,,
119,01/29/20 05:49:48 AM,93.800,-7.657,,,,
120,01/29/20 05:59:48 AM,93.806,-7.787,,,,
121,01/29/20 06:09:48 AM,93.832,-7.918,,,,
122,01/29/20 06:19:48 AM,93.868,-8.050,,,,
123,01/29/20 06:29:48 AM,93.863,-8.182,,,,
124,01/29/20 06:39:48 AM,93.884,-8.182,,,,
125,01/29/20 06:49:48 AM,93.910,-8.314,,,,
126,01/29/20 06:59:48 AM,93.926,-8.447,,,,
127,01/29/20 07:09:48 AM,93.915,-8.447,,,,
128,01/29/20 07:19:48 AM,93.911,-8.580,,,,
129,01/29/20 07:29:48 AM,93.931,-8.580,,,,
130,01/29/20 07:39:48 AM,93.931,-8.580,,,,
131,01/29/20 07:49:48 AM,93.957,-8.713,,,,
132,01/29/20 07:59:48 AM,93.957,-8.713,,,,
133,01/29/20 08:09:48 AM,93.983,-8.847,,,,
134,01/29/20 08:19:48 AM,93.973,-8.847,,,,
135,01/29/20 08:29:48 AM,94.014,-8.847,,,,
136,01/29/20 08:39:48 AM,93.993,-8.847,,,,
137,01/29/20 08:49:48 AM,94.003,-8.847,,,,
138,01/29/20 08:59:48 AM,94.024,-8.847,,,,
139,01/29/20 09:09:48 AM,94.034,-8.847,,,,
140,01/29/20 09:19:48 AM,94.044,-8.847,,,,
141,01/29/20 09:29:48 AM,94.070,-8.713,,,,
142,01/29/20 09:39:48 AM,94.100,-8.713,,,,
143,01/29/20 09:49:48 AM,94.085,-8.580,,,,
