Plot Title: 42_2_s1,,,,,,,
#,"Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 20566220, SEN S/N: 20566220)","Temp, °C (LGR S/N: 20566220, SEN S/N: 20566220)","Coupler Detached (LGR S/N: 20566220, SEN S/N: 20566220)","Coupler Attached (LGR S/N: 20566220, SEN S/N: 20566220)","Host Connected (LGR S/N: 20566220, SEN S/N: 20566220)","End Of File (LGR S/N: 20566220, SEN S/N: 20566220)"
1,1/28/20 12:18,91.614,3.472,,,,
2,1/28/20 12:18,,,Logged,,,
3,1/28/20 12:28,91.917,3.367,,,,
4,1/28/20 12:38,91.831,2.517,,,,
5,1/28/20 12:48,91.798,2.195,,,,
6,1/28/20 12:58,91.775,1.98,,,,
7,1/28/20 13:08,91.764,1.872,,,,
8,1/28/20 13:18,91.753,1.764,,,,
9,1/28/20 13:28,91.763,1.764,,,,
10,1/28/20 13:38,91.783,1.764,,,,
11,1/28/20 13:48,91.773,1.764,,,,
12,1/28/20 13:58,91.773,1.764,,,,
13,1/28/20 14:08,91.763,1.764,,,,
14,1/28/20 14:18,91.763,1.764,,,,
15,1/28/20 14:28,91.773,1.764,,,,
16,1/28/20 14:38,91.783,1.764,,,,
17,1/28/20 14:48,91.763,1.764,,,,
18,1/28/20 14:58,91.783,1.764,,,,
19,1/28/20 15:08,91.815,1.872,,,,
20,1/28/20 15:18,91.794,1.872,,,,
21,1/28/20 15:28,91.806,1.98,,,,
22,1/28/20 15:38,91.785,1.98,,,,
23,1/28/20 15:48,91.786,2.088,,,,
24,1/28/20 15:58,91.796,2.088,,,,
25,1/28/20 16:08,91.796,2.088,,,,
26,1/28/20 16:18,91.818,2.195,,,,
27,1/28/20 16:28,91.818,2.195,,,,
28,1/28/20 16:38,91.808,2.195,,,,
29,1/28/20 16:48,91.838,2.195,,,,
30,1/28/20 16:58,91.828,2.195,,,,
31,1/28/20 17:08,91.838,2.195,,,,
32,1/28/20 17:18,91.848,2.195,,,,
33,1/28/20 17:28,91.868,2.195,,,,
34,1/28/20 17:38,91.878,2.195,,,,
35,1/28/20 17:48,91.868,2.195,,,,
36,1/28/20 17:58,91.878,2.195,,,,
37,1/28/20 18:08,91.868,2.195,,,,
38,1/28/20 18:18,91.878,2.195,,,,
39,1/28/20 18:28,91.878,2.195,,,,
40,1/28/20 18:38,91.889,2.195,,,,
41,1/28/20 18:48,91.899,2.195,,,,
42,1/28/20 18:58,91.909,2.195,,,,
43,1/28/20 19:08,91.92,2.303,,,,
44,1/28/20 19:18,91.91,2.303,,,,
45,1/28/20 19:28,91.94,2.303,,,,
46,1/28/20 19:38,91.96,2.303,,,,
47,1/28/20 19:48,91.96,2.303,,,,
48,1/28/20 19:58,91.97,2.303,,,,
49,1/28/20 20:08,91.97,2.303,,,,
50,1/28/20 20:18,91.981,2.303,,,,
51,1/28/20 20:28,91.97,2.303,,,,
52,1/28/20 20:38,91.96,2.303,,,,
53,1/28/20 20:48,91.97,2.303,,,,
54,1/28/20 20:58,91.97,2.303,,,,
55,1/28/20 21:08,91.991,2.303,,,,
56,1/28/20 21:18,91.991,2.303,,,,
57,1/28/20 21:28,91.991,2.303,,,,
58,1/28/20 21:38,91.991,2.303,,,,
59,1/28/20 21:48,91.991,2.303,,,,
60,1/28/20 21:58,92.001,2.303,,,,
61,1/28/20 22:08,92.011,2.303,,,,
62,1/28/20 22:18,92.021,2.303,,,,
63,1/28/20 22:28,92.021,2.303,,,,
64,1/28/20 22:38,92.021,2.303,,,,
65,1/28/20 22:48,92.021,2.303,,,,
66,1/28/20 22:58,92.011,2.303,,,,
67,1/28/20 23:08,92.011,2.303,,,,
68,1/28/20 23:18,92.011,2.303,,,,
69,1/28/20 23:28,92.041,2.303,,,,
70,1/28/20 23:38,92.031,2.303,,,,
71,1/28/20 23:48,92.041,2.303,,,,
72,1/28/20 23:58,92.041,2.303,,,,
73,1/29/20 0:08,92.041,2.303,,,,
74,1/29/20 0:18,92.051,2.303,,,,
75,1/29/20 0:28,92.061,2.303,,,,
76,1/29/20 0:38,92.051,2.303,,,,
77,1/29/20 0:48,92.051,2.303,,,,
78,1/29/20 0:58,92.041,2.303,,,,
79,1/29/20 1:08,92.041,2.303,,,,
80,1/29/20 1:18,92.041,2.303,,,,
81,1/29/20 1:28,92.072,2.303,,,,
82,1/29/20 1:38,92.051,2.303,,,,
83,1/29/20 1:48,92.061,2.303,,,,
84,1/29/20 1:58,92.072,2.303,,,,
85,1/29/20 2:08,92.082,2.303,,,,
86,1/29/20 2:18,92.072,2.303,,,,
87,1/29/20 2:28,92.051,2.303,,,,
88,1/29/20 2:38,92.072,2.303,,,,
89,1/29/20 2:48,92.051,2.303,,,,
90,1/29/20 2:58,92.05,2.195,,,,
91,1/29/20 3:08,92.061,2.303,,,,
92,1/29/20 3:18,92.061,2.303,,,,
93,1/29/20 3:28,92.05,2.195,,,,
94,1/29/20 3:38,92.051,2.303,,,,
95,1/29/20 3:48,92.072,2.303,,,,
96,1/29/20 3:58,92.06,2.195,,,,
97,1/29/20 4:08,92.132,2.303,,,,
98,1/29/20 4:18,92.122,2.303,,,,
99,1/29/20 4:28,92.101,2.195,,,,
100,1/29/20 4:38,92.101,2.195,,,,
101,1/29/20 4:48,92.101,2.195,,,,
102,1/29/20 4:58,92.111,2.195,,,,
103,1/29/20 5:08,92.101,2.195,,,,
104,1/29/20 5:18,92.101,2.195,,,,
105,1/29/20 5:28,92.121,2.195,,,,
106,1/29/20 5:38,92.151,2.195,,,,
107,1/29/20 5:48,92.172,2.195,,,,
108,1/29/20 5:58,92.172,2.195,,,,
109,1/29/20 6:08,92.172,2.195,,,,
110,1/29/20 6:18,92.192,2.195,,,,
111,1/29/20 6:28,92.222,2.195,,,,
112,1/29/20 6:38,92.222,2.195,,,,
113,1/29/20 6:48,92.253,2.195,,,,
114,1/29/20 6:58,92.263,2.195,,,,
115,1/29/20 7:08,92.293,2.195,,,,
116,1/29/20 7:18,92.263,2.195,,,,
117,1/29/20 7:28,92.283,2.195,,,,
118,1/29/20 7:38,92.293,2.195,,,,
119,1/29/20 7:48,92.283,2.195,,,,
120,1/29/20 7:58,92.303,2.195,,,,
121,1/29/20 8:08,92.333,2.195,,,,
122,1/29/20 8:18,92.323,2.195,,,,
123,1/29/20 8:28,92.344,2.195,,,,
124,1/29/20 8:38,92.364,2.195,,,,
125,1/29/20 8:48,92.354,2.195,,,,
126,1/29/20 8:58,92.384,2.195,,,,
127,1/29/20 9:08,92.384,2.195,,,,
128,1/29/20 9:18,92.394,2.195,,,,
129,1/29/20 9:28,92.435,2.195,,,,
130,1/29/20 9:38,92.435,2.195,,,,
131,1/29/20 9:48,92.435,2.195,,,,
132,1/29/20 9:58,92.424,2.195,,,,
133,1/29/20 10:08,92.424,2.195,,,,
134,1/29/20 10:18,92.435,2.195,,,,
135,1/29/20 10:28,92.435,2.195,,,,
136,1/29/20 10:38,92.445,2.195,,,,
137,1/29/20 10:48,92.445,2.195,,,,
138,1/29/20 10:58,92.455,2.195,,,,
139,1/29/20 11:08,92.445,2.195,,,,
140,1/29/20 11:18,92.445,2.195,,,,
141,1/29/20 11:28,92.445,2.195,,,,
142,1/29/20 11:38,92.445,2.195,,,,
143,1/29/20 11:48,92.466,2.303,,,,
144,1/29/20 11:58,92.456,2.303,,,,
145,1/29/20 12:08,92.446,2.303,,,,
146,1/29/20 12:18,92.436,2.303,,,,
147,1/29/20 12:28,92.446,2.303,,,,
148,1/29/20 12:38,92.456,2.303,,,,
149,1/29/20 12:48,92.435,2.195,,,,
150,1/29/20 12:58,92.424,2.195,,,,
151,1/29/20 13:08,92.414,2.195,,,,
152,1/29/20 13:18,92.424,2.195,,,,
153,1/29/20 13:28,92.414,2.195,,,,
154,1/29/20 13:38,92.415,2.303,,,,
155,1/29/20 13:48,92.446,2.303,,,,
156,1/29/20 13:58,92.456,2.303,,,,
157,1/29/20 14:08,92.476,2.303,,,,
158,1/29/20 14:18,92.486,2.303,,,,
159,1/29/20 14:28,92.466,2.303,,,,
160,1/29/20 14:38,92.476,2.303,,,,
161,1/29/20 14:48,92.496,2.303,,,,
162,1/29/20 14:58,92.517,2.303,,,,
163,1/29/20 15:08,92.527,2.303,,,,
164,1/29/20 15:18,92.527,2.303,,,,
165,1/29/20 15:28,92.547,2.303,,,,
166,1/29/20 15:38,92.557,2.303,,,,
167,1/29/20 15:48,92.577,2.303,,,,
168,1/29/20 15:58,92.587,2.303,,,,
169,1/29/20 16:08,92.587,2.303,,,,
170,1/29/20 16:18,92.577,2.303,,,,
171,1/29/20 16:28,92.576,2.195,,,,
172,1/29/20 16:38,92.587,2.303,,,,
173,1/29/20 16:48,92.586,2.195,,,,
174,1/29/20 16:58,92.607,2.195,,,,
175,1/29/20 17:08,92.607,2.195,,,,
176,1/29/20 17:18,92.627,2.195,,,,
177,1/29/20 17:28,92.637,2.195,,,,
178,1/29/20 17:38,92.627,2.195,,,,
179,1/29/20 17:48,92.647,2.195,,,,
180,1/29/20 17:58,92.637,2.195,,,,
181,1/29/20 18:08,92.617,2.195,,,,
182,1/29/20 18:18,92.647,2.195,,,,
183,1/29/20 18:28,92.667,2.195,,,,
184,1/29/20 18:38,92.687,2.195,,,,
185,1/29/20 18:48,92.677,2.195,,,,
186,1/29/20 18:58,92.698,2.195,,,,
187,1/29/20 19:08,92.728,2.195,,,,
188,1/29/20 19:18,92.728,2.195,,,,
189,1/29/20 19:28,92.738,2.195,,,,
190,1/29/20 19:38,92.758,2.195,,,,
191,1/29/20 19:48,92.758,2.195,,,,
192,1/29/20 19:58,92.768,2.195,,,,
193,1/29/20 20:08,92.778,2.195,,,,
194,1/29/20 20:18,92.809,2.195,,,,
