"Plot Title: 42_3_s2"
"#","Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 10766684, SEN S/N: 10766684, LBL: pressure)","Temp, °C (LGR S/N: 10766684, SEN S/N: 10766684, LBL: temp)","Coupler Detached (LGR S/N: 10766684, SEN S/N: 10766684)","Coupler Attached (LGR S/N: 10766684, SEN S/N: 10766684)","Host Connected (LGR S/N: 10766684, SEN S/N: 10766684)","End Of File (LGR S/N: 10766684, SEN S/N: 10766684)"
1,01/28/20 12:24:02 PM,92.340,3.788,,,,
2,01/28/20 12:24:09 PM,,,Logged,,,
3,01/28/20 12:34:02 PM,92.353,3.578,,,,
4,01/28/20 12:44:02 PM,92.344,3.261,,,,
5,01/28/20 12:54:02 PM,92.329,3.049,,,,
6,01/28/20 01:04:02 PM,92.345,2.943,,,,
7,01/28/20 01:14:02 PM,92.345,2.943,,,,
8,01/28/20 01:24:02 PM,92.336,2.943,,,,
9,01/28/20 01:34:02 PM,92.345,2.943,,,,
10,01/28/20 01:44:02 PM,92.345,2.943,,,,
11,01/28/20 01:54:02 PM,92.354,2.943,,,,
12,01/28/20 02:04:02 PM,92.364,2.943,,,,
13,01/28/20 02:14:02 PM,92.373,2.943,,,,
14,01/28/20 02:24:02 PM,92.364,2.943,,,,
15,01/28/20 02:34:02 PM,92.383,2.943,,,,
16,01/28/20 02:44:02 PM,92.383,2.943,,,,
17,01/28/20 02:54:02 PM,92.404,3.049,,,,
18,01/28/20 03:04:02 PM,92.423,3.049,,,,
19,01/28/20 03:14:02 PM,92.423,3.049,,,,
20,01/28/20 03:24:02 PM,92.423,3.049,,,,
21,01/28/20 03:34:02 PM,92.432,3.049,,,,
22,01/28/20 03:44:02 PM,92.432,3.049,,,,
23,01/28/20 03:54:02 PM,92.432,3.049,,,,
24,01/28/20 04:04:02 PM,92.442,3.049,,,,
25,01/28/20 04:14:02 PM,92.470,3.049,,,,
26,01/28/20 04:24:02 PM,92.461,3.049,,,,
27,01/28/20 04:34:02 PM,92.461,3.049,,,,
28,01/28/20 04:44:02 PM,92.498,3.049,,,,
29,01/28/20 04:54:02 PM,92.498,3.049,,,,
30,01/28/20 05:04:02 PM,92.489,3.049,,,,
31,01/28/20 05:14:02 PM,92.517,3.049,,,,
32,01/28/20 05:24:02 PM,92.536,3.049,,,,
33,01/28/20 05:34:02 PM,92.536,3.049,,,,
34,01/28/20 05:44:02 PM,92.554,3.049,,,,
35,01/28/20 05:54:02 PM,92.564,3.049,,,,
36,01/28/20 06:04:02 PM,92.545,3.049,,,,
37,01/28/20 06:14:02 PM,92.564,3.049,,,,
38,01/28/20 06:24:02 PM,92.545,3.049,,,,
39,01/28/20 06:34:02 PM,92.573,3.049,,,,
40,01/28/20 06:44:02 PM,92.564,3.049,,,,
41,01/28/20 06:54:02 PM,92.601,3.049,,,,
42,01/28/20 07:04:02 PM,92.601,3.049,,,,
43,01/28/20 07:14:02 PM,92.611,3.049,,,,
44,01/28/20 07:24:02 PM,92.620,3.049,,,,
45,01/28/20 07:34:02 PM,92.639,3.049,,,,
46,01/28/20 07:44:02 PM,92.639,3.049,,,,
47,01/28/20 07:54:02 PM,92.648,3.049,,,,
48,01/28/20 08:04:02 PM,92.676,3.049,,,,
49,01/28/20 08:14:02 PM,92.658,3.049,,,,
50,01/28/20 08:24:02 PM,92.667,3.049,,,,
51,01/28/20 08:34:02 PM,92.667,3.049,,,,
52,01/28/20 08:44:02 PM,92.676,3.049,,,,
53,01/28/20 08:54:02 PM,92.679,3.155,,,,
54,01/28/20 09:04:02 PM,92.698,3.155,,,,
55,01/28/20 09:14:02 PM,92.707,3.155,,,,
56,01/28/20 09:24:02 PM,92.689,3.155,,,,
57,01/28/20 09:34:02 PM,92.689,3.155,,,,
58,01/28/20 09:44:02 PM,92.698,3.155,,,,
59,01/28/20 09:54:02 PM,92.717,3.155,,,,
60,01/28/20 10:04:02 PM,92.717,3.155,,,,
61,01/28/20 10:14:02 PM,92.717,3.155,,,,
62,01/28/20 10:24:02 PM,92.726,3.155,,,,
63,01/28/20 10:34:02 PM,92.726,3.155,,,,
64,01/28/20 10:44:02 PM,92.736,3.155,,,,
65,01/28/20 10:54:02 PM,92.736,3.155,,,,
66,01/28/20 11:04:02 PM,92.736,3.155,,,,
67,01/28/20 11:14:02 PM,92.745,3.155,,,,
68,01/28/20 11:24:02 PM,92.754,3.155,,,,
69,01/28/20 11:34:02 PM,92.764,3.155,,,,
70,01/28/20 11:44:02 PM,92.782,3.155,,,,
71,01/28/20 11:54:02 PM,92.773,3.155,,,,
72,01/29/20 12:04:02 AM,92.782,3.155,,,,
73,01/29/20 12:14:02 AM,92.792,3.155,,,,
74,01/29/20 12:24:02 AM,92.782,3.155,,,,
75,01/29/20 12:34:02 AM,92.792,3.155,,,,
76,01/29/20 12:44:02 AM,92.782,3.155,,,,
77,01/29/20 12:54:02 AM,92.782,3.155,,,,
78,01/29/20 01:04:02 AM,92.792,3.155,,,,
79,01/29/20 01:14:02 AM,92.792,3.155,,,,
80,01/29/20 01:24:02 AM,92.782,3.155,,,,
81,01/29/20 01:34:02 AM,92.801,3.155,,,,
82,01/29/20 01:44:02 AM,92.820,3.155,,,,
83,01/29/20 01:54:02 AM,92.829,3.155,,,,
84,01/29/20 02:04:02 AM,92.829,3.155,,,,
85,01/29/20 02:14:02 AM,92.820,3.155,,,,
86,01/29/20 02:24:02 AM,92.811,3.155,,,,
87,01/29/20 02:34:02 AM,92.801,3.155,,,,
88,01/29/20 02:44:02 AM,92.801,3.155,,,,
89,01/29/20 02:54:02 AM,92.801,3.155,,,,
90,01/29/20 03:04:02 AM,92.782,3.155,,,,
91,01/29/20 03:14:02 AM,92.811,3.155,,,,
92,01/29/20 03:24:02 AM,92.792,3.155,,,,
93,01/29/20 03:34:02 AM,92.801,3.155,,,,
94,01/29/20 03:44:02 AM,92.792,3.155,,,,
