"Plot Title: 52_4_d1"
"#","Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 20566222, SEN S/N: 20566222)","Temp, °C (LGR S/N: 20566222, SEN S/N: 20566222)","Coupler Detached (LGR S/N: 20566222, SEN S/N: 20566222)","Coupler Attached (LGR S/N: 20566222, SEN S/N: 20566222)","Host Connected (LGR S/N: 20566222, SEN S/N: 20566222)","End Of File (LGR S/N: 20566222, SEN S/N: 20566222)"
1,01/28/20 11:51:49 AM,119.433,0.232,,,,
2,01/28/20 11:51:59 AM,,,Logged,,,
3,01/28/20 12:01:49 PM,126.933,4.311,,,,
4,01/28/20 12:11:49 PM,126.917,5.244,,,,
5,01/28/20 12:21:49 PM,126.923,5.655,,,,
6,01/28/20 12:31:49 PM,126.936,5.860,,,,
7,01/28/20 12:41:49 PM,126.948,5.962,,,,
8,01/28/20 12:51:49 PM,126.927,5.962,,,,
9,01/28/20 01:01:49 PM,126.949,6.064,,,,
10,01/28/20 01:11:49 PM,126.938,6.064,,,,
11,01/28/20 01:21:49 PM,126.949,6.064,,,,
12,01/28/20 01:31:49 PM,126.949,6.064,,,,
13,01/28/20 01:41:49 PM,126.938,6.064,,,,
14,01/28/20 01:51:49 PM,126.961,6.166,,,,
15,01/28/20 02:01:49 PM,126.982,6.166,,,,
16,01/28/20 02:11:49 PM,126.961,6.166,,,,
17,01/28/20 02:21:49 PM,126.961,6.166,,,,
18,01/28/20 02:31:49 PM,126.982,6.166,,,,
19,01/28/20 02:41:49 PM,126.982,6.166,,,,
20,01/28/20 02:51:49 PM,126.992,6.166,,,,
21,01/28/20 03:01:49 PM,127.024,6.166,,,,
22,01/28/20 03:11:49 PM,127.024,6.166,,,,
23,01/28/20 03:21:49 PM,127.034,6.166,,,,
24,01/28/20 03:31:49 PM,127.045,6.166,,,,
25,01/28/20 03:41:49 PM,127.045,6.166,,,,
26,01/28/20 03:51:49 PM,127.034,6.166,,,,
27,01/28/20 04:01:49 PM,127.066,6.166,,,,
28,01/28/20 04:11:49 PM,127.066,6.166,,,,
29,01/28/20 04:21:49 PM,127.087,6.166,,,,
30,01/28/20 04:31:49 PM,127.087,6.166,,,,
31,01/28/20 04:41:49 PM,127.066,6.166,,,,
32,01/28/20 04:51:49 PM,127.098,6.166,,,,
33,01/28/20 05:01:49 PM,127.098,6.166,,,,
34,01/28/20 05:11:49 PM,127.119,6.166,,,,
35,01/28/20 05:21:49 PM,127.129,6.166,,,,
36,01/28/20 05:31:49 PM,127.129,6.166,,,,
37,01/28/20 05:41:49 PM,127.140,6.166,,,,
38,01/28/20 05:51:49 PM,127.171,6.166,,,,
39,01/28/20 06:01:49 PM,127.140,6.166,,,,
40,01/28/20 06:11:49 PM,127.150,6.166,,,,
41,01/28/20 06:21:49 PM,127.150,6.166,,,,
42,01/28/20 06:31:49 PM,127.150,6.166,,,,
43,01/28/20 06:41:49 PM,127.182,6.166,,,,
44,01/28/20 06:51:49 PM,127.204,6.268,,,,
45,01/28/20 07:01:49 PM,127.183,6.268,,,,
46,01/28/20 07:11:49 PM,127.183,6.268,,,,
47,01/28/20 07:21:49 PM,127.193,6.268,,,,
48,01/28/20 07:31:49 PM,127.225,6.268,,,,
