"Plot Title: 20619015"
"#","Date Time, GMT-04:00","Abs Pres, kPa (LGR S/N: 20619015, SEN S/N: 20619015)","Temp, °C (LGR S/N: 20619015, SEN S/N: 20619015)","Coupler Detached (LGR S/N: 20619015, SEN S/N: 20619015)","Coupler Attached (LGR S/N: 20619015, SEN S/N: 20619015)","Host Connected (LGR S/N: 20619015, SEN S/N: 20619015)","Stopped (LGR S/N: 20619015, SEN S/N: 20619015)","End Of File (LGR S/N: 20619015, SEN S/N: 20619015)"
1,06/02/20 12:00:00 PM,93.888,9.275,Logged,,,,
2,06/02/20 12:10:00 PM,93.869,9.275,,,,,
3,06/02/20 12:20:00 PM,93.872,9.373,,,,,
4,06/02/20 12:30:00 PM,93.852,9.373,,,,,
5,06/02/20 12:40:00 PM,93.855,9.472,,,,,
6,06/02/20 12:50:00 PM,93.838,9.571,,,,,
7,06/02/20 01:00:00 PM,93.824,9.768,,,,,
8,06/02/20 01:10:00 PM,93.929,13.269,,,,,
9,06/02/20 01:20:00 PM,94.156,11.722,,,,,
10,06/02/20 01:30:00 PM,94.119,10.357,,,,,
11,06/02/20 01:40:00 PM,94.079,9.571,,,,,
12,06/02/20 01:50:00 PM,94.056,9.077,,,,,
13,06/02/20 02:00:00 PM,94.039,8.779,,,,,
14,06/02/20 02:10:00 PM,94.014,8.581,,,,,
15,06/02/20 02:20:00 PM,93.992,8.481,,,,,
16,06/02/20 02:30:00 PM,93.980,8.382,,,,,
17,06/02/20 02:40:00 PM,93.970,8.382,,,,,
18,06/02/20 02:50:00 PM,93.939,8.282,,,,,
19,06/02/20 03:00:00 PM,93.939,8.282,,,,,
20,06/02/20 03:10:00 PM,93.910,8.282,,,,,
21,06/02/20 03:20:00 PM,93.862,8.282,,,,,
22,06/02/20 03:30:00 PM,93.881,8.282,,,,,
23,06/02/20 03:40:00 PM,93.862,8.282,,,,,
24,06/02/20 03:50:00 PM,93.833,8.282,,,,,
25,06/02/20 04:00:00 PM,93.833,8.282,,,,,
26,06/02/20 04:10:00 PM,93.833,8.282,,,,,
27,06/02/20 04:20:00 PM,93.823,8.282,,,,,
28,06/02/20 04:30:00 PM,93.794,8.282,,,,,
29,06/02/20 04:40:00 PM,93.794,8.282,,,,,
30,06/02/20 04:50:00 PM,93.785,8.282,,,,,
31,06/02/20 05:00:00 PM,93.775,8.282,,,,,
32,06/02/20 05:10:00 PM,93.775,8.282,,,,,
33,06/02/20 05:20:00 PM,93.766,8.282,,,,,
34,06/02/20 05:30:00 PM,93.766,8.282,,,,,
35,06/02/20 05:40:00 PM,93.756,8.282,,,,,
36,06/02/20 05:50:00 PM,93.746,8.282,,,,,
37,06/02/20 06:00:00 PM,93.756,8.282,,,,,
38,06/02/20 06:10:00 PM,93.746,8.282,,,,,
39,06/02/20 06:20:00 PM,93.727,8.282,,,,,
40,06/02/20 06:30:00 PM,93.717,8.282,,,,,
41,06/02/20 06:40:00 PM,93.708,8.282,,,,,
42,06/02/20 06:50:00 PM,93.708,8.282,,,,,
43,06/02/20 07:00:00 PM,93.708,8.282,,,,,
44,06/02/20 07:10:00 PM,93.720,8.382,,,,,
45,06/02/20 07:20:00 PM,93.720,8.382,,,,,
46,06/02/20 07:30:00 PM,93.710,8.382,,,,,
47,06/02/20 07:40:00 PM,93.691,8.382,,,,,
48,06/02/20 07:50:00 PM,93.691,8.382,,,,,
49,06/02/20 08:00:00 PM,93.682,8.382,,,,,
50,06/02/20 08:10:00 PM,93.720,8.382,,,,,
51,06/02/20 08:20:00 PM,93.710,8.382,,,,,
52,06/02/20 08:30:00 PM,93.701,8.382,,,,,
53,06/02/20 08:40:00 PM,93.691,8.382,,,,,
54,06/02/20 08:50:00 PM,93.691,8.382,,,,,
55,06/02/20 09:00:00 PM,93.682,8.382,,,,,
56,06/02/20 09:10:00 PM,93.682,8.382,,,,,
57,06/02/20 09:20:00 PM,93.672,8.382,,,,,
58,06/02/20 09:30:00 PM,93.672,8.382,,,,,
59,06/02/20 09:40:00 PM,93.672,8.382,,,,,
60,06/02/20 09:50:00 PM,93.672,8.382,,,,,
61,06/02/20 10:00:00 PM,93.662,8.382,,,,,
62,06/02/20 10:10:00 PM,93.634,8.382,,,,,
63,06/02/20 10:20:00 PM,93.634,8.382,,,,,
64,06/02/20 10:30:00 PM,93.624,8.382,,,,,
65,06/02/20 10:40:00 PM,93.624,8.382,,,,,
66,06/02/20 10:50:00 PM,93.585,8.382,,,,,
67,06/02/20 11:00:00 PM,93.595,8.382,,,,,
68,06/02/20 11:10:00 PM,93.576,8.382,,,,,
69,06/02/20 11:20:00 PM,93.576,8.382,,,,,
70,06/02/20 11:30:00 PM,93.576,8.382,,,,,
71,06/02/20 11:40:00 PM,93.566,8.382,,,,,
72,06/02/20 11:50:00 PM,93.547,8.382,,,,,
73,06/03/20 12:00:00 AM,93.518,8.382,,,,,
74,06/03/20 12:10:00 AM,93.499,8.382,,,,,
75,06/03/20 12:20:00 AM,93.470,8.382,,,,,
76,06/03/20 12:30:00 AM,93.460,8.382,,,,,
77,06/03/20 12:40:00 AM,93.451,8.382,,,,,
78,06/03/20 12:50:00 AM,93.441,8.382,,,,,
79,06/03/20 01:00:00 AM,93.422,8.382,,,,,
80,06/03/20 01:10:00 AM,93.403,8.382,,,,,
81,06/03/20 01:20:00 AM,93.403,8.382,,,,,
82,06/03/20 01:30:00 AM,93.403,8.382,,,,,
83,06/03/20 01:40:00 AM,93.374,8.382,,,,,
84,06/03/20 01:50:00 AM,93.364,8.382,,,,,
85,06/03/20 02:00:00 AM,93.335,8.382,,,,,
86,06/03/20 02:10:00 AM,93.287,8.382,,,,,
87,06/03/20 02:20:00 AM,93.287,8.382,,,,,
88,06/03/20 02:30:00 AM,93.278,8.382,,,,,
89,06/03/20 02:40:00 AM,93.268,8.382,,,,,
90,06/03/20 02:50:00 AM,93.287,8.382,,,,,
91,06/03/20 03:00:00 AM,93.278,8.382,,,,,
92,06/03/20 03:10:00 AM,93.249,8.382,,,,,
93,06/03/20 03:20:00 AM,93.249,8.382,,,,,
94,06/03/20 03:30:00 AM,93.239,8.382,,,,,
95,06/03/20 03:40:00 AM,93.210,8.382,,,,,
96,06/03/20 03:50:00 AM,93.210,8.382,,,,,
97,06/03/20 04:00:00 AM,93.201,8.382,,,,,
98,06/03/20 04:10:00 AM,93.210,8.382,,,,,
99,06/03/20 04:20:00 AM,93.191,8.382,,,,,
100,06/03/20 04:30:00 AM,93.172,8.382,,,,,
101,06/03/20 04:40:00 AM,93.153,8.382,,,,,
102,06/03/20 04:50:00 AM,93.153,8.382,,,,,
103,06/03/20 05:00:00 AM,93.143,8.382,,,,,
104,06/03/20 05:10:00 AM,93.162,8.382,,,,,
105,06/03/20 05:20:00 AM,93.143,8.382,,,,,
106,06/03/20 05:30:00 AM,93.162,8.382,,,,,
107,06/03/20 05:40:00 AM,93.124,8.382,,,,,
108,06/03/20 05:50:00 AM,93.114,8.382,,,,,
109,06/03/20 06:00:00 AM,93.133,8.382,,,,,
110,06/03/20 06:10:00 AM,93.104,8.382,,,,,
111,06/03/20 06:20:00 AM,93.124,8.382,,,,,
112,06/03/20 06:30:00 AM,93.114,8.382,,,,,
113,06/03/20 06:40:00 AM,93.104,8.382,,,,,
114,06/03/20 06:50:00 AM,93.104,8.382,,,,,
115,06/03/20 07:00:00 AM,93.104,8.382,,,,,
116,06/03/20 07:10:00 AM,93.104,8.382,,,,,
117,06/03/20 07:20:00 AM,93.095,8.382,,,,,
118,06/03/20 07:30:00 AM,93.085,8.382,,,,,
119,06/03/20 07:40:00 AM,93.066,8.382,,,,,
120,06/03/20 07:50:00 AM,93.076,8.382,,,,,
121,06/03/20 08:00:00 AM,93.085,8.382,,,,,
122,06/03/20 08:10:00 AM,93.085,8.382,,,,,
123,06/03/20 08:20:00 AM,93.085,8.382,,,,,
124,06/03/20 08:30:00 AM,93.066,8.382,,,,,
125,06/03/20 08:40:00 AM,93.076,8.382,,,,,
126,06/03/20 08:50:00 AM,93.066,8.382,,,,,
127,06/03/20 09:00:00 AM,93.076,8.382,,,,,
128,06/03/20 09:10:00 AM,93.066,8.382,,,,,
129,06/03/20 09:20:00 AM,93.056,8.382,,,,,
130,06/03/20 09:30:00 AM,93.037,8.382,,,,,
131,06/03/20 09:40:00 AM,93.037,8.382,,,,,
132,06/03/20 09:50:00 AM,93.028,8.382,,,,,
133,06/03/20 10:00:00 AM,93.008,8.382,,,,,
134,06/03/20 10:10:00 AM,93.018,8.382,,,,,
135,06/03/20 10:20:00 AM,92.999,8.382,,,,,
136,06/03/20 10:30:00 AM,93.011,8.481,,,,,
137,06/03/20 10:40:00 AM,93.011,8.481,,,,,
138,06/03/20 10:50:00 AM,93.011,8.481,,,,,
139,06/03/20 11:00:00 AM,92.982,8.481,,,,,
140,06/03/20 11:10:00 AM,92.982,8.481,,,,,
141,06/03/20 11:20:00 AM,92.972,8.481,,,,,
142,06/03/20 11:30:00 AM,92.972,8.481,,,,,
143,06/03/20 11:40:00 AM,92.944,8.481,,,,,
144,06/03/20 11:50:00 AM,92.963,8.481,,,,,
145,06/03/20 12:00:00 PM,92.944,8.481,,,,,
146,06/03/20 12:10:00 PM,92.934,8.481,,,,,
147,06/03/20 12:20:00 PM,92.915,8.481,,,,,
148,06/03/20 12:30:00 PM,92.934,8.481,,,,,
149,06/03/20 12:40:00 PM,92.924,8.481,,,,,
150,06/03/20 12:50:00 PM,92.915,8.481,,,,,
