"Plot Title: 10032082"
"#","Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 10032082, SEN S/N: 10032082)","Temp, °C (LGR S/N: 10032082, SEN S/N: 10032082)","Coupler Detached (LGR S/N: 10032082, SEN S/N: 10032082)","Coupler Attached (LGR S/N: 10032082, SEN S/N: 10032082)","Host Connected (LGR S/N: 10032082, SEN S/N: 10032082)","End Of File (LGR S/N: 10032082, SEN S/N: 10032082)"
1,01/29/20 11:43:09 AM,93.880,4.623,,,,
2,01/29/20 11:43:22 AM,,,Logged,,,
3,01/29/20 11:53:09 AM,116.724,5.450,,,,
4,01/29/20 12:03:09 PM,116.695,5.552,,,,
5,01/29/20 12:13:09 PM,116.698,5.655,,,,
6,01/29/20 12:23:09 PM,116.698,5.655,,,,
7,01/29/20 12:33:09 PM,116.698,5.655,,,,
8,01/29/20 12:43:09 PM,116.695,5.552,,,,
9,01/29/20 12:53:09 PM,116.708,5.450,,,,
10,01/29/20 01:03:09 PM,116.691,5.450,,,,
11,01/29/20 01:13:09 PM,116.691,5.450,,,,
12,01/29/20 01:23:09 PM,116.675,5.450,,,,
13,01/29/20 01:33:09 PM,116.711,5.552,,,,
14,01/29/20 01:43:09 PM,116.711,5.552,,,,
15,01/29/20 01:53:09 PM,116.691,5.450,,,,
16,01/29/20 02:03:09 PM,116.691,5.450,,,,
17,01/29/20 02:13:09 PM,116.708,5.450,,,,
18,01/29/20 02:23:09 PM,116.724,5.450,,,,
19,01/29/20 02:33:09 PM,116.724,5.450,,,,
20,01/29/20 02:43:09 PM,116.727,5.552,,,,
21,01/29/20 02:53:09 PM,116.711,5.552,,,,
22,01/29/20 03:03:09 PM,116.711,5.552,,,,
23,01/29/20 03:13:09 PM,116.724,5.450,,,,
24,01/29/20 03:23:09 PM,116.740,5.450,,,,
25,01/29/20 03:33:09 PM,116.724,5.450,,,,
26,01/29/20 03:43:09 PM,116.757,5.450,,,,
27,01/29/20 03:53:09 PM,116.760,5.552,,,,
28,01/29/20 04:03:09 PM,116.760,5.552,,,,
29,01/29/20 04:13:09 PM,116.760,5.552,,,,
30,01/29/20 04:23:09 PM,116.760,5.552,,,,
31,01/29/20 04:33:09 PM,116.760,5.552,,,,
32,01/29/20 04:43:09 PM,116.776,5.552,,,,
33,01/29/20 04:53:09 PM,116.789,5.450,,,,
34,01/29/20 05:03:09 PM,116.789,5.450,,,,
35,01/29/20 05:13:09 PM,116.789,5.450,,,,
36,01/29/20 05:23:09 PM,116.805,5.450,,,,
37,01/29/20 05:33:09 PM,116.809,5.552,,,,
38,01/29/20 05:43:09 PM,116.825,5.552,,,,
39,01/29/20 05:53:09 PM,116.825,5.552,,,,
40,01/29/20 06:03:09 PM,116.809,5.552,,,,
41,01/29/20 06:13:09 PM,116.822,5.450,,,,
42,01/29/20 06:23:09 PM,116.838,5.450,,,,
43,01/29/20 06:33:09 PM,116.838,5.450,,,,
44,01/29/20 06:43:09 PM,116.838,5.450,,,,
45,01/29/20 06:53:09 PM,116.854,5.450,,,,
46,01/29/20 07:03:09 PM,116.838,5.450,,,,
47,01/29/20 07:13:09 PM,116.871,5.450,,,,
48,01/29/20 07:23:09 PM,116.854,5.450,,,,
49,01/29/20 07:33:09 PM,116.871,5.450,,,,
50,01/29/20 07:43:09 PM,116.887,5.450,,,,
51,01/29/20 07:53:09 PM,116.903,5.450,,,,
52,01/29/20 08:03:09 PM,116.920,5.450,,,,
53,01/29/20 08:13:09 PM,116.920,5.450,,,,
54,01/29/20 08:23:09 PM,116.920,5.450,,,,
55,01/29/20 08:33:09 PM,116.952,5.450,,,,
