Plot Title: Barometric,,,,,,,
#,"Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 10710509, SEN S/N: 10710509)","Temp, °C (LGR S/N: 10710509, SEN S/N: 10710509)","Coupler Detached (LGR S/N: 10710509, SEN S/N: 10710509)","Coupler Attached (LGR S/N: 10710509, SEN S/N: 10710509)","Host Connected (LGR S/N: 10710509, SEN S/N: 10710509)","End Of File (LGR S/N: 10710509, SEN S/N: 10710509)"
1,1/28/20 10:19,93.346,0.01,,,,
2,1/28/20 10:20,,,Logged,,,
3,1/28/20 10:29,93.288,0.121,,,,
4,1/28/20 10:39,93.281,-0.662,,,,
5,1/28/20 10:49,93.285,-1.114,,,,
6,1/28/20 10:59,93.273,-1.456,,,,
7,1/28/20 11:09,93.296,-1.684,,,,
8,1/28/20 11:19,93.267,-1.914,,,,
9,1/28/20 11:29,93.259,-2.145,,,,
10,1/28/20 11:39,93.255,-2.261,,,,
11,1/28/20 11:49,93.261,-2.377,,,,
12,1/28/20 11:59,93.247,-2.494,,,,
13,1/28/20 12:09,93.226,-2.494,,,,
14,1/28/20 12:19,93.222,-2.61,,,,
15,1/28/20 12:29,93.212,-2.61,,,,
16,1/28/20 12:39,93.218,-2.727,,,,
17,1/28/20 12:49,93.208,-2.727,,,,
18,1/28/20 12:59,93.197,-2.727,,,,
19,1/28/20 13:09,93.208,-2.727,,,,
20,1/28/20 13:19,93.193,-2.844,,,,
21,1/28/20 13:29,93.193,-2.844,,,,
22,1/28/20 13:39,93.214,-2.844,,,,
23,1/28/20 13:49,93.22,-2.962,,,,
24,1/28/20 13:59,93.209,-2.962,,,,
25,1/28/20 14:09,93.24,-2.962,,,,
26,1/28/20 14:19,93.24,-2.962,,,,
27,1/28/20 14:29,93.246,-3.079,,,,
28,1/28/20 14:39,93.246,-3.079,,,,
29,1/28/20 14:49,93.283,-3.197,,,,
30,1/28/20 14:59,93.273,-3.197,,,,
31,1/28/20 15:09,93.289,-3.316,,,,
32,1/28/20 15:19,93.305,-3.434,,,,
33,1/28/20 15:29,93.316,-3.434,,,,
34,1/28/20 15:39,93.322,-3.553,,,,
35,1/28/20 15:49,93.311,-3.553,,,,
36,1/28/20 15:59,93.307,-3.672,,,,
37,1/28/20 16:09,93.307,-3.672,,,,
38,1/28/20 16:19,93.323,-3.792,,,,
39,1/28/20 16:29,93.364,-3.792,,,,
40,1/28/20 16:39,93.35,-3.911,,,,
41,1/28/20 16:49,93.366,-4.031,,,,
42,1/28/20 16:59,93.362,-4.152,,,,
43,1/28/20 17:09,93.382,-4.152,,,,
44,1/28/20 17:19,93.399,-4.272,,,,
45,1/28/20 17:29,93.399,-4.272,,,,
46,1/28/20 17:39,93.415,-4.393,,,,
47,1/28/20 17:49,93.445,-4.393,,,,
48,1/28/20 17:59,93.441,-4.514,,,,
49,1/28/20 18:09,93.441,-4.514,,,,
50,1/28/20 18:19,93.451,-4.514,,,,
51,1/28/20 18:29,93.457,-4.636,,,,
52,1/28/20 18:39,93.478,-4.636,,,,
53,1/28/20 18:49,93.457,-4.636,,,,
54,1/28/20 18:59,93.478,-4.636,,,,
55,1/28/20 19:09,93.478,-4.636,,,,
56,1/28/20 19:19,93.488,-4.636,,,,
57,1/28/20 19:29,93.514,-4.758,,,,
58,1/28/20 19:39,93.514,-4.758,,,,
59,1/28/20 19:49,93.535,-4.758,,,,
60,1/28/20 19:59,93.535,-4.758,,,,
61,1/28/20 20:09,93.535,-4.758,,,,
62,1/28/20 20:19,93.555,-4.758,,,,
63,1/28/20 20:29,93.541,-4.88,,,,
64,1/28/20 20:39,93.561,-4.88,,,,
65,1/28/20 20:49,93.572,-4.88,,,,
66,1/28/20 20:59,93.557,-5.003,,,,
67,1/28/20 21:09,93.567,-5.003,,,,
68,1/28/20 21:19,93.583,-5.125,,,,
69,1/28/20 21:29,93.573,-5.125,,,,
70,1/28/20 21:39,93.604,-5.125,,,,
71,1/28/20 21:49,93.61,-5.249,,,,
72,1/28/20 21:59,93.61,-5.249,,,,
73,1/28/20 22:09,93.63,-5.249,,,,
74,1/28/20 22:19,93.63,-5.249,,,,
75,1/28/20 22:29,93.61,-5.249,,,,
76,1/28/20 22:39,93.605,-5.372,,,,
77,1/28/20 22:49,93.605,-5.372,,,,
78,1/28/20 22:59,93.595,-5.372,,,,
79,1/28/20 23:09,93.616,-5.372,,,,
80,1/28/20 23:19,93.626,-5.372,,,,
81,1/28/20 23:29,93.636,-5.372,,,,
82,1/28/20 23:39,93.657,-5.372,,,,
83,1/28/20 23:49,93.646,-5.372,,,,
84,1/28/20 23:59,93.657,-5.372,,,,
85,1/29/20 0:09,93.657,-5.372,,,,
86,1/29/20 0:19,93.662,-5.496,,,,
87,1/29/20 0:29,93.662,-5.496,,,,
