"Plot Title: 42_4_s3"
"#","Date Time, GMT-04:00","Abs Pres, kPa (LGR S/N: 10753527, SEN S/N: 10753527, LBL: pressure)","Temp, °C (LGR S/N: 10753527, SEN S/N: 10753527, LBL: temp)","Coupler Detached (LGR S/N: 10753527, SEN S/N: 10753527)","Coupler Attached (LGR S/N: 10753527, SEN S/N: 10753527)","Host Connected (LGR S/N: 10753527, SEN S/N: 10753527)","Stopped (LGR S/N: 10753527, SEN S/N: 10753527)","End Of File (LGR S/N: 10753527, SEN S/N: 10753527)"
1,08/13/20 03:22:37 PM,94.284,16.523,,,,,
2,08/13/20 03:22:48 PM,,,Logged,,,,
3,08/13/20 03:32:37 PM,94.253,18.236,,,,,
4,08/13/20 03:42:37 PM,94.269,15.855,,,,,
5,08/13/20 03:52:37 PM,94.279,14.421,,,,,
6,08/13/20 04:02:37 PM,94.257,13.558,,,,,
7,08/13/20 04:12:37 PM,94.235,12.980,,,,,
8,08/13/20 04:22:37 PM,94.235,12.690,,,,,
9,08/13/20 04:32:37 PM,94.234,12.401,,,,,
10,08/13/20 04:42:37 PM,94.231,12.304,,,,,
11,08/13/20 04:52:37 PM,94.227,12.207,,,,,
12,08/13/20 05:02:37 PM,94.223,12.110,,,,,
13,08/13/20 05:12:37 PM,94.234,12.110,,,,,
14,08/13/20 05:22:37 PM,94.230,12.013,,,,,
15,08/13/20 05:32:37 PM,94.220,12.013,,,,,
16,08/13/20 05:42:37 PM,94.220,12.013,,,,,
17,08/13/20 05:52:37 PM,94.230,12.013,,,,,
18,08/13/20 06:02:37 PM,94.220,12.013,,,,,
19,08/13/20 06:12:37 PM,94.230,12.013,,,,,
20,08/13/20 06:22:37 PM,94.230,12.013,,,,,
21,08/13/20 06:32:37 PM,94.241,12.013,,,,,
22,08/13/20 06:42:37 PM,94.241,12.013,,,,,
23,08/13/20 06:52:37 PM,94.251,12.013,,,,,
24,08/13/20 07:02:37 PM,94.248,11.916,,,,,
25,08/13/20 07:12:37 PM,94.258,11.916,,,,,
26,08/13/20 07:22:37 PM,94.269,11.916,,,,,
27,08/13/20 07:32:37 PM,94.290,11.916,,,,,
28,08/13/20 07:42:37 PM,94.280,11.916,,,,,
29,08/13/20 07:52:37 PM,94.280,11.916,,,,,
30,08/13/20 08:02:37 PM,94.280,11.916,,,,,
31,08/13/20 08:12:37 PM,94.301,11.916,,,,,
32,08/13/20 08:22:37 PM,94.301,11.916,,,,,
33,08/13/20 08:32:37 PM,94.301,11.916,,,,,
34,08/13/20 08:42:37 PM,94.311,11.916,,,,,
35,08/13/20 08:52:37 PM,94.311,11.916,,,,,
36,08/13/20 09:02:37 PM,94.311,11.916,,,,,
37,08/13/20 09:12:37 PM,94.301,11.916,,,,,
38,08/13/20 09:22:37 PM,94.290,11.916,,,,,
39,08/13/20 09:32:37 PM,94.301,11.916,,,,,
40,08/13/20 09:42:37 PM,94.311,11.916,,,,,
41,08/13/20 09:52:37 PM,94.301,11.916,,,,,
42,08/13/20 10:02:37 PM,94.301,11.916,,,,,
43,08/13/20 10:12:37 PM,94.301,11.916,,,,,
44,08/13/20 10:22:37 PM,94.290,11.916,,,,,
45,08/13/20 10:32:37 PM,94.301,11.916,,,,,
46,08/13/20 10:42:37 PM,94.290,11.916,,,,,
47,08/13/20 10:52:37 PM,94.290,11.916,,,,,
48,08/13/20 11:02:37 PM,94.290,11.916,,,,,
49,08/13/20 11:12:37 PM,94.280,11.916,,,,,
50,08/13/20 11:22:37 PM,94.280,11.916,,,,,
51,08/13/20 11:32:37 PM,94.280,11.916,,,,,
52,08/13/20 11:42:37 PM,94.269,11.916,,,,,
53,08/13/20 11:52:37 PM,94.269,11.916,,,,,
54,08/14/20 12:02:37 AM,94.269,11.916,,,,,
55,08/14/20 12:12:37 AM,94.269,11.916,,,,,
56,08/14/20 12:22:37 AM,94.248,11.916,,,,,
57,08/14/20 12:32:37 AM,94.237,11.916,,,,,
58,08/14/20 12:42:37 AM,94.258,11.916,,,,,
59,08/14/20 12:52:37 AM,94.248,11.916,,,,,
60,08/14/20 01:02:37 AM,94.248,11.916,,,,,
61,08/14/20 01:12:37 AM,94.269,11.916,,,,,
62,08/14/20 01:22:37 AM,94.258,11.916,,,,,
63,08/14/20 01:32:37 AM,94.258,11.916,,,,,
64,08/14/20 01:42:37 AM,94.258,11.916,,,,,
65,08/14/20 01:52:37 AM,94.237,11.916,,,,,
66,08/14/20 02:02:37 AM,94.237,11.916,,,,,
67,08/14/20 02:12:37 AM,94.216,11.916,,,,,
68,08/14/20 02:22:37 AM,94.226,11.916,,,,,
69,08/14/20 02:32:37 AM,94.216,11.916,,,,,
70,08/14/20 02:42:37 AM,94.216,11.916,,,,,
71,08/14/20 02:52:37 AM,94.205,11.916,,,,,
72,08/14/20 03:02:37 AM,94.205,11.916,,,,,
73,08/14/20 03:12:37 AM,94.205,11.916,,,,,
74,08/14/20 03:22:37 AM,94.216,11.916,,,,,
75,08/14/20 03:32:37 AM,94.205,11.916,,,,,
76,08/14/20 03:42:37 AM,94.205,11.916,,,,,
77,08/14/20 03:52:37 AM,94.205,11.916,,,,,
78,08/14/20 04:02:37 AM,94.216,11.916,,,,,
79,08/14/20 04:12:37 AM,94.216,11.916,,,,,
80,08/14/20 04:22:37 AM,94.216,11.916,,,,,
81,08/14/20 04:32:37 AM,94.205,11.916,,,,,
82,08/14/20 04:42:37 AM,94.205,11.916,,,,,
83,08/14/20 04:52:37 AM,94.216,11.916,,,,,
84,08/14/20 05:02:37 AM,94.184,11.916,,,,,
85,08/14/20 05:12:37 AM,94.205,11.916,,,,,
86,08/14/20 05:22:37 AM,94.216,11.916,,,,,
87,08/14/20 05:32:37 AM,94.226,11.916,,,,,
88,08/14/20 05:42:37 AM,94.226,11.916,,,,,
89,08/14/20 05:52:37 AM,94.216,11.916,,,,,
90,08/14/20 06:02:37 AM,94.226,11.916,,,,,
91,08/14/20 06:12:37 AM,94.237,11.916,,,,,
