"Plot Title: 52_4_d2"
"#","Date Time, GMT-04:00","Abs Pres, kPa (LGR S/N: 20642913, SEN S/N: 20642913)","Temp, °C (LGR S/N: 20642913, SEN S/N: 20642913)","Coupler Detached (LGR S/N: 20642913, SEN S/N: 20642913)","Coupler Attached (LGR S/N: 20642913, SEN S/N: 20642913)","Host Connected (LGR S/N: 20642913, SEN S/N: 20642913)","Stopped (LGR S/N: 20642913, SEN S/N: 20642913)","End Of File (LGR S/N: 20642913, SEN S/N: 20642913)"
1,08/11/20 12:05:05 PM,93.915,17.475,,,,,
2,08/11/20 12:05:33 PM,,,Logged,,,,
3,08/11/20 12:15:05 PM,111.508,11.819,,,,,
4,08/11/20 12:25:05 PM,111.472,9.768,,,,,
5,08/11/20 12:35:05 PM,111.446,9.275,,,,,
6,08/11/20 12:45:05 PM,111.433,9.077,,,,,
7,08/11/20 12:55:05 PM,111.414,9.077,,,,,
8,08/11/20 01:05:05 PM,111.393,8.978,,,,,
9,08/11/20 01:15:05 PM,111.383,8.978,,,,,
10,08/11/20 01:25:05 PM,111.344,8.978,,,,,
11,08/11/20 01:35:05 PM,111.344,8.978,,,,,
12,08/11/20 01:45:05 PM,111.314,8.978,,,,,
13,08/11/20 01:55:05 PM,111.293,8.879,,,,,
14,08/11/20 02:05:05 PM,111.264,8.879,,,,,
15,08/11/20 02:15:05 PM,111.254,8.879,,,,,
16,08/11/20 02:25:05 PM,111.234,8.879,,,,,
17,08/11/20 02:35:05 PM,111.234,8.879,,,,,
18,08/11/20 02:45:05 PM,111.215,8.879,,,,,
19,08/11/20 02:55:05 PM,111.185,8.879,,,,,
20,08/11/20 03:05:05 PM,111.185,8.879,,,,,
21,08/11/20 03:15:05 PM,111.176,8.879,,,,,
22,08/11/20 03:25:05 PM,111.176,8.879,,,,,
23,08/11/20 03:35:05 PM,111.156,8.879,,,,,
24,08/11/20 03:45:05 PM,111.146,8.879,,,,,
25,08/11/20 03:55:05 PM,111.146,8.879,,,,,
26,08/11/20 04:05:05 PM,111.136,8.879,,,,,
27,08/11/20 04:15:05 PM,111.146,8.879,,,,,
28,08/11/20 04:25:05 PM,111.146,8.879,,,,,
29,08/11/20 04:35:05 PM,111.117,8.879,,,,,
30,08/11/20 04:45:05 PM,111.107,8.879,,,,,
