"Plot Title: 52_4_s3"
"#","Date Time, GMT-04:00","Abs Pres, kPa (LGR S/N: 9924998, SEN S/N: 9924998, LBL: Pressure)","Temp, °C (LGR S/N: 9924998, SEN S/N: 9924998, LBL: Temp)","Coupler Detached (LGR S/N: 9924998, SEN S/N: 9924998)","Coupler Attached (LGR S/N: 9924998, SEN S/N: 9924998)","Host Connected (LGR S/N: 9924998, SEN S/N: 9924998)","Stopped (LGR S/N: 9924998, SEN S/N: 9924998)","End Of File (LGR S/N: 9924998, SEN S/N: 9924998)"
1,08/13/20 11:53:13 AM,94.395,16.999,,,,,
2,08/13/20 11:53:24 AM,,,Logged,,,,
3,08/13/20 12:03:13 PM,94.395,19.187,,,,,
4,08/13/20 12:13:13 PM,94.367,16.618,,,,,
5,08/13/20 12:23:13 PM,94.369,14.996,,,,,
6,08/13/20 12:33:13 PM,94.374,14.038,,,,,
7,08/13/20 12:43:13 PM,94.371,13.365,,,,,
8,08/13/20 12:53:13 PM,94.357,12.883,,,,,
9,08/13/20 01:03:13 PM,94.368,12.690,,,,,
10,08/13/20 01:13:13 PM,94.363,12.497,,,,,
11,08/13/20 01:23:13 PM,94.357,12.304,,,,,
12,08/13/20 01:33:13 PM,94.357,12.304,,,,,
13,08/13/20 01:43:13 PM,94.355,12.207,,,,,
14,08/13/20 01:53:13 PM,94.355,12.207,,,,,
15,08/13/20 02:03:13 PM,94.352,12.110,,,,,
16,08/13/20 02:13:13 PM,94.352,12.110,,,,,
17,08/13/20 02:23:13 PM,94.319,12.110,,,,,
18,08/13/20 02:33:13 PM,94.319,12.110,,,,,
19,08/13/20 02:43:13 PM,94.319,12.110,,,,,
20,08/13/20 02:53:13 PM,94.302,12.110,,,,,
21,08/13/20 03:03:13 PM,94.302,12.110,,,,,
22,08/13/20 03:13:13 PM,94.285,12.110,,,,,
23,08/13/20 03:23:13 PM,94.302,12.110,,,,,
24,08/13/20 03:33:13 PM,94.302,12.110,,,,,
25,08/13/20 03:43:13 PM,94.285,12.110,,,,,
26,08/13/20 03:53:13 PM,94.283,12.013,,,,,
27,08/13/20 04:03:13 PM,94.283,12.013,,,,,
28,08/13/20 04:13:13 PM,94.283,12.013,,,,,
29,08/13/20 04:23:13 PM,94.266,12.013,,,,,
30,08/13/20 04:33:13 PM,94.266,12.013,,,,,
31,08/13/20 04:43:13 PM,94.266,12.013,,,,,
32,08/13/20 04:53:13 PM,94.266,12.013,,,,,
33,08/13/20 05:03:13 PM,94.266,12.013,,,,,
34,08/13/20 05:13:13 PM,94.283,12.013,,,,,
35,08/13/20 05:23:13 PM,94.283,12.013,,,,,
36,08/13/20 05:33:13 PM,94.266,12.013,,,,,
37,08/13/20 05:43:13 PM,94.266,12.013,,,,,
38,08/13/20 05:53:13 PM,94.266,12.013,,,,,
39,08/13/20 06:03:13 PM,94.266,12.013,,,,,
40,08/13/20 06:13:13 PM,94.266,12.013,,,,,
41,08/13/20 06:23:13 PM,94.266,12.013,,,,,
42,08/13/20 06:33:13 PM,94.283,12.013,,,,,
43,08/13/20 06:43:13 PM,94.299,12.013,,,,,
44,08/13/20 06:53:13 PM,94.316,12.013,,,,,
45,08/13/20 07:03:13 PM,94.299,12.013,,,,,
46,08/13/20 07:13:13 PM,94.316,12.013,,,,,
47,08/13/20 07:23:13 PM,94.332,12.013,,,,,
48,08/13/20 07:33:13 PM,94.332,12.013,,,,,
