"Plot Title: 10032082"
"#","Date Time, GMT-04:00","Abs Pres, kPa (LGR S/N: 10032082, SEN S/N: 10032082)","Temp, °C (LGR S/N: 10032082, SEN S/N: 10032082)","Coupler Detached (LGR S/N: 10032082, SEN S/N: 10032082)","Coupler Attached (LGR S/N: 10032082, SEN S/N: 10032082)","Host Connected (LGR S/N: 10032082, SEN S/N: 10032082)","Stopped (LGR S/N: 10032082, SEN S/N: 10032082)","End Of File (LGR S/N: 10032082, SEN S/N: 10032082)"
1,08/13/20 11:14:34 AM,94.889,21.569,,,,,
2,08/13/20 11:14:57 AM,,,Logged,,,,
3,08/13/20 11:24:34 AM,98.355,9.373,,,,,
4,08/13/20 11:34:34 AM,98.345,8.978,,,,,
5,08/13/20 11:44:34 AM,98.343,8.879,,,,,
6,08/13/20 11:54:34 AM,98.340,8.779,,,,,
7,08/13/20 12:04:34 PM,98.340,8.779,,,,,
8,08/13/20 12:14:34 PM,98.322,8.680,,,,,
9,08/13/20 12:24:34 PM,98.322,8.680,,,,,
10,08/13/20 12:34:34 PM,98.322,8.680,,,,,
11,08/13/20 12:44:34 PM,98.322,8.680,,,,,
12,08/13/20 12:54:34 PM,98.322,8.680,,,,,
13,08/13/20 01:04:34 PM,98.306,8.680,,,,,
14,08/13/20 01:14:34 PM,98.322,8.680,,,,,
15,08/13/20 01:24:34 PM,98.322,8.680,,,,,
16,08/13/20 01:34:34 PM,98.306,8.680,,,,,
17,08/13/20 01:44:34 PM,98.306,8.680,,,,,
18,08/13/20 01:54:34 PM,98.306,8.680,,,,,
19,08/13/20 02:04:34 PM,98.290,8.680,,,,,
20,08/13/20 02:14:34 PM,98.290,8.680,,,,,
21,08/13/20 02:24:34 PM,98.274,8.680,,,,,
22,08/13/20 02:34:34 PM,98.258,8.680,,,,,
23,08/13/20 02:44:34 PM,98.242,8.680,,,,,
24,08/13/20 02:54:34 PM,98.226,8.680,,,,,
25,08/13/20 03:04:34 PM,98.226,8.680,,,,,
26,08/13/20 03:14:34 PM,98.226,8.680,,,,,
27,08/13/20 03:24:34 PM,98.226,8.680,,,,,
